defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,BAL,7,55.0,252.0,2.0,3.0,1.0
ARI,CAR,20,156.0,335.0,5.0,2.0,2.0
ARI,CHI,2,109.0,241.0,3.0,6.0,3.0
ARI,CIN,11,99.0,315.0,4.0,3.0,1.0
ARI,CLE,8,39.0,223.0,3.0,4.0,2.0
ARI,DET,5,56.0,379.0,2.0,7.0,6.0
ARI,GB,16,102.0,155.0,3.0,7.0,4.0
ARI,GB,19,135.0,261.0,2.0,1.0,1.0
ARI,LA,4,165.0,171.0,3.0,1.0,
ARI,LA,13,68.0,146.0,,2.0,1.0
ARI,MIN,14,72.0,335.0,2.0,3.0,3.0
ARI,NO,1,54.0,355.0,1.0,1.0,1.0
ARI,PHI,15,74.0,361.0,3.0,5.0,4.0
ARI,PIT,6,142.0,174.0,2.0,,
ARI,SEA,10,115.0,240.0,3.0,3.0,1.0
ARI,SEA,17,147.0,225.0,4.0,,
ARI,SF,3,103.0,67.0,3.0,6.0,4.0
ARI,SF,12,67.0,318.0,1.0,2.0,1.0
ATL,CAR,14,144.0,301.0,5.0,,
ATL,CAR,16,155.0,142.0,1.0,1.0,1.0
ATL,DAL,3,127.0,232.0,4.0,1.0,1.0
ATL,HOU,4,54.0,382.0,5.0,4.0,4.0
ATL,IND,11,74.0,213.0,2.0,3.0,3.0
ATL,JAX,15,85.0,297.0,2.0,4.0,1.0
ATL,MIN,12,195.0,174.0,2.0,1.0,1.0
ATL,NO,6,82.0,312.0,3.0,,
ATL,NO,17,69.0,323.0,2.0,1.0,1.0
ATL,NYG,2,97.0,292.0,2.0,2.0,1.0
ATL,PHI,1,63.0,336.0,3.0,3.0,2.0
ATL,SF,9,137.0,185.0,2.0,2.0,2.0
ATL,TB,8,118.0,177.0,2.0,,
ATL,TB,13,176.0,227.0,3.0,2.0,2.0
ATL,TEN,7,77.0,187.0,1.0,3.0,2.0
ATL,WAS,5,51.0,219.0,3.0,3.0,2.0
BAL,ARI,7,151.0,275.0,3.0,1.0,1.0
BAL,CIN,3,88.0,383.0,5.0,2.0,2.0
BAL,CIN,17,147.0,160.0,3.0,1.0,
BAL,CLE,5,83.0,457.0,3.0,,
BAL,CLE,12,63.0,289.0,2.0,,
BAL,DEN,1,70.0,175.0,1.0,1.0,1.0
BAL,JAX,10,90.0,188.0,2.0,2.0,2.0
BAL,KC,15,115.0,171.0,2.0,1.0,
BAL,LA,11,82.0,136.0,2.0,4.0,3.0
BAL,LAC,8,81.0,301.0,3.0,1.0,
BAL,LV,2,98.0,351.0,4.0,1.0,1.0
BAL,MIA,13,137.0,86.0,1.0,1.0,1.0
BAL,PIT,4,168.0,124.0,2.0,1.0,
BAL,PIT,16,110.0,220.0,2.0,3.0,3.0
BAL,SEA,14,126.0,301.0,5.0,1.0,1.0
BAL,SF,6,65.0,340.0,2.0,,
BUF,CIN,6,114.0,243.0,4.0,1.0,
BUF,DAL,16,122.0,186.0,,2.0,2.0
BUF,HOU,13,127.0,293.0,3.0,1.0,1.0
BUF,IND,1,65.0,243.0,2.0,2.0,2.0
BUF,JAX,7,124.0,182.0,4.0,1.0,1.0
BUF,KC,12,159.0,255.0,3.0,,
BUF,MIA,3,103.0,297.0,3.0,4.0,3.0
BUF,MIA,9,108.0,316.0,2.0,3.0,1.0
BUF,NE,2,60.0,466.0,4.0,2.0,2.0
