Rank,Player,Team,AVG,gsis_id,position,season,availability,age,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr,player_id_x,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation,player_id_y,redzone_touches,redzone_yards,redzone_tds,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos,targets_totales,targets_por_partido,targets_por_partido_equipo,posicion,equipo,target_share_pct
1,Antonio Brown,,1.0,00-0027793,WR,2015,1,27,0.955,203.24918,0.07,195.0,1.0,0,0.0,0,3,28.0,0,136,1834.0,10,1.0,0,0.0,0,3,9.0,0,106,1284.0,12,0.0,4.360294117647059,00-0027793,17,1953.0,114.882355,4.7298784,23.831804,00-0027793,30,224.0,8.0,197,136,1841,115.0625,25,10,3,28,1.75,0,2,10,16,197,12.3,37.2,WR,PIT,33.1
2,Julio Jones,,2.3,00-0027944,WR,2015,0.9315068493150684,26,0.8500000000000001,87.95429,0.099,6.0,23.2,0,0.0,0,0,0.0,0,136,1871.0,8,1.0,0,0.0,0,0,0.0,0,83,1409.0,6,0.0,4.713235294117647,00-0027944,16,1871.0,116.9375,4.3446155,26.634312,00-0027944,22,186.0,5.0,203,136,1871,116.9375,25,8,0,0,0.0,0,1,8,16,203,12.7,38.7,WR,ATL,32.8
3,Odell Beckham Jr.,,2.8,00-0031235,WR,2015,1,22,0.948,91.935524,0.02,12.0,18.8,0,0.0,0,1,3.0,0,96,1450.0,13,0.0,0,0.0,0,1,9.0,0,101,1367.0,10,1.0,6.145833333333333,00-0031235,15,1450.0,96.666664,4.2467837,22.25225,00-0031235,20,202.0,6.0,316,192,2908,193.86666666666667,38,13,1,3,0.2,0,0,13,15,158,10.5,38.4,WR,NYG,25.7
5,DeAndre Hopkins,BAL,5.8,00-0030564,WR,2015,1,23,0.966875,75.30462,0.016,27.0,13.6,0,0.0,0,0,0.0,0,111,1521.0,11,0.0,0,0.0,0,0,0.0,0,78,954.0,4,0.0,2.027027027027027,00-0030564,17,1590.0,93.52941,3.5925999,25.946064,00-0030564,31,298.0,7.0,193,111,1521,95.0625,19,11,0,0,0.0,0,0,11,16,193,12.1,38.5,WR,HOU,31.3
6,A.J. Green,,6.0,00-0027942,WR,2015,1,27,0.875625,101.31663,0.105,4.0,25.8,0,0.0,0,0,0.0,0,86,1297.0,10,1.0,0,0.0,0,0,0.0,0,66,964.0,4,0.0,3.9651162790697674,00-0027942,17,1368.0,80.47059,4.123175,18.965986,00-0027942,19,182.0,7.0,132,86,1297,81.0625,19,10,0,0,0.0,0,1,10,16,132,8.2,30.9,WR,CIN,26.7
9,Allen Robinson,II,9.8,00-0031428,WR,2015,0.6071428571428571,22,0.933125,97.632,0.007,61.0,8.4,0,0.0,0,0,0.0,0,80,1400.0,14,0.0,0,0.0,0,0,0.0,0,73,883.0,6,0.0,4.45,00-0031428,16,1400.0,87.5,4.440782,19.636969,00-0031428,21,210.0,12.0,151,80,1400,87.5,31,14,0,0,0.0,0,0,14,16,151,9.4,37.9,WR,JAX,24.9
14,Dez Bryant,,12.5,00-0027902,WR,2015,0.7010309278350515,26,0.8044444444444445,39.6325,0.098,24.0,14.4,0,0.0,0,0,0.0,0,31,401.0,3,0.0,1,10.0,1,0,0.0,0,50,796.0,8,1.0,4.225806451612903,00-0027902,9,401.0,44.555557,3.513607,11.915012,00-0027902,13,96.0,3.0,72,31,401,44.55555555555556,3,3,0,0,0.0,0,0,3,9,72,8.0,32.5,WR,DAL,13.8
15,Keenan Allen,LAC,15.0,00-0030279,WR,2015,0.8095238095238095,23,0.90375,129.53696,0.072,76.0,7.0,0,0.0,0,0,0.0,0,67,725.0,4,0.0,0,0.0,0,0,0.0,0,6,63.0,0,0.0,3.5223880597014925,00-0030279,8,725.0,90.625,4.975336,18.037592,00-0030279,8,114.0,2.0,90,67,725,90.625,8,4,0,0,0.0,0,1,4,8,90,11.2,41.4,WR,LAC,13.6
16,Brandon Marshall,,15.8,00-0024334,WR,2015,0.8793103448275862,31,0.953125,54.825333,0.06,119.0,4.2,0,0.0,0,0,0.0,0,109,1502.0,14,2.0,0,0.0,0,0,0.0,0,59,788.0,3,0.0,4.018348623853211,00-0024334,16,1502.0,93.875,3.901949,24.31193,00-0024334,25,264.0,10.0,173,109,1502,93.875,19,14,0,0,0.0,0,2,14,16,173,10.8,37.6,WR,NYJ,28.7
18,Mike Evans,TB,18.0,00-0031408,WR,2015,1,22,0.8386666666666666,65.412575,0.027999999999999997,7.0,22.2,0,0.0,0,0,0.0,0,74,1206.0,3,1.0,0,0.0,0,0,0.0,0,96,1321.0,12,0.0,3.135135135135135,00-0031408,15,1206.0,80.4,4.063141,19.153341,00-0031408,17,54.0,2.0,148,74,1211,80.73333333333333,21,3,0,0,0.0,0,1,3,15,148,9.9,33.0,WR,TB,28.0
20,Alshon Jeffery,,20.3,00-0029137,WR,2015,0.7611940298507462,25,0.8088888888888888,75.065,0.094,45.0,10.4,0,0.0,0,0,0.0,0,54,807.0,4,0.0,0,0.0,0,0,0.0,0,52,821.0,2,0.0,3.2777777777777777,00-0029137,9,807.0,89.666664,4.018912,22.607075,00-0029137,16,152.0,3.0,94,54,807,89.66666666666667,14,4,0,0,0.0,0,0,4,9,94,10.4,32.6,WR,CHI,18.0
