Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
33,Cam Newton,,,QB1,,,,,,36.0,34.3,00-0027939,QB,2015,1,26,2011,0.976875,81.28682,0.145,1.0,34.6,--
38,Aaron Rodgers,PIT,8.0,QB2,,,,,,42.0,40.5,00-0023459,QB,2015,1,31,2005,0.99125,65.64489,0.179,24.0,14.4,--
51,Russell Wilson,NYG,8.0,QB3,,,,,,55.0,53.5,00-0029263,QB,2015,1,26,2012,0.97375,58.692867,0.153,75.0,7.1,--
52,Andrew Luck,,,QB4,,,,,,50.0,53.5,00-0029668,QB,2015,1,25,2012,0.9985714285714286,41.620117,0.158,1.0,34.6,--
60,Drew Brees,,,QB5,,,,,,67.0,61.8,00-0020531,QB,2015,1,36,2001,1.0,89.65725,0.156,32.0,12.5,--
70,Ben Roethlisberger,,,QB6,,,,,,70.0,70.0,00-0022924,QB,2015,1,33,2004,0.9425,95.148155,0.152,11.0,19.3,--
73,Tom Brady,,,QB7,,,,,,75.0,72.3,00-0019596,QB,2015,1,38,2000,0.988125,57.392593,0.132,199.0,0.9,--
79,Carson Palmer,,,QB8,,,,,,79.0,80.3,00-0021429,QB,2015,0.9056603773584906,35,2003,0.931875,25.676153,0.135,1.0,34.6,--
90,Blake Bortles,,,QB9,,,,,,84.0,92.3,00-0031407,QB,2015,1,23,2014,1.0,61.539192,0.039,3.0,27.6,--
92,Eli Manning,,,QB10,,,,,,90.0,92.8,00-0022803,QB,2015,1,34,2004,0.9925,75.97544,0.147,1.0,34.6,--
100,Philip Rivers,,,QB11,,,,,,99.0,102.5,00-0022942,QB,2015,1,33,2004,0.9875,58.015255,0.145,4.0,25.8,--
103,Derek Carr,,,QB12,,,,,,94.0,111.3,00-0031280,QB,2015,1,24,2014,0.96,57.054432,0.01,36.0,11.8,--
116,Kirk Cousins,ATL,11.0,QB13,,,,,,117.0,120.5,00-0029604,QB,2015,1,27,2012,0.9575,91.30048,0.129,102.0,5.1,--
122,Tyrod Taylor,NYJ,11.0,QB14,,,,,,131.0,128.3,00-0028118,QB,2015,1,26,2011,0.995,43.16123,0.11599999999999999,180.0,1.5,--
126,Jameis Winston,NYG,8.0,QB15,,,,,,120.0,129.8,00-0031503,QB,2015,1,21,2015,0.998125,18.728838,0.044000000000000004,1.0,34.6,--
127,Matthew Stafford,LAR,8.0,QB16,,,,,,128.0,130.0,00-0026498,QB,2015,0.7391304347826086,27,2009,0.968125,69.36521,0.14400000000000002,1.0,34.6,--
144,Marcus Mariota,WAS,9.0,QB17,,,,,,152.0,153.3,00-0032268,QB,2015,1,21,2015,0.9141666666666668,119.8696,0.042,2.0,30.2,--
147,Andy Dalton,CAR,7.0,QB18,,,,,,172.0,154.0,00-0027973,QB,2015,1,27,2011,0.92,65.21548,0.12,35.0,12.0,--
149,Matt Ryan,,,QB19,,,,,,135.0,155.3,00-0026143,QB,2015,1,30,2008,0.978125,27.00221,0.16899999999999998,3.0,27.6,--
159,Ryan Tannehill,,,QB20,,,,,,153.0,165.5,00-0029701,QB,2015,1,27,2012,0.993125,31.107922,0.134,8.0,21.4,--
172,Ryan Fitzpatrick,,,QB21,,,,,,221.0,185.3,00-0023682,QB,2015,0.8717948717948718,32,2005,0.944375,45.061733,0.077,250.0,0.0,--
177,Dak Prescott,DAL,7.0,QB22,,,,,,217.0,187.0,00-0033077,QB,2015,--,22,2016,-1.0,--,0.004,135.0,3.4,--
