Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
23,Josh Allen,BUF,12,QB1,23.0,20.0,24.0,22.3,00-0034857,QB,2023,1.0,27,2018,0.9670588235294116,55.480938,0.23600000000000002,7.0,22.2,--
30,Patrick Mahomes II,KC,6,QB2,27.0,32.0,34.0,31.0,00-0033873,QB,2023,0.9652173913043478,27,2017,0.983125,39.93124,0.22699999999999998,10.0,19.9,--
31,Jalen Hurts,PHI,5,QB3,33.0,31.0,30.0,31.3,00-0036389,QB,2023,0.9253731343283582,25,2020,0.96,61.260853,0.22699999999999998,53.0,9.3,--
37,Lamar Jackson,BAL,14,QB4,35.0,36.0,40.0,37.0,00-0034796,QB,2023,0.8787878787878788,26,2018,0.97375,83.61139,0.231,32.0,12.5,--
47,C.J. Stroud,HOU,14,QB5,42.0,46.0,55.0,47.7,00-0039163,QB,2023,0.8823529411764706,21,2023,0.9846666666666668,76.89934,0.04,2.0,30.2,--
51,Anthony Richardson Sr.,IND,14,QB6,46.0,53.0,53.0,50.7,00-0039164,QB,2023,0.23529411764705882,21,2023,0.6525000000000001,109.1516,0.038,4.0,25.8,--
61,Kyler Murray,ARI,11,QB7,55.0,70.0,62.0,62.3,00-0035228,QB,2023,0.7831325301204819,26,2019,0.98625,16.775286,0.221,1.0,34.6,--
66,Joe Burrow,CIN,12,QB8,58.0,62.0,74.0,64.7,00-0036442,QB,2023,0.7910447761194029,26,2020,0.937,71.04878,0.245,1.0,34.6,--
73,Jordan Love,GB,10,QB9,68.0,82.0,66.0,72.0,00-0036264,QB,2023,0.7611940298507462,24,2020,0.9888235294117648,38.129856,0.215,26.0,13.9,--
75,Dak Prescott,DAL,7,QB10,64.0,77.0,77.0,72.7,00-0033077,QB,2023,0.8702290076335878,30,2016,0.9388235294117648,89.635056,0.235,135.0,3.4,--
90,Brian Robinson Jr.,WAS,14,RB31,94.0,103.0,83.0,93.3,00-0037834,QB,2023,0.9117647058823529,23,2022,0.934375,55.73405,0.004,262.0,0.0,--
91,Brock Purdy,SF,9,QB11,84.0,97.0,101.0,94.0,00-0037834,QB,2023,0.9117647058823529,23,2022,0.934375,55.73405,0.004,262.0,0.0,--
95,Jayden Daniels,WAS,14,QB12,95.0,112.0,89.0,98.7,00-0039910,QB,2023,--,22,2024,-1.0,--,0.037000000000000005,2.0,30.2,--
96,Caleb Williams,CHI,7,QB13,105.0,99.0,97.0,100.3,00-0039918,QB,2023,--,21,2024,-1.0,--,0.039,1.0,34.6,--
101,Tua Tagovailoa,MIA,6,QB14,102.0,106.0,106.0,104.7,00-0036212,QB,2023,0.8805970149253731,25,2020,0.953529411764706,37.529324,0.20800000000000002,5.0,24.3,--
105,Jared Goff,DET,5,QB15,104.0,113.0,105.0,107.3,00-0033106,QB,2023,0.9694656488549618,28,2016,0.9970588235294118,46.131092,0.20800000000000002,1.0,34.6,--
121,Trevor Lawrence,JAC,12,QB16,130.0,127.0,120.0,125.7,00-0036971,QB,2023,0.9803921568627451,23,2021,0.948125,47.745438,0.215,1.0,34.6,--
125,Justin Herbert,LAC,5,QB17,146.0,123.0,129.0,132.7,00-0036355,QB,2023,0.9402985074626866,25,2020,0.9584615384615384,78.29457,0.23399999999999999,6.0,23.2,--
134,Aaron Rodgers,PIT,9,QB18,143.0,143.0,135.0,140.3,00-0023459,QB,2023,0.896,39,2005,0.07,,0.16699999999999998,24.0,14.4,--
137,Kirk Cousins,ATL,12,QB19,155.0,145.0,130.0,143.3,00-0029604,QB,2023,0.949748743718593,35,2012,0.98125,48.824276,0.17600000000000002,102.0,5.1,--
146,Matthew Stafford,LAR,6,QB20,164.0,158.0,141.0,154.3,00-0026498,QB,2023,0.8089430894308943,35,2009,0.976,21.523466,0.192,1.0,34.6,--
152,Baker Mayfield,TB,11,QB21,147.0,171.0,155.0,157.7,00-0034855,QB,2023,0.9494949494949495,28,2018,0.9970588235294118,36.903122,0.131,1.0,34.6,--
171,Will Levis,TEN,5,QB22,149.0,194.0,162.0,168.3,00-0039152,QB,2023,0.5294117647058824,24,2023,0.9122222222222222,60.92058,0.011000000000000001,33.0,12.3,--
175,Bo Nix,DEN,14,QB23,132.0,215.0,179.0,175.3,00-0039732,QB,2023,--,23,2024,-1.0,--,0.018000000000000002,12.0,18.8,--
178,Deshaun Watson,CLE,10,QB24,185.0,178.0,165.0,176.0,00-0033537,QB,2023,0.7304347826086957,27,2017,0.8333333333333335,75.84891,0.221,12.0,18.8,--
183,Russell Wilson,NYG,11,QB25,125.0,241.0,182.0,182.7,00-0029263,QB,2023,0.9748743718592965,34,2012,0.996,20.620039,0.005,75.0,7.1,--
184,Justin Fields,NYJ,12,QB26,135.0,204.0,209.0,182.7,00-0036945,QB,2023,0.7843137254901961,24,2021,0.9623076923076924,77.60849,0.026000000000000002,11.0,19.3,--
189,Geno Smith,LV,10,QB27,208.0,198.0,166.0,190.7,00-0030565,QB,2023,0.945054945054945,32,2013,0.9713333333333334,50.761192,0.111,39.0,11.3,--
213,Bryce Young,CAR,11,QB28,,223.0,173.0,198.0,00-0039150,QB,2023,0.9411764705882353,22,2023,0.998125,27.09556,0.042,1.0,34.6,--
215,Derek Carr,,,QB29,,239.0,167.0,203.0,00-0031280,QB,2023,0.9878787878787879,32,2014,0.841764705882353,44.14196,0.16699999999999998,36.0,11.8,--
217,Daniel Jones,IND,14,QB30,,235.0,177.0,206.0,00-0035710,QB,2023,0.7469879518072289,26,2019,0.8133333333333334,114.170654,0.004,6.0,23.2,--
220,Drake Maye,NE,14,QB31,,221.0,200.0,210.5,00-0039851,QB,2023,--,21,2024,-1.0,--,0.036000000000000004,3.0,27.6,--
224,Sam Darnold,SEA,10,QB32,,246.0,183.0,214.5,00-0034869,QB,2023,0.797979797979798,26,2018,0.205,32.04066,0.039,3.0,27.6,--
264,Jacoby Brissett,ARI,11,QB34,,,196.0,196.0,00-0033119,QB,2023,0.9007633587786259,30,2016,0.2533333333333333,11.809798,0.031,91.0,5.9,--
275,Aidan O'Connell,LV,10,QB35,,314.0,213.0,263.5,00-0038579,QB,2023,0.7058823529411765,25,2023,0.9245454545454544,53.139397,0.005,135.0,3.4,--
290,Joe Flacco,CLE,10,QB36,,,248.0,248.0,00-0026158,QB,2023,0.8760683760683761,38,2008,0.97,13.721918,0.018000000000000002,18.0,16.2,--
293,Michael Penix Jr.,ATL,12,QB37,,257.0,,257.0,00-0039917,QB,2023,--,23,2024,-1.0,--,0.022000000000000002,8.0,21.4,--
309,Davis Cheek,,,QB38,,279.0,,279.0,00-0037360,QB,2023,--,24,2022,-1.0,--,--,,0.0,--
