Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apy_cap_pct,draft_pick,pick_value,fan_pts_var,time_to_throw
22,Josh Allen,BUF,7.0,QB1,20.0,22.0,23.0,21.7,00-0034857,QB,2024,1.0,28,0.8905882352941176,2018,0.19699999999999998,7.0,22.2,131.3986,--
23,Lamar Jackson,BAL,7.0,QB2,23.0,24.0,22.0,23.0,00-0034796,QB,2024,0.896551724137931,27,0.9652941176470587,2018,0.231,32.0,12.5,38.321907,--
29,Jayden Daniels,WAS,12.0,QB3,28.0,31.0,30.0,29.7,00-0039910,QB,2024,1.0,23,0.9088235294117648,2024,0.037000000000000005,2.0,30.2,84.30366,--
36,Jalen Hurts,PHI,9.0,QB4,33.0,40.0,40.0,37.7,00-0036389,QB,2024,0.9166666666666666,26,0.916,2020,0.22699999999999998,53.0,9.3,63.849186,--
38,Joe Burrow,CIN,10.0,QB5,40.0,42.0,32.0,38.0,00-0036442,QB,2024,0.8333333333333334,27,0.9952941176470588,2020,0.245,1.0,34.6,70.14686,--
54,Patrick Mahomes II,KC,10.0,QB6,50.0,60.0,54.0,54.7,00-0033873,QB,2024,0.9621212121212122,28,0.993125,2017,0.22699999999999998,10.0,19.9,26.65872,--
67,Baker Mayfield,TB,9.0,QB7,55.0,72.0,71.0,66.0,00-0034855,QB,2024,0.9568965517241379,29,0.9852941176470588,2018,0.131,1.0,34.6,54.778145,--
74,Bo Nix,DEN,12.0,QB8,68.0,82.0,74.0,74.7,00-0039732,QB,2024,1.0,24,0.9882352941176472,2024,0.018000000000000002,12.0,18.8,55.854477,--
87,Kyler Murray,ARI,8.0,QB9,93.0,92.0,89.0,91.3,00-0035228,QB,2024,0.82,27,0.9711764705882354,2019,0.221,1.0,34.6,51.237724,--
95,Jared Goff,DET,8.0,QB10,97.0,98.0,101.0,98.7,00-0033106,QB,2024,0.972972972972973,29,0.9717647058823528,2016,0.20800000000000002,1.0,34.6,94.05755,--
98,Brock Purdy,SF,14.0,QB11,79.0,112.0,115.0,102.0,00-0037834,QB,2024,0.9019607843137255,24,0.9893333333333332,2022,0.19,262.0,0.0,66.527824,--
100,Dak Prescott,DAL,10.0,QB12,98.0,121.0,92.0,103.7,00-0033077,QB,2024,0.8243243243243243,31,0.91125,2016,0.235,135.0,3.4,55.56443,--
102,Justin Fields,NYJ,9.0,QB13,80.0,127.0,110.0,105.7,00-0036945,QB,2024,0.7941176470588235,25,0.6159999999999999,2021,0.07200000000000001,11.0,19.3,115.60756,--
106,Justin Herbert,LAC,12.0,QB14,101.0,110.0,114.0,108.3,00-0036355,QB,2024,0.9523809523809523,26,0.9770588235294118,2020,0.23399999999999999,6.0,23.2,38.634552,--
108,Caleb Williams,CHI,5.0,QB15,113.0,122.0,96.0,110.3,00-0039918,QB,2024,1.0,22,0.9876470588235292,2024,0.039,1.0,34.6,60.790146,--
120,Drake Maye,NE,14.0,QB16,123.0,133.0,124.0,126.7,00-0039851,QB,2024,1.0,22,0.8046153846153848,2024,0.036000000000000004,3.0,27.6,42.84389,--
121,Jordan Love,GB,5.0,QB17,122.0,124.0,135.0,127.0,00-0036264,QB,2024,0.7857142857142857,25,0.9173333333333332,2020,0.215,26.0,13.9,43.03165,--
127,C.J. Stroud,HOU,6.0,QB18,131.0,131.0,134.0,132.0,00-0039163,QB,2024,0.9411764705882353,22,0.9305882352941176,2023,0.04,2.0,30.2,24.045061,--
130,J.J. McCarthy,MIN,6.0,QB19,137.0,138.0,130.0,135.0,00-0039923,QB,2024,0.0,21,-1.0,2024,0.021,10.0,19.9,--,--
149,Cameron Ward,TEN,10.0,QB20,140.0,156.0,168.0,154.7,00-0040676,QB,2024,--,22,-1.0,2025,0.044000000000000004,,0.0,--,--
150,Tua Tagovailoa,MIA,12.0,QB21,148.0,175.0,141.0,154.7,00-0036212,QB,2024,0.8333333333333334,26,0.9718181818181818,2020,0.20800000000000002,5.0,24.3,69.35114,--
158,Michael Penix Jr.,ATL,5.0,QB22,145.0,174.0,160.0,159.7,00-0039917,QB,2024,1.0,24,0.664,2024,0.022000000000000002,8.0,21.4,100.7166,--
160,Trevor Lawrence,JAC,8.0,QB23,194.0,151.0,140.0,161.7,00-0036971,QB,2024,0.8823529411764706,24,0.902,2021,0.215,1.0,34.6,44.12651,--
166,Bryce Young,CAR,14.0,QB24,153.0,185.0,157.0,165.0,00-0039150,QB,2024,0.9705882352941176,23,0.8671428571428572,2023,0.042,1.0,34.6,99.56675,--
170,Matthew Stafford,LAR,8.0,QB25,154.0,181.0,167.0,167.3,00-0026498,QB,2024,0.8212927756653993,36,1.0,2009,0.14300000000000002,1.0,34.6,51.62757,--
177,Geno Smith,LV,8.0,QB26,139.0,210.0,165.0,171.3,00-0030565,QB,2024,0.949748743718593,33,0.9747058823529412,2013,0.134,39.0,11.3,36.08325,--
178,Sam Darnold,SEA,8.0,QB27,138.0,211.0,169.0,172.7,00-0034869,QB,2024,0.8275862068965517,27,0.9941176470588234,2018,0.12,3.0,27.6,57.33478,--
180,Aaron Rodgers,PIT,5.0,QB28,135.0,217.0,174.0,175.3,00-0023459,QB,2024,0.9026217228464419,40,0.963529411764706,2005,0.051,24.0,14.4,50.955345,--
184,Anthony Richardson Sr.,IND,11.0,QB29,152.0,209.0,177.0,179.3,00-0039164,QB,2024,0.5,22,0.9254545454545454,2023,0.038,4.0,25.8,63.474747,--
193,Shedeur Sanders,CLE,9.0,QB30,124.0,230.0,235.0,196.3,00-0040668,QB,2024,--,22,-1.0,2025,0.004,144.0,3.0,--,--
235,Russell Wilson,NYG,14.0,QB31,,249.0,191.0,220.0,00-0029263,QB,2024,0.9537037037037037,35,0.9827272727272728,2012,0.038,75.0,7.1,38.439064,--
248,Tyler Shough,NO,11.0,QB32,,268.0,207.0,237.5,00-0040743,QB,2024,--,24,-1.0,2025,--,40.0,11.1,--,--
