player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0035710,Daniel Jones,10,2070.0,207.0,3.1974232,64.29143
00-0033106,Jared Goff,18,4942.0,274.55554,4.309222,63.32698
00-0036442,Joe Burrow,17,4918.0,289.29413,4.555306,62.882355
00-0034855,Baker Mayfield,18,4685.0,260.27777,4.120886,62.5787
00-0033873,Patrick Mahomes,19,4607.0,242.47368,3.929792,62.465454
00-0039918,Caleb Williams,17,3541.0,208.29411,3.2921803,62.065968
00-0026158,Joe Flacco,7,1761.0,251.57143,4.0522647,62.00335
00-0029604,Kirk Cousins,14,3508.0,250.57143,4.0096564,61.593983
00-0029263,Russell Wilson,12,2752.0,229.33333,3.7901523,61.5
00-0034796,Lamar Jackson,19,4601.0,242.1579,3.9819183,61.12377
00-0036212,Tua Tagovailoa,11,2867.0,260.63635,4.2174864,61.121212
00-0035228,Kyler Murray,17,3851.0,226.52942,3.7350514,60.51927
00-0036389,Jalen Hurts,19,3629.0,191.0,3.0858562,60.39608
00-0034869,Sam Darnold,18,4564.0,253.55556,4.272545,60.269573
00-0026498,Matthew Stafford,18,4295.0,238.61111,3.961864,60.055557
00-0039910,Jayden Daniels,20,4390.0,219.5,3.6750998,59.953053
00-0031280,Derek Carr,10,2145.0,214.5,3.6582515,59.844677
00-0037834,Brock Purdy,15,3864.0,257.6,4.3054905,59.46586
00-0039732,Bo Nix,18,3919.0,217.72223,3.661304,59.3586
00-0030565,Geno Smith,17,4320.0,254.11765,4.2618985,58.948944
00-0034857,Josh Allen,19,4367.0,229.8421,3.9012187,58.832603
00-0039163,C.J. Stroud,19,4254.0,223.89473,3.7911065,58.79002
00-0033077,Dak Prescott,8,1978.0,247.25,4.124785,58.629116
00-0035993,Tyler Huntley,5,829.0,165.8,2.8260431,58.040993
00-0036355,Justin Herbert,18,4112.0,228.44444,3.91507,57.93927
00-0023459,Aaron Rodgers,17,3897.0,229.23529,3.969402,57.648247
00-0033537,Deshaun Watson,7,1148.0,164.0,2.9473855,56.555172
00-0036264,Jordan Love,16,3601.0,225.0625,4.0630317,55.568737
00-0034771,Mason Rudolph,8,1530.0,191.25,3.5160127,55.181355
00-0039164,Anthony Richardson,11,1814.0,164.90909,3.1577034,54.15595
00-0036971,Trevor Lawrence,10,2045.0,204.5,3.9695601,51.527
00-0035289,Gardner Minshew,10,2013.0,201.3,3.89354,51.372772
00-0039376,Spencer Rattler,7,1317.0,188.14285,3.696296,51.367764
00-0039150,Bryce Young,14,2403.0,171.64285,3.3387234,49.85349
00-0039152,Will Levis,12,2091.0,174.25,3.5330102,49.045765
00-0039851,Drake Maye,13,2276.0,175.07692,3.510834,48.24089
00-0033119,Jacoby Brissett,7,826.0,118.0,2.4616473,47.981205
00-0036972,Mac Jones,10,1672.0,167.2,3.465304,47.572998
00-0027973,Andy Dalton,6,989.0,164.83333,3.294543,47.424572
00-0031503,Jameis Winston,11,2121.0,192.81818,3.7401574,45.71309
00-0038579,Aidan O'Connell,9,1612.0,179.11111,3.97126,44.341557
00-0033662,Cooper Rush,12,1844.0,153.66667,3.4475167,44.32173
00-0039917,Michael Penix,5,775.0,155.0,3.6142135,42.13685
00-0035704,Drew Lock,7,1071.0,153.0,3.4571042,42.135014
00-0036945,Justin Fields,11,1106.0,100.545456,3.6799989,33.16182
00-0038128,Malik Willis,6,550.0,91.666664,3.353206,31.98337
00-0038583,Dorian Thompson-Robinson,6,440.0,73.333336,3.3430398,28.684317
00-0038122,Desmond Ridder,5,458.0,91.6,3.828057,26.726242
00-0037012,Trey Lance,4,266.0,66.5,2.736938,23.305897
00-0032268,Marcus Mariota,5,364.0,72.8,3.7972476,20.4806
00-0038102,Kenny Pickett,7,291.0,41.57143,2.9026952,15.757411
00-0036898,Davis Mills,4,212.0,53.0,3.6851199,14.591054
00-0033869,Mitchell Trubisky,9,179.0,19.88889,3.586491,7.78578
00-0038998,Jake Haener,8,226.0,28.25,3.8601625,7.279877
