player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0033077,Dak Prescott,5,1856.0,371.2,5.186516,69.77778
00-0036355,Justin Herbert,15,4336.0,289.06668,4.1923637,69.74378
00-0036442,Joe Burrow,10,2688.0,268.8,3.8836544,68.873436
00-0026143,Matt Ryan,16,4581.0,286.3125,4.3120637,66.30276
00-0022924,Ben Roethlisberger,16,4304.0,269.0,4.070745,65.3317
00-0033106,Jared Goff,17,4281.0,251.82353,3.822936,65.242645
00-0035228,Kyler Murray,16,3971.0,248.1875,3.8408947,64.85359
00-0033873,Patrick Mahomes,18,5590.0,310.55554,4.8873277,64.45638
00-0029604,Kirk Cousins,16,4265.0,266.5625,4.2049055,64.0
00-0022942,Philip Rivers,17,4478.0,263.41177,4.154994,63.76923
00-0029701,Ryan Tannehill,17,3984.0,234.35294,3.6811993,63.012386
00-0032950,Carson Wentz,12,2620.0,218.33333,3.47636,62.68295
00-0029263,Russell Wilson,17,4386.0,258.0,4.1380596,61.977108
00-0023459,Aaron Rodgers,18,4941.0,274.5,4.4853415,61.61111
00-0019596,Tom Brady,20,5694.0,284.7,4.671808,61.345215
00-0035704,Drew Lock,13,2933.0,225.61539,3.7052736,61.022297
00-0035289,Gardner Minshew,9,2259.0,251.0,4.1136646,60.522182
00-0034796,Lamar Jackson,17,3098.0,182.23529,3.032537,60.474545
00-0034855,Baker Mayfield,18,4030.0,223.88889,3.6996257,60.359245
00-0034857,Josh Allen,19,5361.0,282.1579,4.7161107,60.128475
00-0031280,Derek Carr,16,4103.0,256.4375,4.2908673,59.518734
00-0020531,Drew Brees,14,3341.0,238.64285,3.9767838,59.07494
00-0031237,Teddy Bridgewater,15,3733.0,248.86667,4.2352653,58.866024
00-0035710,Daniel Jones,14,2943.0,210.21428,3.5692964,58.676754
00-0033537,Deshaun Watson,16,4823.0,301.4375,5.224954,58.048702
00-0035232,Dwayne Haskins,7,1439.0,205.57143,3.4455812,57.84348
00-0034869,Sam Darnold,12,2208.0,184.0,3.1910546,57.508633
00-0023682,Ryan Fitzpatrick,9,2091.0,232.33333,4.0227103,56.89434
00-0033319,Nick Mullens,10,2437.0,243.7,4.3496757,56.284554
00-0026498,Matthew Stafford,16,4084.0,255.25,4.4859014,56.080475
00-0033869,Mitchell Trubisky,11,2254.0,204.90909,3.771714,55.162254
00-0030520,Mike Glennon,5,1072.0,214.4,3.9289634,54.26008
00-0027973,Andy Dalton,11,2170.0,197.27272,3.8604217,53.64033
00-0032434,Brandon Allen,5,925.0,185.0,3.3107305,52.612144
00-0027939,Cam Newton,15,2657.0,177.13333,3.2085223,52.122963
00-0029567,Nick Foles,9,1852.0,205.77777,3.886994,52.12248
00-0023436,Alex Smith,8,1582.0,197.75,3.6202438,51.976227
00-0036212,Tua Tagovailoa,10,1814.0,181.4,3.6638272,49.035553
00-0026158,Joe Flacco,5,864.0,172.8,3.740869,47.37561
00-0031345,Jimmy Garoppolo,6,1096.0,182.66667,3.9841425,45.458332
00-0034577,Kyle Allen,4,610.0,152.5,4.2148075,44.41925
00-0033936,C.J. Beathard,6,787.0,131.16667,3.8405945,34.067413
00-0027688,Colt McCoy,4,375.0,93.75,3.0415726,30.99815
00-0033275,P.J. Walker,4,368.0,92.0,3.7232635,23.199152
00-0035264,Jarrett Stidham,5,256.0,51.2,2.4094365,22.112034
00-0036389,Jalen Hurts,14,1061.0,75.78571,3.4102418,21.223742
00-0035652,Ryan Finley,4,164.0,41.0,3.0449784,18.859282
00-0026544,Chase Daniel,4,264.0,66.0,4.162014,17.14849
00-0034771,Mason Rudolph,4,324.0,81.0,4.0854983,17.069096
00-0026197,Chad Henne,4,314.0,78.5,5.1791277,17.006361
00-0031503,Jameis Winston,4,131.0,32.75,3.2943196,11.036543
00-0030533,Matt Barkley,4,197.0,49.25,4.709173,8.207396
00-0027948,Blaine Gabbert,4,143.0,35.75,4.7724514,5.0239305
