Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,pass_attempts,completions,pass_yards,pass_ypg,int,pass_td,rush_attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
22,Josh Allen,BUF,7,QB1,20,22,23,21.7,00-0034857,QB,2024,1.0,28,482,307,3731,233.1875,6,28,102,531,33.1875,12,2,40,16
23,Lamar Jackson,BAL,7,QB2,23,24,22,23,00-0034796,QB,2024,0.896551724137931,27,469,316,4172,245.41176470588235,4,41,140,897,52.76470588235294,4,5,45,17
29,Jayden Daniels,WAS,12,QB3,28,31,30,29.7,00-0039910,QB,2024,1.0,23,478,331,3568,209.88235294117646,9,25,149,893,52.529411764705884,6,0,31,17
36,Jalen Hurts,PHI,9,QB4,33,40,40,37.7,00-0036389,QB,2024,0.9166666666666666,26,360,248,2903,193.53333333333333,5,18,152,630,42,14,5,32,15
38,Joe Burrow,CIN,10,QB5,40,42,32,38,00-0036442,QB,2024,0.8333333333333334,27,651,460,4918,289.29411764705884,9,43,42,201,11.823529411764707,2,5,45,17
54,Patrick Mahomes II,KC,10,QB6,50,60,54,54.7,00-0033873,QB,2024,0.9621212121212122,28,579,392,3928,245.5,11,26,58,307,19.1875,2,0,28,16
67,Baker Mayfield,TB,9,QB7,55,72,71,66,00-0034855,QB,2024,0.9568965517241379,29,569,407,4500,264.70588235294116,16,41,60,378,22.235294117647058,3,2,44,17
74,Bo Nix,DEN,12,QB8,68,82,74,74.7,00-0039732,QB,2024,1.0,24,566,376,3775,222.05882352941177,12,29,92,430,25.294117647058822,4,0,34,17
87,Kyler Murray,ARI,8,QB9,93,92,89,91.3,00-0035228,QB,2024,0.82,27,540,372,3851,226.52941176470588,11,21,80,574,33.76470588235294,5,4,26,17
95,Jared Goff,DET,8,QB10,97,98,101,98.7,00-0033106,QB,2024,0.972972972972973,29,536,390,4629,272.29411764705884,12,37,35,56,3.2941176470588234,0,0,38,17
98,Brock Purdy,SF,14,QB11,79,112,115,102,00-0037834,QB,2024,0.9019607843137255,24,450,300,3864,257.6,12,20,66,323,21.533333333333335,5,3,25,15
100,Dak Prescott,DAL,10,QB12,98,121,92,103.7,00-0033077,QB,2024,0.8243243243243243,31,284,185,1978,247.25,8,11,13,54,6.75,1,1,12,8
