...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,pass_attempts,completions,pass_yards,pass_ypg,int,pass_td,rush_attempts,yardas,yardas_por_partido,partidos,rush_td,fumbles_perdidos,total_touchdowns
22,23,Josh Allen,BUF,12,QB1,23,20,24,22.3,00-0034857,QB,2023,1.0,27,577,385,4306,253.2941176470588,18,29,111,524,30.82,17,15,4,44
29,30,Patrick Mahomes II,KC,6,QB2,27,32,34,31,00-0033873,QB,2023,0.9652173913043478,27,595,401,4183,261.4375,14,27,75,389,24.31,16,0,3,27
30,31,Jalen Hurts,PHI,5,QB3,33,31,30,31.3,00-0036389,QB,2023,0.9253731343283582,25,538,352,3858,226.94117647058823,15,23,157,605,35.59,17,15,5,38
36,37,Lamar Jackson,BAL,14,QB4,35,36,40,37,00-0034796,QB,2023,0.8787878787878788,26,456,307,3678,229.875,7,24,148,821,51.31,16,5,6,29
46,47,C.J. Stroud,HOU,14,QB5,42,46,55,47.7,00-0039163,QB,2023,0.8823529411764706,21,493,319,4108,273.8666666666667,5,23,41,159,10.6,15,3,4,26
50,51,Anthony Richardson Sr.,IND,14,QB6,46,53,53,50.7,00-0039164,QB,2023,0.23529411764705882,21,84,50,577,144.25,1,3,25,136,34,4,4,1,7
60,61,Kyler Murray,ARI,11,QB7,55,70,62,62.3,00-0035228,QB,2023,0.7831325301204819,26,267,176,1799,224.875,5,10,45,244,30.5,8,3,0,13
65,66,Joe Burrow,CIN,12,QB8,58,62,74,64.7,00-0036442,QB,2023,0.7910447761194029,26,364,244,2309,230.9,6,15,31,88,8.8,10,0,1,15
72,73,Jordan Love,GB,10,QB9,68,82,66,72,00-0036264,QB,2023,0.7611940298507462,24,577,372,4159,244.64705882352942,11,32,51,247,14.53,17,4,3,36
74,75,Dak Prescott,DAL,7,QB10,64,77,77,72.7,00-0033077,QB,2023,0.8702290076335878,30,590,410,4516,265.6470588235294,9,36,56,242,14.24,17,2,2,38
89,90,Brian Robinson Jr.,WAS,14,RB31,94,103,83,93.3,00-0037834,QB,2023,0.9117647058823529,23,441,308,4280,267.5,11,31,39,144,9,16,2,2,33
90,91,Brock Purdy,SF,9,QB11,84,97,101,94,00-0037834,QB,2023,0.9117647058823529,23,441,308,4280,267.5,11,31,39,144,9,16,2,2,33
94,95,Jayden Daniels,WAS,14,QB12,95,112,89,98.7,00-0039910,QB,2023,--,22,0,0,0,0,0,0,0,,,,0,0,0
95,96,Caleb Williams,CHI,7,QB13,105,99,97,100.3,00-0039918,QB,2023,--,21,0,0,0,0,0,0,0,,,,0,0,0
100,101,Tua Tagovailoa,MIA,6,QB14,102,106,106,104.7,00-0036212,QB,2023,0.8805970149253731,25,558,388,4624,272,14,29,35,74,4.35,17,0,5,29
104,105,Jared Goff,DET,5,QB15,104,113,105,107.3,00-0033106,QB,2023,0.9694656488549618,28,601,407,4575,269.11764705882354,12,30,32,21,1.24,17,2,4,32
120,121,Trevor Lawrence,JAC,12,QB16,130,127,120,125.7,00-0036971,QB,2023,0.9803921568627451,23,564,370,4016,251,14,21,70,339,21.19,16,4,8,25
124,125,Justin Herbert,LAC,5,QB17,146,123,129,132.7,00-0036355,QB,2023,0.9402985074626866,25,456,297,3134,241.07692307692307,7,20,52,228,17.54,13,3,1,23
133,134,Aaron Rodgers,PIT,9,QB18,143,143,135,140.3,00-0023459,QB,2023,0.896,39,1,0,0,0,0,0,0,,,,0,0,0
136,137,Kirk Cousins,ATL,12,QB19,155,145,130,143.3,00-0029604,QB,2023,0.949748743718593,35,309,216,2331,291.375,5,18,14,25,3.12,8,0,4,18
145,146,Matthew Stafford,LAR,6,QB20,164,158,141,154.3,00-0026498,QB,2023,0.8089430894308943,35,518,326,3965,264.3333333333333,11,24,21,65,4.33,15,0,0,24
151,152,Baker Mayfield,TB,11,QB21,147,171,155,157.7,00-0034855,QB,2023,0.9494949494949495,28,566,364,4044,237.88235294117646,10,28,62,163,9.59,17,1,3,29
170,171,Will Levis,TEN,5,QB22,149,194,162,168.3,00-0039152,QB,2023,0.5294117647058824,24,253,149,1808,200.88888888888889,4,8,25,57,6.33,9,1,4,9
174,175,Bo Nix,DEN,14,QB23,132,215,179,175.3,00-0039732,QB,2023,--,23,0,0,0,0,0,0,0,,,,0,0,0
177,178,Deshaun Watson,CLE,10,QB24,185,178,165,176,00-0033537,QB,2023,0.7304347826086957,27,170,105,1115,185.83333333333334,4,7,29,148,24.67,6,1,3,8
182,183,Russell Wilson,NYG,11,QB25,125,241,182,182.7,00-0029263,QB,2023,0.9748743718592965,34,443,297,3070,204.66666666666666,8,26,80,341,22.73,15,3,5,29
183,184,Justin Fields,NYJ,12,QB26,135,204,209,182.7,00-0036945,QB,2023,0.7843137254901961,24,370,227,2562,197.07692307692307,9,16,124,657,50.54,13,4,4,20
188,189,Geno Smith,LV,10,QB27,208,198,166,190.7,00-0030565,QB,2023,0.945054945054945,32,495,323,3624,241.6,9,20,37,155,10.33,15,1,3,21
212,213,Bryce Young,CAR,11,QB28,,223,173,198,00-0039150,QB,2023,0.9411764705882353,22,526,315,2877,179.8125,10,11,40,255,15.94,16,0,6,11
214,215,Derek Carr,,,QB29,,239,167,203,00-0031280,QB,2023,0.9878787878787879,32,548,375,3878,228.11764705882354,8,25,32,40,2.35,17,0,3,25
216,217,Daniel Jones,IND,14,QB30,,235,177,206,00-0035710,QB,2023,0.7469879518072289,26,160,108,909,151.5,6,2,40,206,34.33,6,1,1,3
219,220,Drake Maye,NE,14,QB31,,221,200,210.5,00-0039851,QB,2023,--,21,0,0,0,0,0,0,0,,,,0,0,0
223,224,Sam Darnold,SEA,10,QB32,,246,183,214.5,00-0034869,QB,2023,0.797979797979798,26,45,28,297,49.5,1,2,21,15,1.5,10,1,1,3
263,264,Jacoby Brissett,ARI,11,QB34,,,196,196,00-0033119,QB,2023,0.9007633587786259,30,23,18,224,112,0,3,3,19,9.5,2,0,0,3
274,275,Aidan O'Connell,LV,10,QB35,,314,213,263.5,00-0038579,QB,2023,0.7058823529411765,25,342,213,2218,201.63636363636363,7,12,17,11,1,11,1,2,13
289,290,Joe Flacco,CLE,10,QB36,,,248,248,00-0026158,QB,2023,0.8760683760683761,38,204,123,1616,323.2,8,13,9,2,0.4,5,0,1,13
292,293,Michael Penix Jr.,ATL,12,QB37,,257,,257,00-0039917,QB,2023,--,23,0,0,0,0,0,0,0,,,,0,0,0
