player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0036442,Joe Burrow,137,974.0,30.0
00-0033873,Patrick Mahomes,134,898.0,25.0
00-0033106,Jared Goff,111,898.0,25.0
00-0034869,Sam Darnold,104,804.0,26.0
00-0039910,Jayden Daniels,101,710.0,22.0
00-0026498,Matthew Stafford,97,634.0,20.0
00-0023459,Aaron Rodgers,94,554.0,20.0
00-0034855,Baker Mayfield,94,852.0,31.0
00-0034857,Josh Allen,90,591.0,21.0
00-0037834,Brock Purdy,85,674.0,17.0
00-0036264,Jordan Love,85,718.0,20.0
00-0039918,Caleb Williams,84,464.0,13.0
00-0039732,Bo Nix,82,748.0,23.0
00-0034796,Lamar Jackson,82,894.0,36.0
00-0039163,C.J. Stroud,81,468.0,17.0
00-0035228,Kyler Murray,75,616.0,16.0
00-0036355,Justin Herbert,70,382.0,12.0
00-0030565,Geno Smith,66,530.0,15.0
00-0036212,Tua Tagovailoa,65,510.0,16.0
00-0036389,Jalen Hurts,65,508.0,15.0
00-0039150,Bryce Young,64,424.0,11.0
00-0029263,Russell Wilson,53,418.0,11.0
00-0029604,Kirk Cousins,51,362.0,10.0
00-0039851,Drake Maye,49,278.0,9.0
00-0026158,Joe Flacco,47,296.0,9.0
00-0035289,Gardner Minshew,46,246.0,7.0
00-0036971,Trevor Lawrence,42,258.0,9.0
00-0035710,Daniel Jones,41,168.0,6.0
00-0033077,Dak Prescott,39,266.0,7.0
00-0031503,Jameis Winston,39,196.0,6.0
00-0031280,Derek Carr,36,288.0,8.0
00-0036972,Mac Jones,35,262.0,6.0
00-0033662,Cooper Rush,34,220.0,10.0
00-0034771,Mason Rudolph,33,226.0,8.0
00-0038579,Aidan O'Connell,32,246.0,5.0
00-0033119,Jacoby Brissett,31,158.0,2.0
00-0039152,Will Levis,30,206.0,6.0
00-0039164,Anthony Richardson,24,98.0,4.0
00-0027973,Andy Dalton,24,146.0,5.0
00-0036945,Justin Fields,23,204.0,4.0
00-0035993,Tyler Huntley,23,90.0,3.0
00-0033537,Deshaun Watson,22,148.0,4.0
00-0035704,Drew Lock,17,86.0,2.0
00-0039917,Michael Penix Jr.,16,164.0,2.0
00-0039376,Spencer Rattler,14,82.0,3.0
00-0036898,Davis Mills,12,52.0,0.0
00-0038583,Dorian Thompson-Robinson,11,4.0,0.0
00-0031345,Jimmy Garoppolo,11,34.0,2.0
00-0037012,Trey Lance,10,0.0,0.0
00-0028118,Tyrod Taylor,10,72.0,3.0
00-0038122,Desmond Ridder,9,42.0,1.0
00-0037327,Skylar Thompson,9,30.0,0.0
00-0032268,Marcus Mariota,9,120.0,4.0
00-0038102,Kenny Pickett,8,30.0,1.0
00-0038128,Malik Willis,7,44.0,2.0
00-0034177,Tim Boyle,7,22.0,0.0
00-0033949,Joshua Dobbs,7,56.0,1.0
00-0038400,Tanner McKee,6,92.0,3.0
00-0038108,Bailey Zappe,6,36.0,1.0
00-0038998,Jake Haener,5,38.0,1.0
00-0038476,Tommy DeVito,4,0.0,0.0
00-0032434,Brandon Allen,4,40.0,1.0
00-0039398,Joe Milton III,3,32.0,0.0
00-0033869,Mitchell Trubisky,2,6.0,1.0
