player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0037840,Kyren Williams,18,1481.0,82.27778,1.8016294,47.012905
00-0036223,Jonathan Taylor,14,1431.0,102.21429,2.3881168,43.633747
00-0038542,Bijan Robinson,17,1456.0,85.64706,2.0831304,41.571815
00-0038597,Chase Brown,16,990.0,61.875,1.5452048,41.283447
00-0034844,Saquon Barkley,20,2504.0,125.2,3.029408,40.662834
00-0036139,Rico Dowdle,16,1079.0,67.4375,1.6066931,40.463715
00-0036555,Chuba Hubbard,15,1195.0,79.666664,1.9218904,40.403667
00-0033897,Joe Mixon,16,1210.0,75.625,2.0162497,38.392788
00-0035261,Tony Pollard,16,1079.0,67.4375,1.7348175,38.31695
00-0033293,Aaron Jones,18,1186.0,65.888885,1.8236463,36.690933
00-0039139,Jahmyr Gibbs,18,1517.0,84.27778,2.3803535,36.638817
00-0032764,Derrick Henry,19,2191.0,115.31579,3.1752427,35.935223
00-0038134,Kenneth Walker,11,573.0,52.090908,1.4560661,35.146057
00-0038120,Breece Hall,16,876.0,54.75,1.5804375,34.94396
00-0036158,J.K. Dobbins,14,931.0,66.5,1.9479307,34.35628
00-0035700,Josh Jacobs,18,1410.0,78.333336,2.4131815,33.84152
00-0034791,Nick Chubb,8,332.0,41.5,1.3082867,33.521393
00-0033906,Alvin Kamara,14,950.0,67.85714,2.0465705,32.88819
00-0036275,D'Andre Swift,17,959.0,56.411766,1.6802325,32.83658
00-0037509,Sincere McCormick,4,183.0,45.75,1.3230289,32.602478
00-0039040,Devon Achane,17,907.0,53.35294,1.6575884,32.54936
00-0033923,Kareem Hunt,16,845.0,52.8125,1.6297897,31.983263
00-0036893,Najee Harris,18,1060.0,58.88889,1.9531964,29.158224
00-0037248,James Cook,19,1281.0,67.42105,2.2850704,28.653437
00-0037525,Jordan Mason,12,789.0,65.75,2.348298,28.501413
00-0039361,Bucky Irving,18,1199.0,66.611115,2.3304377,28.414991
00-0033280,Christian McCaffrey,4,202.0,50.5,1.9726822,28.068472
00-0038555,Tank Bigsby,15,766.0,51.066666,1.7708409,27.462673
00-0039384,Tyrone Tracy,17,839.0,49.35294,1.7014593,26.742838
00-0033553,James Conner,16,1094.0,68.375,2.403072,26.550508
00-0036875,Rhamondre Stevenson,15,801.0,53.4,2.0110266,25.663197
00-0037267,Jerome Ford,14,565.0,40.357143,1.5515567,25.07792
00-0036973,Travis Etienne,15,558.0,37.2,1.6874537,22.923775
00-0034972,Alexander Mattison,14,420.0,30.0,1.262556,22.846786
00-0037746,Brian Robinson,17,928.0,54.588234,2.4098516,22.49974
00-0035685,David Montgomery,15,803.0,53.533333,2.3692725,22.256779
00-0037197,Isiah Pacheco,10,347.0,34.7,1.5871024,22.003767
00-0038040,Zamir White,8,183.0,22.875,1.217225,20.893728
00-0036414,Cam Akers,16,483.0,30.1875,1.6460869,20.099579
00-0039165,Zach Charbonnet,17,569.0,33.47059,1.6282216,20.017868
00-0035250,Devin Singletary,15,437.0,29.133333,1.6470731,19.850286
00-0036251,Zack Moss,8,242.0,30.25,1.5986593,19.127867
00-0034184,Gus Edwards,12,387.0,32.25,1.8987633,18.556627
00-0035973,Patrick Taylor,5,183.0,36.6,2.5680566,18.262928
