player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0031285,Devonta Freeman,15,1056.0,70.4,1.4743502,46.234695
00-0027966,Mark Ingram,12,769.0,64.083336,1.422129,46.07577
00-0030513,Latavius Murray,16,1066.0,66.625,1.4592456,44.539516
00-0026289,Tim Hightower,6,375.0,62.5,1.5578595,44.366016
00-0023500,Frank Gore,16,967.0,60.4375,1.4257563,43.334984
00-0026373,Justin Forsett,10,641.0,64.1,1.4272969,42.605938
00-0026213,Jamaal Charles,5,364.0,72.8,1.7563145,41.355305
00-0030496,Le'Veon Bell,6,556.0,92.666664,2.3067605,40.655506
00-0029613,Doug Martin,16,1402.0,87.625,2.1691334,40.13757
00-0025394,Adrian Peterson,17,1530.0,90.0,2.2507846,39.888954
00-0026184,Matt Forte,13,898.0,69.07692,1.8232263,39.363205
00-0026164,Chris Johnson,11,814.0,74.0,2.0095446,38.9233
00-0032209,T.J. Yeldon,12,740.0,61.666668,1.581933,38.674404
00-0032144,Melvin Gordon,14,641.0,45.785713,1.264761,38.124733
00-0026796,Arian Foster,4,163.0,40.75,1.0744637,37.42246
00-0027531,Chris Ivory,15,1070.0,71.333336,1.8674544,37.079094
00-0027325,LeGarrette Blount,12,703.0,58.583332,1.4001055,36.702595
00-0024242,DeAngelo Williams,16,907.0,56.6875,1.7657871,36.02601
00-0026153,Jonathan Stewart,16,1207.0,75.4375,2.197266,34.49144
00-0031045,Carlos Hyde,7,470.0,67.14286,1.8661066,34.286724
00-0032241,Todd Gurley,13,1106.0,85.07692,2.3224986,34.066162
00-0027155,Rashad Jennings,16,863.0,53.9375,1.5577075,34.039776
00-0026144,Darren McFadden,16,1089.0,68.0625,1.9838476,33.03238
00-0027029,LeSean McCoy,12,895.0,74.583336,2.6265948,32.717747
00-0029615,Lamar Miller,16,872.0,54.5,1.6023517,31.735731
00-0029854,C.J. Anderson,18,954.0,53.0,1.7060361,31.540092
00-0031075,Alfred Blue,15,797.0,53.133335,1.6176312,29.617968
00-0030388,Joseph Randle,6,315.0,52.5,2.0776665,29.56014
