"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0034844","Saquon Barkley",263,16.4,22.2,"RB","NYG",73.9
2,"00-0032187","David Johnson",259,16.2,22.2,"RB","ARI",72.8
3,"00-0033045","Ezekiel Elliott",304,20.3,27.5,"RB","DAL",69.1
4,"00-0033897","Joe Mixon",237,16.9,22.4,"RB","CIN",66
5,"00-0033553","James Conner",215,16.5,21.6,"RB","PIT",62.3
6,"00-0025394","Adrian Peterson",251,15.7,25.9,"RB","WAS",60.6
7,"00-0032741","Peyton Barber",234,14.6,24.4,"RB","TB",60
8,"00-0032241","Todd Gurley",260,18.6,28.9,"RB","LA",56.2
9,"00-0032780","Jordan Howard",250,15.6,29.2,"RB","CHI",53.4
10,"00-0033280","Christian McCaffrey",219,13.7,26.1,"RB","CAR",52.5
11,"00-0034109","Phillip Lindsay",193,12.9,24.7,"RB","DEN",48.9
12,"00-0033951","Marlon Mack",197,16.4,25.6,"RB","IND",48
13,"00-0032058","Tevin Coleman",167,10.4,21.9,"RB","ATL",47.6
14,"00-0032764","Derrick Henry",215,13.4,28.4,"RB","TEN",47.4
15,"00-0033923","Kareem Hunt",181,16.5,24.2,"RB","KC",46.6
16,"00-0034791","Nick Chubb",192,12,25.8,"RB","CLE",46.5
17,"00-0033594","Chris Carson",247,17.6,33.4,"RB","SEA",46.3
18,"00-0029615","Lamar Miller",210,15,29.5,"RB","HOU",44.5
19,"00-0029613","Doug Martin",172,11.5,24.2,"RB","LV",44.3
20,"00-0032144","Melvin Gordon",176,14.7,25,"RB","LAC",44
21,"00-0034845","Sony Michel",209,16.1,29.9,"RB","NE",43.7
22,"00-0023500","Frank Gore",156,11.1,23.2,"RB","MIA",42
23,"00-0033906","Alvin Kamara",197,13.1,29.7,"RB","NO",41.5
24,"00-0033293","Aaron Jones",133,11.1,20.9,"RB","GB",39.8
25,"00-0030513","Latavius Murray",140,8.8,22.3,"RB","MIN",39.2
26,"00-0027325","LeGarrette Blount",155,9.7,25.3,"RB","DET",38.3
