"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033280","Christian McCaffrey",83,5.2,27.7,"RB","SF",17.6
2,"00-0038120","Breece Hall",95,5.6,33.2,"RB","NYJ",16.8
3,"00-0038542","Bijan Robinson",86,5.4,30.1,"RB","ATL",16.8
4,"00-0037228","Jaylen Warren",74,4.4,28.6,"RB","PIT",15.2
5,"00-0033906","Alvin Kamara",87,6.7,34.2,"RB","NO",15
6,"00-0039032","Tyjae Spears",70,4.1,28.2,"RB","TEN",14.6
7,"00-0037256","Rachaad White",70,4.1,32.6,"RB","TB",12.6
8,"00-0034844","Saquon Barkley",61,4.4,28.6,"RB","NYG",12.5
9,"00-0039139","Jahmyr Gibbs",72,4.8,34.1,"RB","DET",12.4
10,"00-0036997","Javonte Williams",59,3.9,28.2,"RB","DEN",12.3
11,"00-0033045","Ezekiel Elliott",65,4.3,31.9,"RB","NE",12
12,"00-0033699","Austin Ekeler",74,5.3,36.2,"RB","LAC",12
13,"00-0036973","Travis Etienne",73,4.3,35.9,"RB","JAX",12
14,"00-0033526","Samaje Perine",56,3.3,28.2,"RB","DEN",11.7
15,"00-0033897","Joe Mixon",65,3.8,34.9,"RB","CIN",11
16,"00-0035261","Tony Pollard",67,4.2,35.8,"RB","DAL",11
17,"00-0037267","Jerome Ford",63,3.9,35.2,"RB","CLE",10.5
18,"00-0035700","Josh Jacobs",54,4.5,31.4,"RB","LV",10.1
19,"00-0036328","Antonio Gibson",59,3.7,35.4,"RB","WAS",9.8
20,"00-0037248","James Cook",54,3.6,32.3,"RB","BUF",9.8
21,"00-0036875","Rhamondre Stevenson",51,4.2,31.9,"RB","NE",9.4
22,"00-0036275","D'Andre Swift",49,3.5,30.9,"RB","PHI",9.3
23,"00-0037840","Kyren Williams",48,4.8,32.9,"RB","LA",8.6
24,"00-0039021","Roschon Johnson",40,3.6,28.2,"RB","CHI",8.3
25,"00-0034975","Justice Hill",39,3,28.1,"RB","BAL",8.2
26,"00-0036555","Chuba Hubbard",44,2.8,31.5,"RB","CAR",8.2
27,"00-0037197","Isiah Pacheco",49,3.5,35.2,"RB","KC",8.2
28,"00-0036893","Najee Harris",38,2.9,28.6,"RB","PIT",7.8
29,"00-0035243","Miles Sanders",41,3.2,31.5,"RB","CAR",7.7
30,"00-0033293","Aaron Jones",43,3.9,33.1,"RB","GB",7.6
31,"00-0032764","Derrick Henry",36,2.4,28.2,"RB","TEN",7.5
32,"00-0038794","Jaleel McLaughlin",36,2.8,28.2,"RB","DEN",7.5
33,"00-0039165","Zach Charbonnet",40,2.7,32.3,"RB","SEA",7.3
34,"00-0034972","Alexander Mattison",44,2.9,35.7,"RB","MIN",7.2
35,"00-0036251","Zack Moss",39,3.5,32.4,"RB","IND",7.1
36,"00-0037746","Brian Robinson",43,3.3,35.4,"RB","WAS",7.1
37,"00-0036919","Kenneth Gainwell",37,2.6,30.9,"RB","PHI",7
38,"00-0035250","Devin Singletary",38,2.4,33.6,"RB","HOU",6.7
39,"00-0038134","Kenneth Walker",37,2.6,32.3,"RB","SEA",6.7
40,"00-0039040","De'Von Achane",37,3.4,32.4,"RB","MIA",6.7
41,"00-0036906","Khalil Herbert",31,2.8,28.2,"RB","CHI",6.5
42,"00-0033553","James Conner",35,2.9,32.2,"RB","ARI",6.4
43,"00-0031687","Raheem Mostert",32,2.3,32.4,"RB","MIA",5.8
44,"00-0038705","Emari Demercado",30,3.3,32.2,"RB","ARI",5.5
45,"00-0031376","Jerick McKinnon",32,2.7,35.2,"RB","KC",5.3
46,"00-0036265","AJ Dillon",28,2.3,33.1,"RB","GB",5
47,"00-0037276","Ty Chandler",25,2.5,35.7,"RB","MIN",4.1
