...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,David Johnson,,,RB1,1,,,,,1,1,00-0032187,RB,2016,1.0,24,2015,0.836875,76.965164,0.005,86,6.2,293,1239,77.4375,6,16,3,121,80,879,54.9375,13,4,20,16
1,2,Le'Veon Bell,,,RB2,2,,,,,2,2,00-0030496,RB,2016,0.8867924528301887,24,2013,0.9608333333333334,101.96455,0.073,48,9.9,261,1268,105.66666666666667,4,7,1,95,75,616,51.333333333333336,4,2,9,12
5,6,LeSean McCoy,,,RB3,6,,,,,5,6.4,00-0027029,RB,2016,1.0,28,2009,0.6573333333333332,94.69838,0.055999999999999994,53,9.3,235,1269,84.6,11,13,0,57,50,352,23.466666666666665,2,1,14,15
8,9,Devonta Freeman,,,RB4,8,,,,,10,9.4,00-0031285,RB,2016,1.0,24,2014,0.5843750000000001,82.089294,0.049,103,5.1,227,1079,67.4375,7,11,1,66,54,462,28.875,3,2,13,16
9,10,Melvin Gordon,III,,RB5,11,,,,,8,9.6,00-0032144,RB,2016,0.5161290322580645,23,2015,0.7553846153846154,94.88358,0.019,15,17.4,254,997,76.6923076923077,7,10,2,57,41,419,32.23076923076923,4,2,12,13
12,13,Jordan Howard,,,RB6,13,,,,,15,14.4,00-0032780,RB,2016,1.0,21,2016,0.6726666666666666,67.19257,0.004,150,2.7,252,1313,87.53333333333333,10,6,1,50,29,298,19.866666666666667,4,1,7,15
13,14,DeMarco Murray,,,RB7,14,,,,,14,14.4,00-0028009,RB,2016,0.8571428571428571,28,2011,0.8093750000000001,45.53317,0.040999999999999995,71,7.5,293,1287,80.4375,4,9,1,68,53,377,23.5625,2,3,13,16
14,15,Jay Ajayi,,,RB8,15,,,,,19,15,00-0031590,RB,2016,1.0,23,2015,0.6506666666666666,84.07124,0.004,149,2.7,260,1272,84.8,10,8,1,35,27,151,10.066666666666666,0,0,8,15
15,16,Ezekiel Elliott,,,RB9,21,,,,,13,15.4,00-0033045,RB,2016,1.0,21,2016,0.7146666666666666,60.63067,0.04,4,25.8,322,1631,108.73333333333333,14,15,1,40,32,363,24.2,3,1,16,15
17,18,Todd Gurley,II,,RB10,18,,,,,17,18.6,00-0032241,RB,2016,1.0,22,2015,0.7393749999999999,23.3825,0.024,10,19.9,278,885,55.3125,2,6,1,58,43,327,20.4375,5,0,6,16
23,24,Leonard Fournette,,,RB11,26,,,,,21,24.8,00-0033856,RB,2016,--,21,2017,-1,--,0.040999999999999995,4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,Christian McCaffrey,SF,11,RB12,30,,,,,24,27.2,00-0033280,RB,2016,--,20,2017,-1,--,0.026000000000000002,8,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,Lamar Miller,,,RB13,27,,,,,26,30.6,00-0029615,RB,2016,1.0,25,2012,0.6307142857142857,57.16115,0.042,97,5.5,268,1073,76.64285714285714,7,5,1,39,31,199,14.214285714285714,0,1,6,14
32,33,Isaiah Crowell,,,RB14,36,,,,,38,33.8,00-0030656,RB,2016,1.0,23,2014,-1,40.993626,0.016,,0,198,952,59.5,8,7,2,53,40,319,19.9375,2,0,7,16
33,34,Dalvin Cook,,,RB15,42,,,,,41,34.2,00-0033893,RB,2016,--,21,2017,-1,--,0.01,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,Marshawn Lynch,,,RB16,28,,,,,30,35.8,00-0025399,RB,2016,1.0,30,2007,-1,--,0.027000000000000003,12,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,Kareem Hunt,KC,10,RB17,33,,,,,37,38.2,00-0033923,RB,2016,--,21,2017,-1,--,0.005,86,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,Carlos Hyde,,,RB18,38,,,,,45,41.4,00-0031045,RB,2016,0.6956521739130435,25,2014,0.6353846153846153,72.71026,0.006999999999999999,57,8.9,218,990,76.15384615384616,7,6,3,33,27,163,12.538461538461538,0,3,9,13
43,44,Joe Mixon,HOU,7,RB20,57,,,,,33,43.8,00-0033897,RB,2016,--,20,2017,-1,--,0.008,48,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,Mark Ingram,II,,RB21,55,,,,,53,55.6,00-0027966,RB,2016,0.6907216494845361,26,2011,0.460625,94.67317,0.027999999999999997,28,13.4,208,1047,65.4375,4,6,2,58,46,319,19.9375,4,4,10,16
57,58,Bilal Powell,,,RB22,56,,,,,63,58.8,00-0028064,RB,2016,1.0,27,2011,0.5075000000000001,97.945175,0.024,126,3.8,131,714,44.625,4,3,1,74,58,384,24,1,1,4,16
60,61,C.J. Anderson,,,RB23,69,,,,,57,60.8,00-0029854,RB,2016,0.8656716417910447,25,2013,-1,64.93285,0.028999999999999998,,0,110,437,62.42857142857143,1,4,0,24,16,128,18.285714285714285,2,1,5,7
64,65,Ameer Abdullah,SF,11,RB24,75,,,,,61,64,00-0032104,RB,2016,0.5757575757575758,23,2015,0.42,184.31999,0.006999999999999999,54,9.2,18,101,50.5,1,0,0,5,5,57,28.5,0,1,1,2
66,67,Danny Woodhead,,,RB25,65,,,,,85,67.8,00-0026019,RB,2016,0.853448275862069,31,2008,-1,178.60501,0.018000000000000002,,0,19,116,58,2,0,0,8,6,35,17.5,0,1,1,2
68,69,Tevin Coleman,,,RB26,90,,,,,49,71.2,00-0032058,RB,2016,1.0,23,2015,0.4130769230769232,69.22833,0.006,73,7.3,118,520,40,5,8,0,40,31,421,32.38461538461539,8,3,11,13
70,71,Adrian Peterson,,,RB27,62,,,,,87,75.4,00-0025394,RB,2016,0.7563025210084033,31,2007,0.4666666666666666,2.7299998,0.021,7,22.2,37,72,24,0,0,1,6,3,8,2.6666666666666665,0,0,0,3
71,72,Doug Martin,,,RB28,97,,,,,86,76,00-0029613,RB,2016,0.881578947368421,27,2012,0.58875,26.115536,0.046,31,12.7,144,421,52.625,0,3,1,16,14,134,16.75,2,0,3,8
72,73,Mike Gillislee,,,RB29,77,,,,,82,77.8,00-0030433,RB,2016,1.0,25,2013,0.27266666666666667,28.108856,0.019,164,2.1,101,577,38.46666666666667,7,8,0,11,9,50,3.3333333333333335,0,1,9,15
76,77,Frank Gore,,,RB30,64,,,,,76,80.8,00-0023500,RB,2016,0.9076923076923077,33,2005,0.59375,24.041166,0.027999999999999997,65,8,263,1025,64.0625,1,4,1,47,38,277,17.3125,1,4,8,16
78,79,Theo Riddick,,,RB31,81,,,,,77,82.8,00-0030107,RB,2016,0.9850746268656716,25,2013,0.654,61.083996,0.025,199,0.9,92,357,35.7,2,1,0,67,53,371,37.1,2,5,6,10
79,80,Robert Kelley,,,RB32,78,,,,,81,83.6,00-0032371,RB,2016,1.0,23,2016,0.3513333333333334,69.502205,0.003,,0,168,704,50.285714285714285,4,6,0,18,12,82,5.857142857142857,1,1,7,14
81,82,Paul Perkins,,,RB33,88,,,,,68,84.6,00-0032417,RB,2016,1.0,21,2016,0.3085714285714286,6.5891023,0.004,149,2.7,112,456,35.07692307692308,2,0,0,24,15,162,12.461538461538462,1,0,0,13
89,90,Derrick Henry,BAL,10,RB34,130,,,,,69,90,00-0032764,RB,2016,1.0,22,2016,0.27266666666666667,35.527306,0.009000000000000001,45,10.4,110,490,35,1,5,0,15,13,137,9.785714285714286,1,0,5,14
