...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Jonathan Taylor,IND,14,RB1,1,1,,1,00-0036223,RB,2021,0.9696969696969697,22,332,1811,106.52941176470588,14,18,2,52,40,360,21.176470588235293,5,2,20,17
1,2,Christian McCaffrey,SF,9,RB2,2,2,,2,00-0033280,RB,2021,0.7160493827160493,25,99,442,63.142857142857146,0,1,0,41,37,343,49,4,1,2,7
2,3,Austin Ekeler,WAS,14,RB3,3,4,,3.5,00-0033699,RB,2021,0.9135802469135802,26,208,913,57.0625,3,12,3,95,70,647,40.4375,3,8,20,16
3,4,Derrick Henry,BAL,10,RB4,6,3,,4.5,00-0032764,RB,2021,0.8979591836734694,27,220,939,117.375,3,10,0,20,18,154,19.25,0,0,11,8
6,7,Dalvin Cook,,,RB5,7,6,,6.5,00-0033893,RB,2021,0.7530864197530864,26,251,1161,89.3076923076923,9,6,2,49,34,224,17.23076923076923,1,0,6,13
7,8,Najee Harris,LAC,8,RB6,9,7,,8,00-0036893,RB,2021,1.0,23,307,1200,70.58823529411765,6,7,0,94,74,467,27.470588235294116,3,3,10,17
9,10,Joe Mixon,HOU,6,RB7,11,9,,10,00-0033897,RB,2021,0.8641975308641975,25,294,1205,75.3125,6,13,1,48,42,314,19.625,3,3,16,16
12,13,D'Andre Swift,CHI,14,RB8,17,12,,14.5,00-0036275,RB,2021,0.7878787878787878,22,151,617,47.46153846153846,3,5,1,78,62,450,34.61538461538461,3,2,7,13
14,15,Alvin Kamara,NO,14,RB9,18,13,,15.5,00-0033906,RB,2021,0.9135802469135802,26,241,898,69.07692307692308,3,4,0,67,47,439,33.76923076923077,4,5,9,13
16,17,Aaron Jones Sr.,MIN,7,RB10,14,18,,16,00-0033293,RB,2021,0.9012345679012346,26,171,799,53.266666666666666,5,4,1,65,52,391,26.066666666666666,4,6,10,15
17,18,Saquon Barkley,PHI,7,RB11,16,17,,16.5,00-0034844,RB,2021,0.676923076923077,24,162,593,45.61538461538461,3,2,1,57,41,263,20.23076923076923,1,2,4,13
18,19,Nick Chubb,HOU,6,RB12,19,16,,17.5,00-0034791,RB,2021,0.8923076923076924,25,228,1259,89.92857142857143,12,8,1,25,20,174,12.428571428571429,2,1,9,14
21,22,Leonard Fournette,,,RB13,20,25,,22.5,00-0033856,RB,2021,0.9012345679012346,26,180,812,58,5,8,0,84,69,454,32.42857142857143,1,2,10,14
22,23,Javonte Williams,DAL,9,RB14,25,21,,23,00-0036997,RB,2021,1.0,21,203,903,53.11764705882353,6,4,1,53,43,316,18.58823529411765,2,3,7,17
26,27,Ezekiel Elliott,,,RB15,28,27,,27.5,00-0033045,RB,2021,0.9278350515463918,26,240,1008,59.294117647058826,3,10,1,65,47,273,16.058823529411764,1,2,12,17
27,28,James Conner,ARI,13,RB16,29,29,,29,00-0033553,RB,2021,0.8414634146341463,26,202,752,50.13333333333333,3,15,0,39,37,366,24.4,5,3,18,15
37,38,Travis Etienne Jr.,JAC,11,RB17,43,37,,40,00-0036973,RB,2021,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,Breece Hall,NYJ,10,RB18,41,40,,40.5,00-0038120,RB,2021,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,David Montgomery,DET,6,RB19,46,38,,42,00-0035685,RB,2021,0.8979591836734694,24,225,849,65.3076923076923,5,7,1,51,42,301,23.153846153846153,0,0,7,13
42,43,Cam Akers,NO,14,RB20,45,39,,42,00-0036414,RB,2021,0.42424242424242425,22,5,3,3,0,0,0,3,3,10,10,0,0,0,1
45,46,Elijah Mitchell,KC,8,RB21,37,54,,45.5,00-0036567,RB,2021,0.6470588235294118,23,207,963,87.54545454545455,6,5,0,20,19,137,12.454545454545455,0,1,6,11
