player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0034844,Saquon Barkley,79,240.0,8.0
00-0037840,Kyren Williams,74,202.0,14.0
00-0033897,Joe Mixon,66,190.0,12.0
00-0037248,James Cook,64,205.0,15.0
00-0035700,Josh Jacobs,63,155.0,15.0
00-0032764,Derrick Henry,61,189.0,16.0
00-0038542,Bijan Robinson,61,151.0,13.0
00-0036223,Jonathan Taylor,60,122.0,7.0
00-0039139,Jahmyr Gibbs,60,187.0,14.0
00-0033553,James Conner,54,162.0,9.0
00-0035685,David Montgomery,52,168.0,12.0
00-0036893,Najee Harris,51,137.0,5.0
00-0037746,Brian Robinson,50,122.0,9.0
00-0033923,Kareem Hunt,47,120.0,9.0
00-0036555,Chuba Hubbard,46,117.0,8.0
00-0038597,Chase Brown,46,94.0,6.0
00-0033293,Aaron Jones,43,87.0,4.0
00-0039361,Bucky Irving,42,164.0,8.0
00-0036875,Rhamondre Stevenson,41,97.0,6.0
00-0039040,De'Von Achane,38,52.0,5.0
00-0033906,Alvin Kamara,35,109.0,6.0
00-0038555,Tank Bigsby,35,132.0,6.0
00-0037525,Jordan Mason,34,107.0,3.0
00-0035261,Tony Pollard,34,107.0,3.0
00-0036158,J.K. Dobbins,32,80.0,7.0
00-0036275,D'Andre Swift,31,63.0,3.0
00-0036997,Javonte Williams,28,70.0,4.0
00-0037263,Tyler Allgeier,26,49.0,3.0
00-0038120,Breece Hall,26,66.0,5.0
00-0036919,Kenneth Gainwell,25,102.0,1.0
00-0034972,Alexander Mattison,25,40.0,4.0
00-0036139,Rico Dowdle,25,69.0,2.0
00-0039165,Zach Charbonnet,24,55.0,6.0
00-0038134,Kenneth Walker III,23,41.0,5.0
00-0039384,Tyrone Tracy Jr.,22,52.0,3.0
00-0033699,Austin Ekeler,22,81.0,3.0
00-0036973,Travis Etienne,21,47.0,2.0
00-0034184,Gus Edwards,21,59.0,4.0
00-0037256,Rachaad White,21,48.0,3.0
00-0039875,Ray Davis,20,96.0,4.0
00-0034791,Nick Chubb,18,34.0,3.0
00-0037228,Jaylen Warren,17,41.0,1.0
00-0036251,Zack Moss,16,43.0,2.0
00-0031687,Raheem Mostert,15,19.0,2.0
00-0033955,Jeremy McNichols,15,40.0,4.0
00-0036328,Antonio Gibson,15,41.0,1.0
00-0038794,Jaleel McLaughlin,15,40.0,1.0
00-0036984,Trey Sermon,14,35.0,2.0
00-0039021,Roschon Johnson,14,27.0,6.0
00-0038797,Emanuel Wilson,14,32.0,3.0
00-0039363,Isaac Guerendo,14,49.0,4.0
00-0033045,Ezekiel Elliott,14,18.0,3.0
00-0033925,D'Onta Foreman,14,16.0,0.0
00-0037197,Isiah Pacheco,13,35.0,1.0
00-0032104,Ameer Abdullah,13,51.0,2.0
00-0037617,Hassan Haskins,13,21.0,2.0
00-0036414,Cam Akers,13,25.0,2.0
00-0035973,Patrick Taylor,13,46.0,1.0
00-0039032,Tyjae Spears,12,34.0,4.0
00-0039794,Braelon Allen,11,45.0,2.0
00-0035537,Ty Johnson,11,38.0,1.0
00-0039373,Audric Estimé,11,33.0,2.0
00-0035250,Devin Singletary,11,31.0,4.0
00-0038611,Chris Rodriguez Jr.,11,40.0,2.0
00-0033948,Jamaal Williams,10,32.0,1.0
00-0039325,Carson Steele,10,30.0,0.0
00-0037267,Jerome Ford,10,25.0,2.0
00-0038685,Chris Brooks,9,33.0,1.0
00-0039738,Blake Corum,8,23.0,0.0
00-0038040,Zamir White,7,16.0,1.0
00-0033280,Christian McCaffrey,7,16.0,0.0
00-0036924,Michael Carter,7,13.0,1.0
00-0036906,Khalil Herbert,7,12.0,1.0
00-0035628,D'Ernest Johnson,7,27.0,0.0
00-0034975,Justice Hill,7,6.0,0.0
00-0035243,Miles Sanders,7,20.0,2.0
00-0037120,Tyler Goodson,6,12.0,1.0
00-0038396,Eric Gray,6,7.0,1.0
00-0039874,Jaylen Wright,5,13.0,0.0
00-0039746,Will Shipley,5,13.0,1.0
00-0037276,Ty Chandler,5,11.0,0.0
00-0038951,Sean Tucker,5,16.0,2.0
00-0037509,Sincere McCormick,5,9.0,0.0
00-0033854,Dare Ogunbowale,5,3.0,0.0
00-0039391,Kimani Vidal,5,5.0,0.0
00-0037594,Julius Chestnut,4,28.0,0.0
00-0038636,Kenny McIntosh,4,4.0,0.0
00-0037258,Dameon Pierce,4,4.0,0.0
00-0031595,Michael Burton,4,3.0,1.0
00-0037557,Ronnie Rivers,4,22.0,0.0
