Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
9,Rob Gronkowski,,,TE1,,,,8.0,,12.0,9.0,00-0027656,TE,2014,0.6219512195121951,25,2010,0.7786666666666667,67.51115,0.075,42.0,10.8,5.585365853658536
30,Jimmy Graham,,,TE2,,,,30.0,,24.0,30.3,00-0027696,TE,2014,1.0,27,2010,0.688125,86.75066,0.075,95.0,5.6,3.458823529411765
31,Jordan Matthews,,,TE3,,,,31.0,,36.0,31.5,00-0031299,TE,2014,1.0,22,2014,0.6537499999999999,85.39183,0.009000000000000001,42.0,10.8,5.776119402985074
49,Greg Olsen,,,TE4,,,,48.0,,49.0,50.5,00-0025418,TE,2014,1.0,29,2007,0.965625,59.637337,0.052000000000000005,31.0,12.7,4.023809523809524
51,Travis Kelce,KC,9.0,TE5,,,,55.0,,50.0,51.5,00-0030506,TE,2014,0.7727272727272727,24,2013,0.6756249999999999,26.905998,0.006,63.0,8.2,7.149253731343284
64,Martellus Bennett,,,TE6,,,,67.0,,56.0,65.3,00-0026201,TE,2014,1.0,27,2008,0.905625,58.024,0.040999999999999995,61.0,8.4,5.033333333333333
85,Jordan Cameron,,,TE7,,,,96.0,,85.0,89.8,00-0028040,TE,2014,1.0,26,2011,0.771,37.280445,0.052000000000000005,102.0,5.1,7.041666666666667
90,Jason Witten,,,TE8,,,,109.0,,69.0,94.0,00-0022127,TE,2014,1.0,32,2003,0.98875,28.938292,0.061,69.0,7.6,3.578125
109,Zach Ertz,WAS,8.0,TE9,,,,94.0,,113.0,109.5,00-0030061,TE,2014,1.0,23,2013,0.504375,42.906498,0.011000000000000001,35.0,12.0,3.8793103448275863
110,Delanie Walker,,,TE10,,,,108.0,,110.0,110.0,00-0024389,TE,2014,1.0,30,2006,0.8340000000000002,52.23381,0.036000000000000004,175.0,1.7,6.476190476190476
115,Julius Thomas,,,TE11,,,,115.0,,134.0,118.8,00-0028067,TE,2014,1.0,26,2011,0.7538461538461539,109.41539,0.064,129.0,3.7,3.7674418604651163
118,Tyler Eifert,,,TE12,,,,123.0,,139.0,120.3,00-0030549,TE,2014,0.9444444444444444,23,2013,0.12,,0.021,21.0,15.2,2.6666666666666665
131,Kyle Rudolph,,,TE13,,,,129.0,,162.0,134.5,00-0027981,TE,2014,0.7846153846153846,24,2011,0.8022222222222222,12.179523,0.055,43.0,10.6,4.833333333333333
132,Owen Daniels,,,TE14,,,,143.0,,171.0,137.8,00-0024313,TE,2014,0.8395061728395061,31,2006,0.8200000000000001,34.22981,0.027999999999999997,98.0,5.4,3.6875
136,Antonio Gates,,,TE15,,,,148.0,,147.0,144.0,00-0021547,TE,2014,0.8415841584158416,34,2003,-1.0,85.05329,0.055999999999999994,,0.0,3.63768115942029
137,Dwayne Allen,,,TE16,,,,168.0,,123.0,144.3,00-0029689,TE,2014,0.9444444444444444,24,2012,0.6269230769230771,38.12629,0.006,64.0,8.1,5.758620689655173
143,Austin Seferian-Jenkins,,,TE17,,,,147.0,,145.0,150.8,00-0031418,TE,2014,0.0,21,2014,0.7855555555555555,20.072502,0.01,38.0,11.4,1.9523809523809523
160,Vernon Davis,,,TE18,,,,138.0,,199.0,167.3,00-0024221,TE,2014,1.0,30,2006,0.9107142857142858,25.384232,0.057,6.0,23.2,1.8846153846153846
161,Josh Hill,,,TE19,,,,179.0,,177.0,167.3,00-0030216,TE,2014,1.0,24,2013,0.253125,27.711515,0.004,,0.0,7.071428571428571
170,Jordan Reed,,,TE20,,,,182.0,,186.0,181.8,00-0030472,TE,2014,0.53125,24,2013,0.5018181818181818,44.472908,0.006,85.0,6.3,5.68
175,Richard Rodgers,,,TE21,,,,195.0,,196.0,192.5,00-0031384,TE,2014,1.0,22,2014,0.453125,17.527435,0.005,98.0,5.4,2.4
179,Coby Fleener,,,TE22,,,,134.0,,130.0,142.3,00-0029697,TE,2014,1.0,25,2012,0.69125,63.712666,0.011000000000000001,34.0,12.1,5.784313725490196
191,Eric Ebron,,,TE23,,,,180.0,,160.0,167.0,00-0031387,TE,2014,1.0,21,2014,0.5061538461538462,11.233636,0.023,10.0,19.9,5.0
201,Larry Donnell,,,TE24,,,,151.0,,243.0,186.0,00-0028838,TE,2014,1.0,25,2012,-1.0,54.71762,--,,0.0,3.3968253968253967
205,Charles Clay,,,TE25,,,,198.0,,193.0,191.3,00-0028112,TE,2014,0.7727272727272727,25,2011,0.7635714285714286,28.101152,0.053,174.0,1.7,4.431034482758621
210,Ladarius Green,,,TE26,,,,230.0,,173.0,196.3,00-0029275,TE,2014,1.0,24,2012,0.3099999999999999,12.393777,0.005,110.0,4.7,6.0
212,Heath Miller,,,TE27,,,,211.0,,214.0,199.7,00-0023465,TE,2014,0.8415841584158416,31,2005,0.973125,46.419292,0.03,30.0,12.9,4.924242424242424
232,Maxx Williams,,,TE28,,,,291.0,,231.0,238.7,00-0031558,TE,2014,--,20,2015,-1.0,--,0.006999999999999999,55.0,9.1,--
241,Jared Cook,,,TE29,,,,305.0,,215.0,252.7,00-0027061,TE,2014,0.8585858585858586,27,2009,0.678125,31.878502,0.057,89.0,6.0,5.0576923076923075
263,Virgil Green,,,TE30,,,,286.0,,333.0,287.7,00-0028142,TE,2014,1.0,26,2011,0.4384615384615384,29.668,0.02,204.0,0.7,7.5
271,Jace Amaro,,,TE31,,,,361.0,,311.0,297.3,00-0031042,TE,2014,1.0,22,2014,0.39,37.051666,0.008,49.0,9.8,4.394736842105263
299,Andrew Quarless,,,TE32,,,,290.0,,278.0,284.0,00-0027753,TE,2014,0.7611940298507462,25,2010,-1.0,13.88981,--,154.0,2.5,5.517241379310345
320,Mychal Rivera,,,TE33,,,,231.0,,368.0,299.5,00-0030514,TE,2014,1.0,23,2013,0.786875,61.2945,0.005,184.0,1.4,2.9482758620689653
321,Scott Chandler,,,TE34,,,,301.0,,298.0,299.5,00-0025516,TE,2014,0.8095238095238095,29,2007,0.700625,28.747625,0.018000000000000002,129.0,3.7,4.1063829787234045
342,Niles Paul,,,TE35,,,,267.0,,,267.0,00-0028093,TE,2014,1.0,25,2011,0.529375,36.50695,0.013999999999999999,155.0,2.5,6.615384615384615
344,Jacob Tamme,,,TE36,,,,342.0,,303.0,322.5,00-0026267,TE,2014,1.0,29,2008,0.2693333333333333,11.774181,0.011000000000000001,127.0,3.8,1.5
350,Benjamin Watson,,,TE37,,,,299.0,,366.0,332.5,00-0022943,TE,2014,0.8585858585858586,33,2004,0.498125,9.733406,0.013000000000000001,,0.0,3.9
353,Crockett Gillmore,,,TE38,,,,319.0,,347.0,333.0,00-0030992,TE,2014,1.0,22,2014,0.3746666666666667,5.7194443,0.005,99.0,5.3,5.9
360,Clive Walford,,,TE40,,,,,,308.0,308.0,00-0032256,TE,2014,--,22,2015,-1.0,--,0.006,68.0,7.7,--
376,Gary Barnidge,,,TE42,,,,333.0,,376.0,354.5,00-0026281,TE,2014,1.0,28,2008,0.3915384615384615,7.749445,0.028999999999999998,141.0,3.1,3.1538461538461537
