Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
14,Travis Kelce,KC,8,TE1,15.0,15.0,,15.0,00-0030506,TE,2021,0.9558823529411765,31,2013,0.82125,84.67799,0.07200000000000001,63.0,8.2,6.130434782608695
26,Mark Andrews,BAL,10,TE2,26.0,23.0,,24.5,00-0034753,TE,2021,0.9538461538461539,25,2018,0.7558823529411764,99.9661,0.077,86.0,6.2,4.205607476635514
33,Kyle Pitts Sr.,ATL,14,TE3,33.0,31.0,,32.0,00-0036970,TE,2021,1.0,20,2021,0.7352941176470589,42.7136,0.045,4.0,25.8,4.602941176470588
37,George Kittle,SF,9,TE4,42.0,35.0,,38.5,00-0033288,TE,2021,0.8395061728395061,27,2017,0.9185714285714288,123.910324,0.076,146.0,2.9,6.338028169014085
47,Darren Waller,MIA,11,TE5,47.0,48.0,,47.5,00-0031610,TE,2021,0.6666666666666666,28,2015,0.829090909090909,43.360546,0.08199999999999999,204.0,0.7,4.4
58,Dalton Schultz,HOU,6,TE6,53.0,60.0,,56.5,00-0034383,TE,2021,1.0,25,2018,0.8105882352941176,51.220295,0.053,137.0,3.3,4.371794871794871
67,T.J. Hockenson,MIN,7,TE7,65.0,71.0,,68.0,00-0035229,TE,2021,0.8163265306122449,24,2019,0.8391666666666667,57.442654,0.026000000000000002,8.0,21.4,3.262295081967213
68,Dallas Goedert,PHI,7,TE8,61.0,79.0,,70.0,00-0034351,TE,2021,0.8923076923076924,26,2018,0.7806666666666667,51.90857,0.078,49.0,9.8,6.892857142857143
79,Dawson Knox,BUF,7,TE9,73.0,89.0,,81.0,00-0035689,TE,2021,0.8571428571428571,24,2019,0.8720000000000001,44.398384,0.062,96.0,5.5,5.653061224489796
95,Zach Ertz,WAS,14,TE10,96.0,98.0,,97.0,00-0030061,TE,2021,0.9594594594594594,30,2013,0.741764705882353,45.352203,0.051,35.0,12.0,4.594594594594595
112,Pat Freiermuth,PIT,9,TE11,119.0,109.0,,114.0,00-0036894,TE,2021,0.9411764705882353,22,2021,0.61625,24.765623,0.008,55.0,9.1,4.116666666666666
114,Cole Kmet,CHI,14,TE12,117.0,120.0,,118.5,00-0036290,TE,2021,1.0,22,2020,0.8364705882352942,18.950956,0.01,43.0,10.6,4.1
127,Mike Gesicki,CIN,10,TE13,132.0,128.0,,130.0,00-0034829,TE,2021,0.9846153846153847,25,2018,0.7141176470588235,40.01309,0.053,42.0,10.8,3.0273972602739727
138,Albert Okwuegbunam Jr.,LV,6,TE14,131.0,157.0,,144.0,00-0036423,TE,2021,0.5588235294117647,23,2020,0.4621428571428571,18.152695,0.005,118.0,4.2,7.424242424242424
140,Hunter Henry,NE,10,TE15,159.0,143.0,,151.0,00-0033090,TE,2021,0.7731958762886598,26,2016,0.6723529411764706,44.33563,0.068,35.0,12.0,2.88
146,David Njoku,CLE,9,TE16,163.0,147.0,,155.0,00-0033885,TE,2021,0.8024691358024691,25,2017,0.64625,48.20209,0.066,29.0,13.2,6.861111111111111
169,Tyler Higbee,LAR,7,TE17,180.0,171.0,,175.5,00-0033110,TE,2021,0.9690721649484536,28,2016,0.918,27.97,0.039,110.0,4.7,4.508196721311475
181,Hayden Hurst,,,TE18,153.0,219.0,,186.0,00-0034830,TE,2021,0.9384615384615385,28,2018,0.4953846153846153,12.68447,0.017,25.0,14.1,3.423076923076923
184,Taysom Hill,NO,14,TE19,138.0,235.0,,186.5,00-0033357,TE,2021,0.9629629629629629,31,2017,0.555,74.04849,0.055,,0.0,12.5
191,Cameron Brate,,,TE20,140.0,,,140.0,00-0031273,TE,2021,0.9914529914529915,30,2014,0.3988235294117647,6.7059584,0.019,,0.0,2.7
196,Isaiah Likely,BAL,10,TE21,164.0,222.0,,193.0,00-0037838,TE,2021,--,21,2022,-1.0,--,0.005,139.0,3.2,--
199,Mo Alie-Cox,IND,14,TE22,149.0,,,149.0,00-0033217,TE,2021,0.9838709677419355,27,2017,0.5488235294117648,26.439045,0.027999999999999997,,0.0,6.25
201,Irv Smith Jr.,HOU,6,TE23,217.0,173.0,,195.0,00-0034970,TE,2021,0.5918367346938775,23,2019,-1.0,--,0.008,50.0,9.7,--
203,Robert Tonyan,KC,8,TE24,201.0,192.0,,196.5,00-0033757,TE,2021,0.7846153846153846,27,2017,0.60125,34.67143,0.018000000000000002,,0.0,5.777777777777778
216,Noah Fant,CIN,10,TE25,199.0,217.0,,208.0,00-0035644,TE,2021,0.96,23,2019,0.8443750000000001,42.323837,0.017,20.0,15.5,4.6911764705882355
219,Gerald Everett,,,TE26,219.0,201.0,,210.0,00-0033895,TE,2021,0.9382716049382716,27,2017,0.7520000000000001,26.261238,0.028999999999999998,44.0,10.5,5.1875
224,Austin Hooper,NE,10,TE27,218.0,213.0,,215.5,00-0032392,TE,2021,0.9278350515463918,26,2016,0.685625,17.010952,0.028999999999999998,81.0,6.6,4.868421052631579
228,Evan Engram,DEN,9,TE28,222.0,218.0,,220.0,00-0033881,TE,2021,0.8765432098765432,26,2017,0.7466666666666667,15.555239,0.043,23.0,14.6,4.021739130434782
240,Logan Thomas,,,TE29,216.0,,,216.0,00-0031260,TE,2021,0.897196261682243,30,2014,0.75,9.037001,0.044000000000000004,120.0,4.1,3.7222222222222223
263,Carl Tucker,,,TE31,,244.0,,244.0,00-0036597,TE,2021,--,24,2021,-1.0,--,--,,0.0,--
269,Shane Zylstra,DET,6,TE32,,251.0,,251.0,00-0036534,TE,2021,1.0,24,2021,0.3175,0.72,0.004,,0.0,2.0
280,Juwan Johnson,NO,14,TE34,,263.0,,263.0,00-0036040,TE,2021,0.875,24,2020,0.2685714285714285,25.713564,0.004,,0.0,3.230769230769231
292,Jack Stoll,NO,14,TE35,,278.0,,278.0,00-0036741,TE,2021,0.9411764705882353,23,2021,0.319375,0.22333327,0.004,,0.0,5.0
