Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apy_cap_pct,draft_pick,pick_value,fan_pts_var,yac_pr
17,Brock Bowers,LV,8.0,TE1,19.0,16.0,19.0,18.0,00-0039338,TE,2024,1.0,21,0.8494117647058823,2024,0.018000000000000002,13.0,18.3,62.307648,5.321428571428571
27,Trey McBride,ARI,8.0,TE2,27.0,25.0,28.0,26.7,00-0037744,TE,2024,0.9607843137254902,24,0.8981250000000001,2022,0.068,55.0,9.1,50.78916,4.621621621621622
35,George Kittle,SF,14.0,TE3,31.0,38.0,42.0,37.0,00-0033288,TE,2024,0.8712121212121212,30,0.8659999999999998,2017,0.068,146.0,2.9,47.11781,6.6923076923076925
51,Sam LaPorta,DET,8.0,TE4,47.0,52.0,60.0,53.0,00-0039065,TE,2024,0.9705882352941176,23,0.84875,2023,0.011000000000000001,34.0,12.1,28.565166,5.716666666666667
62,T.J. Hockenson,MIN,6.0,TE5,53.0,62.0,73.0,62.7,00-0035229,TE,2024,0.82,27,0.6150000000000001,2019,0.073,8.0,21.4,27.158333,3.5365853658536586
65,Travis Kelce,KC,10.0,TE6,59.0,70.0,63.0,64.0,00-0030506,TE,2024,0.9572192513368984,34,0.8456250000000001,2013,0.067,63.0,8.2,54.711834,3.515463917525773
76,Mark Andrews,BAL,7.0,TE7,61.0,78.0,90.0,76.3,00-0034753,TE,2024,0.896551724137931,28,0.6111764705882353,2018,0.077,86.0,6.2,43.49809,3.418181818181818
84,Evan Engram,DEN,12.0,TE8,84.0,89.0,86.0,86.3,00-0033881,TE,2024,0.8636363636363636,29,0.72,2017,0.040999999999999995,23.0,14.6,21.28278,3.1914893617021276
88,David Njoku,CLE,9.0,TE9,74.0,93.0,108.0,91.7,00-0033885,TE,2024,0.8106060606060606,28,0.7490909090909091,2017,0.066,29.0,13.2,62.442005,3.921875
104,Tucker Kraft,GB,5.0,TE10,95.0,111.0,117.0,107.7,00-0038996,TE,2024,1.0,23,0.8576470588235293,2023,0.006,78.0,6.9,38.681835,9.12
112,Tyler Warren,IND,11.0,TE11,130.0,97.0,113.0,113.3,00-0040128,TE,2024,--,22,-1.0,2025,0.019,14.0,17.8,--,--
114,Jonnu Smith,PIT,5.0,TE12,121.0,99.0,139.0,119.7,00-0033858,TE,2024,0.9398496240601504,29,0.5488235294117647,2017,0.043,100.0,5.3,66.40316,5.795454545454546
117,Colston Loveland,CHI,5.0,TE13,143.0,115.0,106.0,121.3,00-0040126,TE,2024,--,20,-1.0,2025,0.024,10.0,19.9,--,--
118,Jake Ferguson,DAL,10.0,TE14,127.0,123.0,122.0,124.0,00-0038041,TE,2024,0.9215686274509803,25,0.6528571428571428,2022,0.045,129.0,3.7,21.2211,5.237288135593221
119,Dalton Kincaid,BUF,7.0,TE15,118.0,118.0,142.0,126.0,00-0038933,TE,2024,0.8823529411764706,24,0.5700000000000001,2023,0.015,25.0,14.1,11.69436,6.2272727272727275
129,Dallas Goedert,PHI,9.0,TE16,120.0,130.0,151.0,133.7,00-0034351,TE,2024,0.8103448275862069,29,0.6500000000000001,2018,0.036000000000000004,49.0,9.8,49.04044,6.119047619047619
132,Kyle Pitts Sr.,ATL,5.0,TE17,146.0,129.0,138.0,137.7,00-0036970,TE,2024,0.8970588235294118,23,0.6200000000000001,2021,0.045,4.0,25.8,46.505295,5.787234042553192
