player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0037744,Trey McBride,16,1146.0,71.625,3.815475,18.19174
00-0039338,Brock Bowers,17,1194.0,70.23529,3.926279,17.96749
00-0033288,George Kittle,15,1106.0,73.73333,4.414548,16.515419
00-0034351,Dallas Goedert,14,711.0,50.785713,3.2641253,15.661623
00-0033858,Jonnu Smith,17,884.0,52.0,3.7555292,14.2691965
00-0033090,Hunter Henry,16,674.0,42.125,3.2124684,13.205431
00-0030506,Travis Kelce,19,998.0,52.526318,3.929792,13.187829
00-0033885,David Njoku,11,505.0,45.909092,3.678689,12.959417
00-0036894,Pat Freiermuth,18,668.0,37.11111,3.5231633,11.489111
00-0033881,Evan Engram,9,365.0,40.555557,3.6204312,11.349709
00-0035229,T.J. Hockenson,11,519.0,47.18182,4.268935,11.292236
00-0039065,Sam LaPorta,17,777.0,45.705883,4.2057905,11.234728
00-0030061,Zach Ertz,20,809.0,40.45,3.6750998,11.226504
00-0038996,Tucker Kraft,18,733.0,40.72222,3.9029515,10.764654
00-0038129,Cade Otton,15,632.0,42.133335,4.0855403,10.640408
00-0039847,Theo Johnson,10,331.0,33.1,3.3179154,10.483849
00-0034753,Mark Andrews,19,761.0,40.05263,3.9819183,10.24574
00-0036040,Juwan Johnson,15,548.0,36.533333,3.685991,10.134619
00-0038041,Jake Ferguson,14,494.0,35.285713,3.6847632,9.822999
00-0037838,Isaiah Likely,17,603.0,35.47059,3.9797912,9.581286
00-0034829,Mike Gesicki,16,665.0,41.5625,4.580013,9.352444
00-0036290,Cole Kmet,14,474.0,33.857143,3.4340842,9.236802
00-0034383,Dalton Schultz,19,618.0,32.526318,3.7911065,9.03113
00-0036970,Kyle Pitts,17,602.0,35.411766,3.9476566,8.964103
00-0038933,Dalton Kincaid,16,519.0,32.4375,3.8202999,8.578815
00-0032392,Austin Hooper,17,476.0,28.0,3.2679214,8.576576
00-0035644,Noah Fant,14,500.0,35.714287,4.2449164,8.397714
00-0033110,Tyler Higbee,5,178.0,35.6,3.9721894,8.315677
00-0037809,Chigoziem Okonkwo,16,479.0,29.9375,3.5019941,8.161216
00-0034364,Jordan Akins,16,390.0,24.375,3.4225957,8.121481
00-0034159,Will Dissly,16,497.0,31.0625,3.849506,7.9747744
00-0034981,Foster Moreau,15,413.0,27.533333,3.6304932,7.6616664
00-0038935,Brenton Strange,14,411.0,29.357143,3.835771,7.619789
00-0034270,Tyler Conklin,16,449.0,28.0625,3.882999,7.460693
00-0039356,Ja'Tavion Sanders,15,342.0,22.8,3.4178088,7.2062917
00-0037475,Stone Smartt,7,208.0,29.714285,4.072257,7.16348
00-0036637,Noah Gray,18,452.0,25.11111,3.950149,6.8761125
00-0037005,Tommy Tremble,10,234.0,23.4,3.624374,6.770089
00-0037086,Grant Calcaterra,14,302.0,21.571428,3.1673543,6.345796
00-0033357,Taysom Hill,8,187.0,23.375,3.8993993,6.2332764
00-0038547,Luke Schoonmaker,10,241.0,24.1,3.9135628,6.1667457
00-0038115,Daniel Bellinger,7,125.0,17.857143,2.9905841,5.9743624
00-0035249,Josh Oliver,12,263.0,21.916666,4.1338615,5.546049
00-0035689,Dawson Knox,17,356.0,20.941177,4.0348997,5.5121455
00-0039050,Payne Durham,5,115.0,23.0,4.109099,5.3223987
00-0036244,Colby Parkinson,17,316.0,18.588236,3.9775686,4.9276214
00-0038589,Josh Whyle,14,248.0,17.714285,3.5198398,4.8643947
00-0039814,Erick All,8,158.0,19.75,4.3431573,4.7088284
00-0038046,Charlie Kolar,7,131.0,18.714285,4.255204,4.554887
00-0038558,Darnell Washington,14,209.0,14.928572,3.584029,4.1896043
00-0036876,Kylen Granson,14,182.0,13.0,3.4120023,3.965887
00-0039793,A.J. Barner,14,245.0,17.5,4.3710446,3.9598944
00-0037539,Lucas Krull,11,154.0,14.0,3.7393768,3.9096465
00-0033217,Mo Alie-Cox,12,147.0,12.25,3.4460735,3.82399
00-0039066,Michael Mayer,11,156.0,14.181818,4.275146,3.7972884
00-0034613,Tanner Hudson,9,154.0,17.11111,4.4896617,3.6337934
00-0036422,Adam Trautman,14,190.0,13.571428,3.7055986,3.6109293
00-0039041,Elijah Higgins,14,172.0,12.285714,3.6894703,3.5435557
00-0037292,Andrew Ogletree,11,109.0,9.909091,3.4334435,3.3264403
00-0032394,Nick Vannett,12,135.0,11.25,3.795129,3.2914917
00-0039359,Cade Stover,14,161.0,11.5,3.795511,3.0772042
00-0033246,Johnny Mundt,14,170.0,12.142858,4.3182383,3.012167
00-0036754,Brock Wright,10,100.0,10.0,3.959179,2.9501622
00-0038783,Nate Adkins,12,115.0,9.583333,3.8225667,2.4817448
00-0036628,John Bates,13,115.0,8.846154,3.6299644,2.455122
00-0035631,Drew Sample,11,109.0,9.909091,4.443257,2.2506373
00-0038720,Julian Hill,11,100.0,9.090909,4.0877957,2.2251863
00-0037805,Jeremy Ruckert,13,105.0,8.076923,3.9807355,2.1537912
