player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0030506,Travis Kelce,19,1339.0,70.47369,4.266144,16.71261
00-0031610,Darren Waller,12,552.0,46.0,3.204538,16.665592
00-0033885,David Njoku,17,975.0,57.35294,3.4866717,16.635607
00-0037744,Trey McBride,17,825.0,48.52941,3.1733322,15.974146
00-0035229,T.J. Hockenson,15,960.0,64.0,4.441989,15.681809
00-0036290,Cole Kmet,15,719.0,47.933334,3.154029,15.190419
00-0033881,Evan Engram,17,963.0,56.64706,3.9584844,14.395949
00-0034753,Mark Andrews,11,559.0,50.81818,3.8627908,14.307075
00-0039065,Sam LaPorta,20,1065.0,53.25,4.203416,13.199839
00-0036970,Kyle Pitts,17,667.0,39.235294,3.446431,12.095138
00-0033288,George Kittle,19,1132.0,59.57895,4.627192,12.082045
00-0038933,Dalton Kincaid,18,777.0,43.166668,3.908674,11.702288
00-0038041,Jake Ferguson,18,854.0,47.444443,4.2363186,11.622105
00-0034270,Tyler Conklin,17,621.0,36.52941,3.22011,11.218845
00-0034351,Dallas Goedert,15,613.0,40.866665,3.789581,10.769332
00-0033858,Jonnu Smith,15,582.0,38.8,3.5592277,10.624407
00-0034383,Dalton Schultz,17,715.0,42.058823,4.463546,9.531765
00-0037838,Isaiah Likely,15,461.0,30.733334,3.5689383,9.447007
00-0037809,Chig Okonkwo,17,528.0,31.058823,3.5737557,9.10009
00-0033090,Hunter Henry,13,419.0,32.23077,3.4508998,9.084615
00-0036894,Pat Freiermuth,12,384.0,32.0,3.3478243,8.884557
00-0038129,Cade Otton,18,609.0,33.833332,4.130043,8.338163
00-0030061,Zach Ertz,7,187.0,26.714285,3.1476836,8.235205
00-0039144,Luke Musgrave,13,418.0,32.153847,4.0036197,8.222482
00-0031260,Logan Thomas,16,496.0,31.0,3.9139476,7.7509875
00-0038996,Tucker Kraft,12,379.0,31.583334,4.3614945,7.720529
00-0034830,Hayden Hurst,9,184.0,20.444445,3.2393482,7.6830707
00-0036040,Juwan Johnson,13,368.0,28.307692,3.9907553,7.3663254
00-0033110,Tyler Higbee,16,495.0,30.9375,4.1871424,7.340271
00-0034613,Tanner Hudson,12,352.0,29.333334,4.3653054,7.327055
00-0033895,Gerald Everett,15,411.0,27.4,3.8718636,7.309005
00-0036556,Brevin Jordan,11,295.0,26.818182,4.1397862,6.869212
00-0036876,Kylen Granson,15,368.0,24.533333,3.5416207,6.820741
00-0039066,Michael Mayer,12,304.0,25.333334,3.796088,6.755733
00-0035644,Noah Fant,14,414.0,29.571428,4.376151,6.7097316
00-0038115,Daniel Bellinger,13,255.0,19.615385,2.906233,6.447789
00-0033439,Pharaoh Brown,9,208.0,23.11111,3.634513,6.434633
00-0039074,Davis Allen,5,123.0,24.6,4.057068,6.373023
00-0034798,Durham Smythe,14,378.0,27.0,4.3121877,6.2923617
00-0035329,Donald Parham,13,285.0,21.923077,4.0539646,5.758431
00-0039041,Elijah Higgins,9,163.0,18.11111,3.3551772,5.6162705
00-0038394,Will Mallory,11,207.0,18.818182,3.7821512,5.119008
00-0034829,Mike Gesicki,15,244.0,16.266666,3.367855,4.7975082
00-0034981,Foster Moreau,11,193.0,17.545454,3.6905286,4.768957
00-0033357,Taysom Hill,16,291.0,18.1875,3.9127035,4.702787
00-0037292,Andrew Ogletree,10,147.0,14.7,3.5405993,4.6672316
00-0037078,Cole Turner,7,120.0,17.142857,3.7490516,4.6392736
00-0037304,Connor Heyward,12,172.0,14.333333,3.39398,4.61855
00-0037005,Tommy Tremble,13,194.0,14.923077,3.0708811,4.570729
00-0037805,Jeremy Ruckert,10,151.0,15.1,3.3942795,4.5487294
00-0036438,Stephen Sullivan,10,125.0,12.5,2.7311246,4.434884
00-0036637,Noah Gray,20,371.0,18.55,4.149305,4.4143887
00-0032392,Austin Hooper,16,234.0,14.625,3.582047,4.3955135
00-0033246,Johnny Mundt,9,172.0,19.11111,4.425664,4.300731
00-0035689,Dawson Knox,12,199.0,16.583334,4.054203,4.2926717
00-0036244,Colby Parkinson,14,247.0,17.642857,4.0838723,4.0480027
00-0036887,Luke Farrell,9,155.0,17.222221,4.1222806,3.9625342
00-0035249,Josh Oliver,12,213.0,17.75,4.775332,3.8193722
00-0034159,Will Dissly,12,172.0,14.333333,4.0642056,3.8082314
00-0033217,Mo Alie-Cox,13,161.0,12.384615,3.6020396,3.6475706
00-0036422,Adam Trautman,16,204.0,12.75,3.694892,3.6470823
00-0031585,MyCole Pruitt,9,110.0,12.222222,3.8025072,3.5678155
00-0034970,Irv Smith,9,115.0,12.777778,4.2625313,3.452872
00-0037475,Stone Smartt,12,155.0,12.916667,3.691246,3.3142135
00-0036754,Brock Wright,9,120.0,13.333333,4.1090345,3.182023
00-0033757,Robert Tonyan,11,112.0,10.181818,3.445327,2.96595
00-0034364,Jordan Akins,13,132.0,10.153846,3.5500681,2.9105718
00-0035631,Drew Sample,14,163.0,11.642858,4.3271933,2.784591
00-0036232,Harrison Bryant,14,146.0,10.428572,3.5314732,2.6582968
00-0036628,John Bates,14,151.0,10.785714,3.9787838,2.5645213
