player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0030506,Travis Kelce,30,234.0,4.0
00-0030061,Zach Ertz,27,208.0,8.0
00-0037744,Trey McBride,22,158.0,2.0
00-0039065,Sam LaPorta,21,178.0,6.0
00-0033288,George Kittle,21,270.0,8.0
00-0033090,Hunter Henry,18,124.0,2.0
00-0033858,Jonnu Smith,18,154.0,7.0
00-0034753,Mark Andrews,17,242.0,11.0
00-0038996,Tucker Kraft,17,200.0,6.0
00-0038129,Cade Otton,16,116.0,4.0
00-0039338,Brock Bowers,16,100.0,2.0
00-0033885,David Njoku,16,88.0,4.0
00-0037838,Isaiah Likely,14,112.0,5.0
00-0036894,Pat Freiermuth,14,226.0,6.0
00-0036970,Kyle Pitts,13,76.0,2.0
00-0036290,Cole Kmet,12,62.0,3.0
00-0033110,Tyler Higbee,11,66.0,3.0
00-0036244,Colby Parkinson,10,60.0,2.0
00-0038933,Dalton Kincaid,10,80.0,2.0
00-0034829,Mike Gesicki,10,66.0,1.0
00-0034270,Tyler Conklin,10,54.0,4.0
00-0036637,Noah Gray,10,126.0,4.0
00-0034351,Dallas Goedert,10,86.0,2.0
00-0035229,T.J. Hockenson,9,50.0,0.0
00-0034981,Foster Moreau,9,86.0,4.0
00-0032392,Austin Hooper,9,64.0,2.0
00-0034383,Dalton Schultz,8,94.0,1.0
00-0034159,Will Dissly,8,14.0,1.0
00-0036040,Juwan Johnson,8,84.0,3.0
00-0035689,Dawson Knox,7,38.0,1.0
00-0039793,AJ Barner,7,98.0,4.0
00-0033881,Evan Engram,7,68.0,1.0
00-0033217,Mo Alie-Cox,7,48.0,1.0
00-0034364,Jordan Akins,7,56.0,2.0
00-0038041,Jake Ferguson,6,32.0,0.0
00-0037809,Chig Okonkwo,6,40.0,1.0
00-0038720,Julian Hill,6,42.0,0.0
00-0039356,Ja'Tavion Sanders,6,30.0,1.0
00-0038935,Brenton Strange,6,20.0,2.0
00-0039066,Michael Mayer,6,52.0,0.0
00-0039074,Davis Allen,6,36.0,1.0
00-0036876,Kylen Granson,6,20.0,0.0
00-0038589,Josh Whyle,5,40.0,1.0
00-0036754,Brock Wright,5,52.0,2.0
00-0036422,Adam Trautman,5,94.0,2.0
00-0033246,Johnny Mundt,5,26.0,2.0
00-0034613,Tanner Hudson,5,60.0,1.0
00-0035644,Noah Fant,5,46.0,1.0
00-0032394,Nick Vannett,5,34.0,3.0
00-0033576,Eric Saubert,4,-2.0,1.0
00-0038783,Nate Adkins,4,70.0,3.0
00-0037005,Tommy Tremble,4,40.0,2.0
00-0036628,John Bates,3,28.0,0.0
00-0039359,Cade Stover,3,48.0,1.0
00-0034798,Durham Smythe,3,16.0,0.0
00-0034830,Hayden Hurst,3,0.0,0.0
00-0035249,Josh Oliver,3,42.0,3.0
00-0037805,Jeremy Ruckert,3,32.0,0.0
00-0039041,Elijah Higgins,3,54.0,2.0
00-0037292,Andrew Ogletree,3,34.0,1.0
00-0039530,Brevyn Spann-Ford,2,0.0,0.0
00-0035631,Drew Sample,2,8.0,1.0
00-0033357,Taysom Hill,2,14.0,0.0
00-0033895,Gerald Everett,2,0.0,0.0
00-0038809,Ben Sims,2,4.0,0.0
00-0039814,Erick All,2,20.0,0.0
00-0038710,Blake Whiteheart,2,16.0,1.0
00-0036332,Josiah Deguara,2,20.0,0.0
00-0038558,Darnell Washington,2,10.0,1.0
00-0037086,Grant Calcaterra,2,8.0,1.0
00-0038498,E.J. Jenkins,2,14.0,1.0
00-0039754,Devin Culp,2,34.0,0.0
00-0037304,Connor Heyward,2,32.0,1.0
00-0039050,Payne Durham,2,22.0,2.0
00-0039631,Cam Grandy,2,24.0,0.0
00-0039144,Luke Musgrave,1,8.0,0.0
00-0031484,Chris Manhertz,1,4.0,1.0
00-0031690,Eric Tomlinson,1,0.0,0.0
00-0039847,Theo Johnson,1,0.0,0.0
00-0031585,MyCole Pruitt,1,2.0,1.0
00-0038547,Luke Schoonmaker,1,0.0,0.0
00-0033439,Pharaoh Brown,1,0.0,0.0
00-0034365,Ian Thomas,1,0.0,0.0
00-0036590,Quintin Morris,1,4.0,1.0
00-0038115,Daniel Bellinger,1,6.0,0.0
00-0038046,Charlie Kolar,1,4.0,1.0
00-0035547,Joseph Fortson,1,0.0,0.0
00-0037654,Tucker Fisk,1,0.0,0.0
00-0037569,Peyton Hendershot,1,22.0,0.0
00-0037475,Stone Smartt,1,14.0,0.0
00-0037252,Greg Dulcich,1,0.0,0.0
00-0036887,Luke Farrell,1,12.0,0.0
00-0036510,Kenny Yeboah,1,22.0,1.0
00-0036640,Zach Davidson,1,0.0,0.0
00-0039912,Ben Sinnott,1,6.0,1.0
