player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0030472,Jordan Reed,26,278.0,10.0
00-0027656,Rob Gronkowski,25,180.0,10.0
00-0026281,Gary Barnidge,24,176.0,8.0
00-0025418,Greg Olsen,21,248.0,5.0
00-0022943,Benjamin Watson,18,202.0,6.0
00-0030506,Travis Kelce,17,128.0,4.0
00-0024389,Delanie Walker,17,194.0,4.0
00-0030549,Tyler Eifert,16,212.0,11.0
00-0031384,Richard Rodgers,16,92.0,7.0
00-0023465,Heath Miller,15,126.0,2.0
00-0028040,Jordan Cameron,14,106.0,3.0
00-0022127,Jason Witten,13,96.0,3.0
00-0021547,Antonio Gates,13,132.0,5.0
00-0024313,Owen Daniels,13,78.0,4.0
00-0029697,Coby Fleener,12,58.0,2.0
00-0032004,Will Tye,11,70.0,3.0
00-0028067,Julius Thomas,11,58.0,3.0
00-0027981,Kyle Rudolph,11,38.0,3.0
00-0030216,Josh Hill,10,52.0,2.0
00-0027061,Jared Cook,10,50.0,0.0
00-0029275,Ladarius Green,10,124.0,3.0
00-0027696,Jimmy Graham,10,16.0,1.0
00-0030061,Zach Ertz,9,20.0,1.0
00-0026201,Martellus Bennett,9,42.0,2.0
00-0028838,Larry Donnell,9,56.0,2.0
00-0031418,Austin Seferian-Jenkins,9,42.0,2.0
00-0025516,Scott Chandler,9,100.0,4.0
00-0031387,Eric Ebron,8,118.0,5.0
00-0030992,Crockett Gillmore,8,98.0,3.0
00-0027873,Jermaine Gresham,8,42.0,1.0
00-0032256,Clive Walford,8,22.0,2.0
00-0024221,Vernon Davis,8,42.0,0.0
00-0026267,Jacob Tamme,8,98.0,1.0
00-0024268,Anthony Fasano,8,104.0,2.0
00-0031273,Cameron Brate,7,132.0,3.0
00-0030470,Vance McDonald,7,70.0,3.0
00-0027732,Michael Hoomanawanui,6,62.0,3.0
00-0027125,Zach Miller,6,46.0,3.0
00-0030544,Gavin Escobar,6,30.0,1.0
00-0030514,Mychal Rivera,6,40.0,1.0
00-0024243,Marcedes Lewis,6,0.0,0.0
00-0027675,Ed Dickson,6,14.0,2.0
00-0025549,Brent Celek,5,72.0,3.0
00-0028903,Garrett Celek,5,40.0,3.0
00-0030422,Dion Sims,5,46.0,1.0
00-0027725,Clay Harbor,5,34.0,1.0
00-0030089,Luke Willson,5,32.0,0.0
00-0029910,Timothy Wright,4,34.0,2.0
00-0026225,Craig Stevens,4,62.0,2.0
00-0031558,Maxx Williams,4,14.0,0.0
00-0032062,Blake Bell,4,10.0,0.0
00-0030181,Jack Doyle,4,18.0,1.0
00-0030049,Chris Gragg,4,0.0,0.0
00-0029119,Derek Carrier,4,48.0,1.0
00-0029738,Darren Fells,4,108.0,3.0
00-0027718,Garrett Graham,4,14.0,1.0
00-0029689,Dwayne Allen,4,30.0,1.0
00-0028142,Virgil Green,3,2.0,1.0
00-0031585,MyCole Pruitt,3,18.0,0.0
00-0028042,Luke Stocker,3,42.0,1.0
00-0031302,C.J. Fiedorowicz,3,12.0,1.0
00-0028112,Charles Clay,3,18.0,1.0
00-0026298,Kellen Davis,3,2.0,1.0
00-0030108,Ryan Griffin,3,36.0,2.0
00-0029587,Rhett Ellison,3,44.0,1.0
00-0030155,Demetrius Harris,3,32.0,1.0
00-0027985,Lance Kendricks,2,0.0,0.0
00-0032135,Jesse James,2,8.0,1.0
00-0027139,John Phillips,2,16.0,1.0
00-0030272,Jake Stoneburner,2,26.0,2.0
00-0030758,Justin Perillo,2,22.0,1.0
00-0030780,Ryan Hewitt,2,0.0,0.0
00-0031598,Nick Boyle,2,-6.0,0.0
00-0031044,Troy Niklas,2,24.0,2.0
00-0031462,Jerome Cunningham,2,12.0,0.0
00-0027069,Chase Coffman,2,20.0,1.0
00-0029534,Cooper Helfet,2,0.0,0.0
00-0023506,Alex Smith,1,0.0,0.0
00-0030443,Levine Toilolo,1,0.0,0.0
00-0032089,Brian Parker,1,0.0,0.0
00-0032214,Tyler Kroft,1,40.0,1.0
00-0032117,Nick O'Leary,1,0.0,0.0
00-0027321,Jeff Cumberland,1,0.0,0.0
00-0028007,Rob Housler,1,0.0,0.0
00-0029634,James Hanna,1,0.0,0.0
00-0028097,Lee Smith,1,10.0,1.0
00-0026996,Brandon Pettigrew,1,4.0,1.0
00-0028987,Phillip Supernaw,1,0.0,0.0
00-0027135,Brandon Myers,1,18.0,0.0
00-0025464,Matt Spaeth,1,12.0,0.0
