...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
19,20,Rob Gronkowski,,,TE1,17,,,,,22,19.8,00-0027656,TE,2016,0.6869565217391305,27,2010,0.675,122.82786,0.075,42,10.8,38,25,540,67.5,12,3,0,0,0,0,0,3,8
35,36,Travis Kelce,KC,10,TE2,41,,,,,29,36,00-0030506,TE,2016,0.9090909090909091,26,2013,0.860625,67.3985,0.06,63,8.2,118,85,1125,70.3125,14,4,1,-5,-0.3125,0,0,4,16
47,48,Greg Olsen,,,TE3,43,,,,,46,48,00-0025418,TE,2016,1.0,31,2007,0.933125,46.43863,0.052000000000000005,31,12.7,132,80,1073,67.0625,14,3,0,0,0,0,0,3,16
49,50,Jordan Reed,,,TE4,46,,,,,51,50.6,00-0030472,TE,2016,0.7692307692307693,26,2013,0.7075,92.373634,0.06,85,6.3,90,66,686,57.166666666666664,9,6,0,0,0,0,1,6,12
56,57,Jimmy Graham,,,TE5,53,,,,,59,58,00-0027696,TE,2016,0.8849557522123894,29,2010,0.75875,53.188957,0.075,95,5.6,95,65,923,57.6875,10,6,1,0,0,0,2,6,16
69,70,Kyle Rudolph,,,TE6,72,,,,,67,74.2,00-0027981,TE,2016,0.8571428571428571,26,2011,0.92125,42.4065,0.055,43,10.6,133,83,840,52.5,11,7,0,0,0,0,0,7,16
73,74,Delanie Walker,,,TE7,66,,,,,73,78.4,00-0024389,TE,2016,1.0,32,2006,0.7146666666666667,46.59114,0.043,175,1.7,102,65,800,53.333333333333336,13,7,2,11,0.7333333333333333,0,0,7,15
74,75,Zach Ertz,WAS,5,TE8,82,,,,,71,78.4,00-0030061,TE,2016,1.0,25,2013,0.8557142857142856,97.5121,0.055,35,12,106,78,816,58.285714285714285,9,4,0,0,0,0,0,4,14
75,76,Tyler Eifert,,,TE9,95,,,,,83,78.8,00-0030549,TE,2016,0.9607843137254902,25,2013,0.7737499999999999,76.84572,0.021,21,15.2,47,29,394,49.25,6,5,0,0,0,0,0,5,8
88,89,Martellus Bennett,,,TE10,85,,,,,74,89.8,00-0026201,TE,2016,0.8931297709923665,29,2008,0.769375,68.339294,0.042,61,8.4,73,55,701,43.8125,10,7,2,10,0.625,0,0,7,16
102,103,Hunter Henry,NE,9,TE11,120,,,,,92,106.2,00-0033090,TE,2016,1.0,21,2016,0.5886666666666668,34.704742,0.01,35,12,54,36,478,36.76923076923077,7,8,0,0,0,0,1,8,13
112,113,Jordan Matthews,,,TE12,136,,,,,128,120.6,00-0031299,TE,2016,1.0,24,2014,0.8542857142857142,37.267254,0.009000000000000001,42,10.8,119,73,804,57.42857142857143,13,3,0,0,0,0,0,3,14
114,115,Eric Ebron,,,TE13,154,,,,,107,121.6,00-0031387,TE,2016,1.0,23,2014,0.8207692307692308,24.91577,0.023,10,19.9,85,61,711,54.69230769230769,9,1,1,1,0.07692307692307693,1,0,2,13
