...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
5,6,Travis Kelce,KC,10,TE1,6,5,6,5.7,00-0030506,TE,2022,0.9607843137254902,32,153,110,1338,78.70588235294117,19,12,2,5,0.29411764705882354,0,1,12,17
27,28,Mark Andrews,BAL,13,TE2,33,25,31,29.7,00-0034753,TE,2022,0.9390243902439024,26,114,73,847,56.46666666666667,7,5,3,8,0.5333333333333333,0,0,5,15
44,45,T.J. Hockenson,MIN,13,TE3,42,48,45,45,00-0035229,TE,2022,0.8636363636363636,25,131,86,904,53.1764705882353,5,6,0,0,0,0,1,6,17
49,50,George Kittle,SF,9,TE4,46,45,60,50.3,00-0033288,TE,2022,0.8469387755102041,28,86,60,765,51,12,11,0,0,0,0,1,11,15
52,53,Darren Waller,MIA,10,TE5,58,55,51,54.7,00-0031610,TE,2022,0.6448598130841121,29,44,28,388,48.5,9,3,0,0,0,0,0,3,8
62,63,Dallas Goedert,PHI,10,TE6,55,61,76,64,00-0034351,TE,2022,0.8536585365853658,27,69,55,702,58.5,11,3,0,0,0,0,1,3,12
65,66,Kyle Pitts Sr.,ATL,11,TE7,59,60,75,64.7,00-0036970,TE,2022,0.7941176470588235,21,59,28,356,35.6,5,2,0,0,0,0,0,2,10
80,81,Pat Freiermuth,PIT,6,TE8,69,88,91,82.7,00-0036894,TE,2022,0.9411764705882353,23,98,63,732,48.8,9,2,0,0,0,0,0,2,15
81,82,Evan Engram,DEN,9,TE9,74,82,92,82.7,00-0033881,TE,2022,0.8979591836734694,27,101,73,766,45.05882352941177,10,4,2,13,0.7647058823529411,0,0,4,17
91,92,David Njoku,CLE,5,TE10,93,89,105,95.7,00-0033885,TE,2022,0.8061224489795918,26,80,58,628,44.857142857142854,8,4,2,-8,-0.5714285714285714,0,1,4,14
118,119,Dalton Kincaid,BUF,13,TE11,137,114,114,121.7,00-0038933,TE,2022,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0
133,134,Dalton Schultz,HOU,7,TE12,170,117,131,139.3,00-0034383,TE,2022,0.975609756097561,26,89,57,577,38.46666666666667,5,5,0,0,0,0,1,5,15
140,141,Cole Kmet,CHI,13,TE13,159,127,150,145.3,00-0036290,TE,2022,1.0,23,70,50,544,32,6,7,2,9,0.5294117647058824,0,0,7,17
141,142,Chig Okonkwo,TEN,7,TE14,145,145,147,145.7,00-0037809,TE,2022,1.0,22,47,32,450,30,7,3,3,2,0.13333333333333333,0,0,3,15
142,143,Tyler Higbee,LAR,10,TE15,154,149,137,146.7,00-0033110,TE,2022,0.9736842105263158,29,108,72,620,38.75,4,3,0,0,0,0,0,3,16
151,152,Greg Dulcich,NYG,13,TE16,131,174,169,158,00-0037252,TE,2022,0.5882352941176471,22,55,33,411,41.1,6,2,0,0,0,0,0,2,10
158,159,Sam LaPorta,DET,9,TE17,201,154,144,166.3,00-0039065,TE,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
175,176,Luke Musgrave,GB,6,TE18,178,182,176,178.7,00-0039144,TE,2022,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
