Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
17,Brock Bowers,LV,8,TE1,19,16,19,18,00-0039338,TE,2024,1.0,21,153,112,1194,70.23529411764706,15,5,5,13,0.7647058823529411,0,0,5,17
27,Trey McBride,ARI,8,TE2,27,25,28,26.7,00-0037744,TE,2024,0.9607843137254902,24,147,111,1146,71.625,10,2,1,2,0.125,1,0,3,16
35,George Kittle,SF,14,TE3,31,38,42,37,00-0033288,TE,2024,0.8712121212121212,30,94,78,1106,73.73333333333333,21,8,0,0,0,0,0,8,15
51,Sam LaPorta,DET,8,TE4,47,52,60,53,00-0039065,TE,2024,0.9705882352941176,23,83,60,726,45.375,11,7,0,0,0,0,0,7,16
62,T.J. Hockenson,MIN,6,TE5,53,62,73,62.7,00-0035229,TE,2024,0.82,27,62,41,455,45.5,5,0,0,0,0,0,0,0,10
65,Travis Kelce,KC,10,TE6,59,70,63,64,00-0030506,TE,2024,0.9572192513368984,34,134,97,823,51.4375,9,3,1,1,0.0625,0,1,3,16
76,Mark Andrews,BAL,7,TE7,61,78,90,76.3,00-0034753,TE,2024,0.896551724137931,28,69,55,673,39.588235294117645,6,11,4,5,0.29411764705882354,0,0,11,17
84,Evan Engram,DEN,12,TE8,84,89,86,86.3,00-0033881,TE,2024,0.8636363636363636,29,67,47,365,40.55555555555556,2,1,0,0,0,0,1,1,9
88,David Njoku,CLE,9,TE9,74,93,108,91.7,00-0033885,TE,2024,0.8106060606060606,28,99,64,505,45.90909090909091,4,5,0,0,0,0,0,5,11
104,Tucker Kraft,GB,5,TE10,95,111,117,107.7,00-0038996,TE,2024,1.0,23,71,50,707,41.588235294117645,11,7,3,6,0.35294117647058826,0,1,7,17
112,Tyler Warren,IND,11,TE11,130,97,113,113.3,00-0040128,TE,2024,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jonnu Smith,PIT,5,TE12,121,99,139,119.7,00-0033858,TE,2024,0.9398496240601504,29,111,88,884,52,4,8,2,-1,-0.0588235294117647,0,1,8,17
117,Colston Loveland,CHI,5,TE13,143,115,106,121.3,00-0040126,TE,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Jake Ferguson,DAL,10,TE14,127,123,122,124,00-0038041,TE,2024,0.9215686274509803,25,86,59,494,35.285714285714285,6,0,0,0,0,0,2,0,14
119,Dalton Kincaid,BUF,7,TE15,118,118,142,126,00-0038933,TE,2024,0.8823529411764706,24,75,44,448,34.46153846153846,5,2,0,0,0,0,0,2,13
129,Dallas Goedert,PHI,9,TE16,120,130,151,133.7,00-0034351,TE,2024,0.8103448275862069,29,52,42,496,49.6,6,2,0,0,0,0,0,2,10
132,Kyle Pitts Sr.,ATL,5,TE17,146,129,138,137.7,00-0036970,TE,2024,0.8970588235294118,23,74,47,602,35.411764705882355,7,4,0,0,0,0,0,4,17
148,Hunter Henry,NE,14,TE18,151,157,152,153.3,00-0033090,TE,2024,0.8243243243243243,29,97,66,674,42.125,4,2,0,0,0,0,0,2,16
164,Zach Ertz,WAS,12,TE19,183,150,161,164.7,00-0030061,TE,2024,0.9072164948453608,33,93,66,654,38.47058823529411,7,7,0,0,0,0,0,7,17
183,Cade Otton,TB,9,TE20,155,207,175,179,00-0038129,TE,2024,0.9411764705882353,25,87,59,600,42.857142857142854,7,4,1,-4,-0.2857142857142857,0,1,4,14
185,Isaiah Likely,BAL,7,TE21,189,173,185,182.3,00-0037838,TE,2024,0.9607843137254902,24,58,42,477,31.8,4,6,0,0,0,0,1,6,15
188,Brenton Strange,JAC,8,TE22,206,190,163,186.3,00-0038935,TE,2024,0.9117647058823529,23,53,40,411,29.357142857142858,7,2,0,0,0,0,1,2,14
192,Chig Okonkwo,TEN,10,TE23,176,223,182,193.7,00-0037809,TE,2024,1.0,24,71,52,483,30.1875,4,2,1,17,1.0625,0,1,2,16
194,Mike Gesicki,CIN,10,TE24,188,182,219,196.3,00-0034829,TE,2024,0.9913793103448276,28,83,65,665,41.5625,5,2,0,0,0,0,1,2,16
196,Pat Freiermuth,PIT,5,TE25,184,179,229,197.3,00-0036894,TE,2024,0.8970588235294118,25,78,65,655,38.52941176470589,7,7,0,0,0,0,2,7,17
197,Darren Waller,MIA,12,TE26,203,203,215,207,00-0031610,TE,2024,0.6532258064516129,31,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Mason Taylor,NYJ,9,TE27,,191,192,191.5,00-0040736,TE,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
