Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
3,Antonio Brown,,,WR1,3.0,,,,,3.0,3.0,00-0027793,WR,2016,1.0,28,2010,0.962,76.81838,0.102,195.0,1.0,4.09433962264151
4,Julio Jones,,,WR2,4.0,,,,,4.0,4.0,00-0027944,WR,2016,0.9438202247191011,27,2011,0.7750000000000001,145.50555,0.099,6.0,23.2,4.771084337349397
5,Odell Beckham Jr.,,,WR3,5.0,,,,,6.0,5.2,00-0031235,WR,2016,0.9795918367346939,23,2014,0.94375,75.967834,0.02,12.0,18.8,5.287128712871287
7,Mike Evans,TB,1.0,WR4,9.0,,,,,7.0,7.0,00-0031408,WR,2016,1.0,23,2014,0.834375,82.69529,0.027999999999999997,7.0,22.2,1.8645833333333333
8,A.J. Green,,,WR5,10.0,,,,,9.0,8.6,00-0027942,WR,2016,0.9900990099009901,28,2011,0.8109999999999999,144.736,0.105,4.0,25.8,3.909090909090909
11,Jordy Nelson,,,WR6,7.0,,,,,12.0,10.4,00-0026176,WR,2016,1.0,31,2008,0.931875,73.55063,0.073,36.0,11.8,3.7216494845360826
12,Michael Thomas,,,WR7,12.0,,,,,11.0,12.0,00-0032765,WR,2016,1.0,23,2016,0.792,65.80838,0.008,47.0,10.1,5.25
17,Amari Cooper,,,WR8,19.0,,,,,16.0,18.0,00-0031544,WR,2016,1.0,22,2015,0.888125,71.80962,0.04,4.0,25.8,5.253012048192771
19,Brandin Cooks,NO,5.0,WR9,16.0,,,,,23.0,19.8,00-0031236,WR,2016,0.75,22,2014,0.768125,102.21028,0.016,20.0,15.5,4.923076923076923
21,Dez Bryant,,,WR10,24.0,,,,,20.0,20.2,00-0027902,WR,2016,0.7433628318584071,27,2010,0.7853846153846155,97.61936,0.098,24.0,14.4,2.8
23,Doug Baldwin,,,WR11,23.0,,,,,25.0,22.8,00-0028434,WR,2016,1.0,27,2011,-1.0,90.464005,0.07400000000000001,,0.0,5.0212765957446805
25,T.Y. Hilton,,,WR12,25.0,,,,,28.0,26.2,00-0029608,WR,2016,1.0,26,2012,0.8625,82.83849,0.091,92.0,5.8,3.758241758241758
27,DeAndre Hopkins,BAL,10.0,WR13,29.0,,,,,27.0,28.2,00-0030564,WR,2016,1.0,24,2013,0.968125,33.727833,0.09699999999999999,27.0,13.6,3.576923076923077
28,Demaryius Thomas,,,WR14,32.0,,,,,32.0,30.2,00-0027874,WR,2016,1.0,28,2010,0.824375,31.590626,0.098,22.0,14.9,3.577777777777778
31,Keenan Allen,LAC,9.0,WR15,40.0,,,,,40.0,32.6,00-0030279,WR,2016,0.603448275862069,24,2013,0.37,,0.07200000000000001,76.0,7.0,3.0
32,Terrelle Pryor Sr.,,,WR16,31.0,,,,,39.0,33.4,00-0028825,WR,2016,1.0,27,2011,-1.0,72.142395,0.036000000000000004,1.0,34.6,2.935064935064935
37,Alshon Jeffery,,,WR17,35.0,,,,,36.0,37.0,00-0029137,WR,2016,0.8072289156626506,26,2012,0.9258333333333332,26.991135,0.078,45.0,10.4,3.826923076923077
39,Michael Crabtree,,,WR18,37.0,,,,,43.0,41.0,00-0026986,WR,2016,1.0,28,2009,0.74875,67.29596,0.059000000000000004,10.0,19.9,2.831460674157303
41,Davante Adams,LAR,8.0,WR19,48.0,,,,,35.0,41.6,00-0031381,WR,2016,1.0,23,2014,0.8387500000000001,97.26829,0.087,53.0,9.3,5.1466666666666665
42,Ty Montgomery,II,,RB19,45.0,,,,,48.0,42.0,00-0032200,WR,2016,0.5161290322580645,23,2015,0.3846666666666666,82.66743,0.005,94.0,5.7,7.340909090909091
45,Golden Tate,,,WR20,47.0,,,,,47.0,46.4,00-0027891,WR,2016,1.0,28,2010,0.834375,77.471954,0.047,60.0,8.5,6.802197802197802
46,Allen Robinson,II,,WR21,60.0,,,,,42.0,47.2,00-0031428,WR,2016,0.75,23,2014,0.94125,66.98396,0.006999999999999999,61.0,8.4,2.8767123287671232
47,Larry Fitzgerald,,,WR22,44.0,,,,,56.0,47.8,00-0022921,WR,2016,1.0,33,2004,0.91375,46.751835,0.066,3.0,27.6,3.3457943925233646
49,Tyreek Hill,MIA,1.0,WR23,54.0,,,,,58.0,50.4,00-0033040,WR,2016,1.0,22,2016,0.413125,65.694496,0.004,165.0,2.1,4.39344262295082
51,Kelvin Benjamin,,,WR24,49.0,,,,,62.0,51.2,00-0031359,WR,2016,1.0,25,2014,0.723125,61.40562,0.024,28.0,13.4,3.7777777777777777
52,Martavis Bryant,,,WR25,58.0,,,,,52.0,51.2,00-0031373,WR,2016,1.0,24,2014,-1.0,--,0.005,118.0,4.2,--
53,Jarvis Landry,,,WR26,52.0,,,,,44.0,52.8,00-0031382,WR,2016,1.0,23,2014,0.93875,38.669624,0.006999999999999999,63.0,8.2,6.553191489361702
56,Stefon Diggs,NE,9.0,WR27,67.0,,,,,64.0,56.8,00-0031588,WR,2016,1.0,22,2015,0.81,87.92231,0.004,146.0,2.9,3.7976190476190474
59,Sammy Watkins,,,WR28,63.0,,,,,55.0,59.0,00-0031325,WR,2016,0.86,23,2014,0.7525,69.87643,0.037000000000000005,4.0,25.8,1.8571428571428572
60,Emmanuel Sanders,,,WR29,50.0,,,,,60.0,60.0,00-0027685,WR,2016,1.0,29,2010,0.8087500000000001,84.43067,0.071,82.0,6.5,3.189873417721519
62,DeVante Parker,,,WR30,71.0,,,,,54.0,61.4,00-0031547,WR,2016,1.0,23,2015,0.8213333333333335,39.523525,0.019,14.0,17.8,4.214285714285714
64,Jamison Crowder,,,WR31,59.0,,,,,78.0,63.8,00-0031941,WR,2016,1.0,23,2015,0.7418750000000001,46.483955,0.005,105.0,5.0,5.626865671641791
66,Brandon Marshall,,,WR32,68.0,,,,,65.0,67.0,00-0024334,WR,2016,0.8939393939393939,32,2006,0.916,42.071236,0.033,119.0,4.2,2.983050847457627
68,Pierre Garcon,,,WR33,70.0,,,,,79.0,70.0,00-0026345,WR,2016,1.0,30,2008,0.7618750000000001,23.47696,0.057,205.0,0.7,4.329113924050633
83,Jeremy Maclin,,,WR34,86.0,,,,,101.0,84.6,00-0026995,WR,2016,1.0,28,2009,0.8041666666666667,26.725683,0.033,19.0,15.8,3.2045454545454546
84,Willie Snead,IV,,WR35,119.0,,,,,75.0,84.8,00-0030663,WR,2016,1.0,23,2014,0.6940000000000001,57.978096,0.004,,0.0,5.375
88,DeSean Jackson,,,WR36,80.0,,,,,105.0,87.2,00-0026189,WR,2016,0.9076923076923077,29,2008,0.7233333333333333,41.20381,0.067,49.0,9.8,5.017857142857143
