Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
7,Michael Thomas,,,WR1,6.0,,,6.0,00-0032765,WR,2019,1.0,26,2016,0.8830769230769231,72.06917,0.102,47.0,10.1,3.8859060402684564
8,Davante Adams,LAR,9,WR2,9.0,,,9.3,00-0031381,WR,2019,0.9591836734693877,26,2014,0.857,48.60204,0.087,53.0,9.3,4.674698795180723
10,Tyreek Hill,MIA,7,WR3,12.0,,,12.7,00-0033040,WR,2019,0.96875,25,2016,0.7,94.03538,0.096,165.0,2.1,4.827586206896552
14,Julio Jones,,,WR4,14.0,,,14.3,00-0027944,WR,2019,0.9562043795620438,30,2011,0.7586666666666668,76.4321,0.11699999999999999,6.0,23.2,3.4545454545454546
16,DeAndre Hopkins,BAL,7,WR5,20.0,,,17.0,00-0030564,WR,2019,1.0,27,2013,0.9753846153846154,54.71839,0.13699999999999998,27.0,13.6,3.7211538461538463
24,Chris Godwin,TB,13,WR6,24.0,,,21.0,00-0033921,WR,2019,0.9583333333333334,23,2017,0.9215384615384616,115.94182,0.005,84.0,6.4,6.709302325581396
25,Kenny Golladay,,,WR7,27.0,,,25.3,00-0033932,WR,2019,1.0,25,2017,0.852142857142857,70.624,0.005,96.0,5.5,4.676923076923077
26,Mike Evans,TB,13,WR8,28.0,,,27.3,00-0031408,WR,2019,0.9591836734693877,26,2014,0.9008333333333336,208.40666,0.09300000000000001,7.0,22.2,3.8955223880597014
28,Odell Beckham Jr.,,,WR9,30.0,,,30.0,00-0031235,WR,2019,0.8762886597938144,26,2014,0.9586666666666668,50.136627,0.102,12.0,18.8,4.8533333333333335
29,Allen Robinson,II,,WR10,26.0,,,30.7,00-0031428,WR,2019,0.717391304347826,26,2014,0.9353333333333336,57.03296,0.079,61.0,8.4,2.7755102040816326
31,Adam Thielen,CAR,13,WR11,29.0,,,32.0,00-0030035,WR,2019,0.9489795918367347,29,2013,0.7,102.122665,0.086,,0.0,3.9
33,DJ Moore,CHI,11,WR12,37.0,,,34.0,00-0034827,WR,2019,0.96875,22,2018,0.8676923076923078,48.16095,0.016,24.0,14.4,4.482758620689655
34,Amari Cooper,,,WR13,38.0,,,34.3,00-0031544,WR,2019,1.0,25,2015,0.7549999999999999,123.149956,0.10099999999999999,4.0,25.8,3.037974683544304
35,JuJu Smith-Schuster,KC,10,WR14,34.0,,,34.3,00-0033857,WR,2019,0.8958333333333334,22,2017,0.7741666666666668,48.251514,0.006,62.0,8.3,5.285714285714286
38,A.J. Brown,PHI,9,WR15,39.0,,,39.3,00-0035676,WR,2019,1.0,22,2019,0.6771428571428572,93.012955,0.008,51.0,9.6,8.942307692307692
40,Cooper Kupp,SEA,6,WR16,44.0,,,40.0,00-0033908,WR,2019,0.8958333333333334,26,2017,0.8192307692307691,96.57662,0.079,69.0,7.6,5.723404255319149
43,Calvin Ridley,TEN,4,WR17,49.0,,,44.0,00-0034837,WR,2019,0.90625,24,2018,0.7366666666666665,61.37769,0.015,26.0,13.9,2.1904761904761907
46,Tyler Lockett,TEN,4,WR18,48.0,,,50.0,00-0032211,WR,2019,0.9876543209876543,26,2015,0.8992857142857142,116.54,0.06,69.0,7.6,3.6707317073170733
47,Courtland Sutton,DEN,5,WR19,55.0,,,50.7,00-0034348,WR,2019,1.0,23,2018,0.9135714285714284,34.93976,0.01,40.0,11.1,4.888888888888889
49,Keenan Allen,LAC,6,WR20,57.0,,,50.7,00-0030279,WR,2019,0.7830188679245284,27,2013,0.874,91.785286,0.10099999999999999,76.0,7.0,3.548076923076923
50,Robert Woods,PIT,4,WR21,61.0,,,50.7,00-0030431,WR,2019,0.8584070796460177,27,2013,0.9507692307692306,69.78924,0.08199999999999999,41.0,11.0,6.4
51,DK Metcalf,PIT,4,WR22,53.0,,,51.3,00-0035640,WR,2019,1.0,21,2019,0.8385714285714287,42.580624,0.006,64.0,8.1,4.758620689655173
53,Terry McLaurin,WAS,8,WR23,46.0,,,51.7,00-0035659,WR,2019,0.875,23,2019,0.929090909090909,59.2361,0.005,76.0,7.0,3.7413793103448274
54,DJ Chark Jr.,ATL,10,WR24,54.0,,,51.7,00-0034777,WR,2019,0.96875,22,2018,0.8099999999999999,92.00124,0.006,61.0,8.4,4.328767123287672
58,T.Y. Hilton,,,WR25,64.0,,,58.7,00-0029608,WR,2019,0.9621212121212122,29,2012,0.716,63.83656,0.091,92.0,5.8,4.733333333333333
63,DeVante Parker,,,WR26,67.0,,,61.3,00-0031547,WR,2019,1.0,26,2015,0.8826666666666667,67.523834,0.054000000000000006,14.0,17.8,3.6527777777777777
64,Stefon Diggs,NE,5,WR27,68.0,,,63.3,00-0031588,WR,2019,1.0,25,2015,0.7992857142857143,103.788284,0.081,146.0,2.9,4.7936507936507935
68,Marquise Brown,KC,10,WR28,79.0,,,72.0,00-0035662,WR,2019,0.875,22,2019,0.5758333333333333,75.80726,0.016,25.0,14.1,4.913043478260869
69,Michael Gallup,WAS,8,WR29,76.0,,,73.7,00-0034764,WR,2019,0.96875,23,2018,0.8383333333333335,71.13302,0.005,81.0,6.6,5.045454545454546
70,A.J. Green,,,WR30,90.0,,,74.3,00-0027942,WR,2019,0.8791946308724832,31,2011,-1.0,--,0.091,4.0,25.8,--
72,Tyler Boyd,,,WR31,85.0,,,77.0,00-0033009,WR,2019,0.984375,24,2016,0.9085714285714286,74.57829,0.057,55.0,9.1,3.8666666666666667
80,Jarvis Landry,,,WR32,89.0,,,81.3,00-0031382,WR,2019,1.0,26,2014,0.94,63.969166,--,63.0,8.2,5.253012048192771
81,William Fuller V ,,,WR33,95.0,,,82.0,00-0033127,WR,2019,0.796875,25,2016,0.7889999999999999,219.26163,0.016,21.0,15.2,4.469387755102041
82,Julian Edelman,,,WR34,99.0,,,84.0,00-0027150,WR,2019,0.8156424581005587,33,2009,0.8538461538461539,51.004635,0.040999999999999995,232.0,0.0,3.2
85,Deebo Samuel Sr.,WAS,8,WR35,98.0,,,86.7,00-0035719,WR,2019,0.9375,23,2019,0.6916666666666665,50.53781,0.01,36.0,11.8,8.298245614035087
89,Brandin Cooks,NO,6,WR36,118.0,,,93.7,00-0031236,WR,2019,0.8586956521739131,25,2014,0.7358333333333333,33.80379,0.091,20.0,15.5,4.023809523809524
90,Marvin Jones Jr.,,,WR37,106.0,,,93.7,00-0029293,WR,2019,0.8842975206611571,29,2012,0.8918181818181817,116.38141,0.052000000000000005,166.0,2.0,1.7096774193548387
99,Diontae Johnson,CLE,9,WR38,108.0,,,106.0,00-0035216,WR,2019,1.0,23,2019,0.6599999999999999,56.449627,0.006,66.0,7.9,5.169491525423729
102,CeeDee Lamb,DAL,10,WR39,112.0,,,107.3,00-0036358,WR,2019,--,20,2020,-1.0,--,0.018000000000000002,17.0,16.6,--
106,Darius Slayton,NYG,11,WR40,133.0,,,114.0,00-0035535,WR,2019,1.0,22,2019,0.7561538461538458,107.61188,0.004,171.0,1.9,4.0
107,Emmanuel Sanders,,,WR41,136.0,,,114.0,00-0027685,WR,2019,0.9760479041916168,32,2010,0.7621428571428571,100.76308,0.04,82.0,6.5,3.590909090909091
108,Jamison Crowder,,,WR42,126.0,,,115.3,00-0031941,WR,2019,1.0,26,2015,0.7814285714285714,72.11862,0.05,105.0,5.0,4.5256410256410255
114,John Brown,,,WR43,123.0,,,118.3,00-0031051,WR,2019,0.9897959183673469,29,2014,0.91,51.521397,0.048,91.0,5.9,2.9166666666666665
115,Christian Kirk,HOU,8,WR44,164.0,,,119.7,00-0034775,WR,2019,0.78125,22,2018,0.9383333333333334,85.65769,0.008,47.0,10.1,4.1940298507462686
116,Sterling Shepard,TB,13,WR45,135.0,,,119.7,00-0032385,WR,2019,0.921875,26,2016,0.9055555555555556,41.917336,0.054000000000000006,40.0,11.1,3.1403508771929824
117,Jerry Jeudy,CLE,9,WR46,134.0,,,121.0,00-0036407,WR,2019,--,20,2020,-1.0,--,0.019,15.0,17.4,--
122,Henry Ruggs,III,,WR47,141.0,,,128.3,00-0036357,WR,2019,--,20,2020,-1.0,--,0.021,12.0,18.8,--
128,Mecole Hardman Jr.,GB,5,WR48,157.0,,,134.3,00-0035140,WR,2019,1.0,21,2019,0.4626666666666666,37.179523,0.006999999999999999,56.0,9.0,11.23076923076923
131,Justin Jefferson,MIN,7,WR49,166.0,,,138.0,00-0036322,WR,2019,--,20,2020,-1.0,--,0.017,22.0,14.9,--
136,Preston Williams,,,WR50,179.0,,,144.3,00-0035350,WR,2019,0.5,22,2019,0.785,31.971432,--,,0.0,1.90625
137,Jalen Reagor,LAC,6,WR51,160.0,,,145.0,00-0036387,WR,2019,--,20,2020,-1.0,--,0.017,21.0,15.2,--
141,DeSean Jackson,,,WR52,161.0,,,146.7,00-0026189,WR,2019,0.8707865168539326,32,2008,0.29,574.60504,0.048,49.0,9.8,1.6666666666666667
145,Sammy Watkins,,,WR53,159.0,,,150.0,00-0031325,WR,2019,0.9183673469387755,26,2014,0.7700000000000001,133.33435,0.045,4.0,25.8,5.711538461538462
150,Anthony Miller,BAL,7,WR54,,,,127.5,00-0034353,WR,2019,1.0,24,2018,0.624,67.48096,0.008,51.0,9.6,4.173076923076923
151,Mike Williams,,,WR55,177.0,,,152.0,00-0033536,WR,2019,0.9791666666666666,24,2017,0.8464285714285715,14.534096,0.03,7.0,22.2,3.816326530612245
154,Golden Tate,,,WR56,,,,136.0,00-0027891,WR,2019,0.9696969696969697,31,2010,0.86,42.748547,0.05,60.0,8.5,5.795918367346939
164,Robbie Chosen,SF,11,WR57,,,,148.5,00-0032688,WR,2019,1.0,26,2016,0.9135714285714286,56.18396,0.05,,0.0,3.7115384615384617
165,Allen Lazard,NYJ,10,WR58,187.0,,,167.0,00-0034521,WR,2019,1.0,23,2018,0.4178571428571428,32.482723,0.003,,0.0,3.742857142857143
174,Larry Fitzgerald,,,WR60,150.0,,,172.3,00-0022921,WR,2019,1.0,36,2004,0.8406666666666666,32.087955,0.057999999999999996,3.0,27.6,5.424657534246576
177,Michael Pittman Jr.,IND,7,WR61,189.0,,,173.3,00-0036252,WR,2019,--,21,2020,-1.0,--,0.011000000000000001,34.0,12.1,--
178,Parris Campbell ,,,WR62,180.0,,,173.7,00-0035639,WR,2019,0.4375,22,2019,0.3933333333333333,18.192858,0.006,59.0,8.6,5.888888888888889
181,Alshon Jeffery,,,WR63,,,,123.0,00-0029137,WR,2019,0.8396946564885496,29,2012,0.7655555555555557,87.33695,0.078,45.0,10.4,2.697674418604651
183,Hunter Renfrow,CAR,13,WR64,163.0,,,164.5,00-0034983,WR,2019,0.8125,23,2019,0.5238461538461539,58.59731,0.004,149.0,2.7,6.142857142857143
189,Breshad Perriman,,,WR65,200.0,,,170.5,00-0032054,WR,2019,0.8260869565217391,25,2015,0.6276923076923077,110.82247,0.033,26.0,13.9,3.5277777777777777
191,Curtis Samuel,BUF,11,WR66,194.0,,,172.0,00-0033282,WR,2019,0.875,23,2017,0.8514285714285715,35.768955,0.01,40.0,11.1,2.8333333333333335
198,Brandon Aiyuk,SF,11,WR67,197.0,,,183.0,00-0036261,WR,2019,--,21,2020,-1.0,--,0.016,25.0,14.1,--
201,Bryan Edwards,,,WR68,199.0,,,187.7,00-0036365,WR,2019,--,20,2020,-1.0,--,0.006,81.0,6.6,--
208,Dede Westbrook ,,,WR69,,,,172.0,00-0033839,WR,2019,0.7916666666666666,25,2017,0.7285714285714285,45.50838,0.005,110.0,4.7,4.712121212121212
209,Denzel Mims,,,WR70,,,,175.0,00-0036255,WR,2019,--,21,2020,-1.0,--,0.006999999999999999,59.0,8.6,--
213,Antonio Brown,,,WR71,,,,178.0,00-0027793,WR,2019,1.0,31,2010,0.34,,0.008,195.0,1.0,1.75
214,Laviska Shenault Jr.,BUF,11,WR72,,,,202.5,00-0036268,WR,2019,--,20,2020,-1.0,--,0.01,42.0,10.8,--
215,John Ross,,,WR73,,,,180.0,00-0033460,WR,2019,0.75,23,2017,0.7414285714285713,126.30785,0.026000000000000002,9.0,20.6,7.071428571428571
