Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr
2,Tyreek Hill,MIA,6,WR1,2.0,2.0,3.0,2.3,00-0033040,WR,2023,0.9694656488549618,29,2016,0.673125,93.57533,0.11699999999999999,165.0,2.1,0,0.0,0,6,15.0,0,119,1799.0,13,1.0,0,0.0,0,8,53.0,0,81,959.0,6,0.0,5.4789915966386555
3,CeeDee Lamb,DAL,7,WR2,3.0,3.0,2.0,2.7,00-0036358,WR,2023,0.9850746268656716,24,2020,0.8370588235294117,120.18493,0.133,17.0,16.6,0,0.0,0,14,113.0,2,135,1749.0,12,1.0,0,0.0,0,14,70.0,0,101,1194.0,6,1.0,5.037037037037037
6,Justin Jefferson,MIN,6,WR3,7.0,4.0,7.0,6.0,00-0036322,WR,2023,0.8955223880597015,24,2020,0.867,111.04623,0.13699999999999998,22.0,14.9,0,0.0,0,1,-12.0,0,68,1074.0,5,0.0,1,22.0,0,1,3.0,0,103,1533.0,10,0.0,3.823529411764706
7,Ja'Marr Chase,CIN,12,WR4,6.0,5.0,8.0,6.3,00-0036900,WR,2023,0.9019607843137255,23,2021,0.87,156.55812,0.042,5.0,24.3,1,-7.0,0,3,-6.0,0,100,1216.0,7,0.0,0,0.0,0,3,32.0,0,127,1708.0,17,0.0,5.41
8,Amon-Ra St. Brown,DET,5,WR5,8.0,7.0,6.0,7.0,00-0036963,WR,2023,0.9607843137254902,23,2021,0.8975,47.064293,0.11699999999999999,112.0,4.6,0,0.0,0,4,24.0,0,119,1515.0,10,1.0,1,7.0,1,2,6.0,0,115,1263.0,12,1.0,5.61344537815126
9,A.J. Brown,PHI,5,WR6,10.0,9.0,11.0,10.0,00-0035676,WR,2023,0.9285714285714286,26,2019,0.8888235294117647,104.70743,0.125,51.0,9.6,0,0.0,0,0,0.0,0,106,1456.0,7,2.0,0,0.0,0,0,0.0,0,67,1079.0,7,0.0,4.462264150943396
12,Garrett Wilson,NYJ,12,WR7,11.0,13.0,12.0,12.0,00-0037740,WR,2023,1.0,23,2022,0.9147058823529411,29.795074,0.025,10.0,19.9,0,0.0,0,4,0.0,0,95,1042.0,3,2.0,0,0.0,0,2,5.0,0,101,1104.0,7,2.0,3.442105263157895
14,Puka Nacua,LAR,6,WR8,15.0,15.0,14.0,14.7,00-0039075,WR,2023,1.0,22,2023,0.8723529411764704,79.06757,0.005,177.0,1.6,0,0.0,0,12,89.0,0,105,1486.0,6,0.0,0,0.0,0,11,46.0,1,79,990.0,3,0.0,6.085714285714285
15,Marvin Harrison Jr.,ARI,11,WR9,17.0,14.0,16.0,15.7,00-0039849,WR,2023,--,21,2024,-1.0,--,0.035,4.0,25.8,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,62,885.0,8,1.0,--
19,Davante Adams,LAR,6,WR10,20.0,21.0,22.0,21.0,00-0031381,WR,2023,0.9575757575757575,30,2014,0.9211764705882352,123.40235,0.134,53.0,9.3,0,0.0,0,0,0.0,0,103,1144.0,8,0.0,0,0.0,0,0,0.0,0,85,1063.0,8,0.0,3.262135922330097
22,Drake London,ATL,12,WR11,25.0,19.0,23.0,22.3,00-0037238,WR,2023,0.9705882352941176,22,2022,0.8125,57.02456,0.026000000000000002,8.0,21.4,1,22.0,0,0,0.0,0,69,905.0,2,0.0,0,0.0,0,1,-3.0,0,100,1271.0,9,0.0,2.7246376811594204
25,Chris Olave,NO,12,WR12,26.0,22.0,29.0,25.7,00-0037239,WR,2023,0.9117647058823529,23,2022,0.7381249999999999,33.41196,0.023,11.0,19.3,0,0.0,0,0,0.0,0,87,1123.0,5,0.0,0,0.0,0,1,7.0,0,32,400.0,1,1.0,3.9885057471264367
27,Deebo Samuel Sr.,WAS,14,WR13,28.0,28.0,26.0,27.3,00-0035719,WR,2023,0.7951807228915663,27,2019,0.74,115.979805,0.115,36.0,11.8,0,0.0,0,37,225.0,5,60,892.0,7,0.0,0,0.0,0,42,136.0,1,51,670.0,3,0.0,8.783333333333333
28,Nico Collins,HOU,14,WR14,34.0,33.0,25.0,30.7,00-0036554,WR,2023,0.7647058823529411,24,2021,0.6793333333333335,122.934,0.095,89.0,6.0,0,0.0,0,1,7.0,0,80,1297.0,8,0.0,0,0.0,0,0,0.0,0,68,1006.0,7,0.0,6.8625
32,Mike Evans,TB,11,WR15,22.0,29.0,46.0,32.3,00-0031408,WR,2023,0.9636363636363636,30,2014,0.786470588235294,74.57405,0.08,7.0,22.2,0,0.0,0,0,0.0,0,79,1255.0,13,0.0,0,0.0,0,0,0.0,0,74,1004.0,11,0.0,4.075949367088608
33,Brandon Aiyuk,SF,9,WR16,31.0,26.0,43.0,33.3,00-0036261,WR,2023,0.9253731343283582,25,2020,0.8150000000000001,57.364666,0.11699999999999999,25.0,14.1,0,0.0,0,0,0.0,0,75,1342.0,7,1.0,0,0.0,0,0,0.0,0,25,374.0,0,0.0,4.826666666666667
34,Cooper Kupp,SEA,10,WR17,32.0,39.0,33.0,34.7,00-0033908,WR,2023,0.8434782608695652,30,2017,0.9058333333333334,80.38909,0.128,69.0,7.6,0,0.0,0,1,-3.0,0,59,737.0,5,0.0,0,0.0,0,2,10.0,0,67,710.0,6,0.0,5.4576271186440675
38,DJ Moore,CHI,7,WR18,38.0,38.0,39.0,38.3,00-0034827,WR,2023,0.9797979797979798,26,2018,0.906470588235294,136.81639,0.10800000000000001,24.0,14.4,0,0.0,0,4,21.0,1,96,1364.0,8,1.0,0,0.0,0,14,75.0,0,98,966.0,6,1.0,5.614583333333333
39,Michael Pittman Jr.,IND,14,WR19,44.0,44.0,28.0,38.7,00-0035640,WR,2023,0.9879518072289156,25,2019,0.843125,60.02117,0.115,64.0,8.1,0,0.0,0,0,0.0,0,66,1114.0,8,0.0,0,0.0,0,0,0.0,0,66,992.0,5,2.0,5.5606060606060606
40,DK Metcalf,PIT,9,WR20,37.0,41.0,38.0,38.7,00-0035640,WR,2023,0.9879518072289156,25,2019,0.843125,60.02117,0.115,64.0,8.1,0,0.0,0,0,0.0,0,66,1114.0,8,0.0,0,0.0,0,0,0.0,0,66,992.0,5,2.0,5.5606060606060606
41,Jaylen Waddle,MIA,6,WR21,40.0,35.0,42.0,39.0,00-0036613,WR,2023,0.9215686274509803,24,2021,0.6699999999999999,41.30286,0.111,6.0,23.2,0,0.0,0,3,12.0,0,72,1014.0,4,0.0,0,0.0,0,4,12.0,0,58,744.0,2,0.0,5.847222222222222
44,Stefon Diggs,NE,14,WR22,49.0,34.0,44.0,42.3,00-0031588,WR,2023,1.0,29,2015,0.8129411764705884,70.421844,0.08800000000000001,146.0,2.9,0,0.0,0,1,5.0,0,107,1183.0,8,1.0,1,13.0,0,3,8.0,1,47,496.0,3,0.0,3.7289719626168223
46,DeVonta Smith,PHI,5,WR23,45.0,47.0,45.0,45.7,00-0036912,WR,2023,0.9803921568627451,24,2021,0.963125,49.690002,0.098,10.0,19.9,0,0.0,0,0,0.0,0,81,1066.0,7,1.0,0,0.0,0,1,1.0,0,68,833.0,8,0.0,3.6296296296296298
49,Malik Nabers,NYG,11,WR24,56.0,42.0,47.0,48.3,00-0039337,WR,2023,--,20,2024,-1.0,--,0.028999999999999998,6.0,23.2,--,--,--,--,--,--,--,--,--,--,0,0.0,0,5,2.0,0,109,1204.0,7,0.0,--
