Unnamed: 0.3,Rank,Player,Team,Bye,POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG,Real-Time (?),gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,yac_pr
0,1,Ja'Marr Chase,CIN,10.0,WR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,00-0036900,WR,2024,0.9264705882352942,24,2021,0.9229411764705883,165.50934,0.14400000000000002,5.0,24.3,0,0.0,0,3,32.0,0,127,1708.0,17,0.0,6.196850393700787
4,5,Justin Jefferson,MIN,6.0,WR2,4.0,5.0,6.0,5.0,6.0,3.0,4.8,1-jun,00-0036322,WR,2024,0.9166666666666666,25,2020,0.9317647058823529,60.544632,0.13699999999999998,22.0,14.9,1,22.0,0,1,3.0,0,103,1533.0,10,0.0,4.728155339805825
5,6,CeeDee Lamb,DAL,10.0,WR3,6.0,6.0,5.0,3.0,5.0,5.0,5.0,5  +1,00-0036358,WR,2024,0.9642857142857143,25,2020,0.802,69.886856,0.133,17.0,16.6,0,0.0,0,14,70.0,0,101,1194.0,6,1.0,5.316831683168317
7,8,Amon-Ra St. Brown,DET,8.0,WR4,9.0,7.0,12.0,8.0,10.0,11.0,9.5,7  +1,00-0036963,WR,2024,0.9705882352941176,24,2021,0.8829411764705882,82.91577,0.11699999999999999,112.0,4.6,1,7.0,1,2,6.0,0,115,1263.0,12,1.0,3.582608695652174
8,9,Malik Nabers,NYG,14.0,WR5,10.0,10.0,11.0,9.0,9.0,9.0,9.7,1-oct,00-0039337,WR,2024,0.8823529411764706,21,2024,0.9059999999999999,63.686855,0.028999999999999998,6.0,23.2,0,0.0,0,5,2.0,0,109,1204.0,7,0.0,4.238532110091743
11,12,Puka Nacua,LAR,8.0,WR6,8.0,9.0,14.0,7.0,17.0,8.0,10.5,11  +1,00-0039075,WR,2024,0.8235294117647058,23,2023,0.6972727272727274,101.36964,0.005,177.0,1.6,0,0.0,0,11,46.0,1,79,990.0,3,0.0,6.556962025316456
12,13,Nico Collins,HOU,6.0,WR7,13.0,13.0,13.0,16.0,11.0,12.0,13.0,12  +1,00-0036554,WR,2024,0.75,25,2021,0.6625,50.042725,0.095,89.0,6.0,0,0.0,0,0,0.0,0,68,1006.0,7,0.0,5.367647058823529
13,14,Brian Thomas Jr.,JAC,8.0,WR8,16.0,15.0,19.0,13.0,14.0,14.0,15.2,14,00-0039893,WR,2024,1.0,21,2024,0.7935294117647059,65.14059,0.013999999999999999,23.0,14.6,0,0.0,0,6,48.0,0,87,1282.0,10,0.0,6.459770114942529
17,18,Drake London,ATL,5.0,WR9,21.0,17.0,24.0,20.0,19.0,16.0,19.5,16  +2,00-0037238,WR,2024,0.9803921568627451,23,2022,0.8970588235294118,81.58155,0.026000000000000002,8.0,21.4,0,0.0,0,1,-3.0,0,100,1271.0,9,0.0,3.27
19,20,A.J. Brown,PHI,9.0,WR10,17.0,19.0,27.0,15.0,23.0,20.0,20.2,18  +2,00-0035676,WR,2024,0.900990099009901,27,2019,0.8661538461538462,43.981407,0.125,51.0,9.6,0,0.0,0,0,0.0,0,67,1079.0,7,0.0,5.268656716417911
25,26,Ladd McConkey,LAC,12.0,WR11,29.0,24.0,30.0,23.0,29.0,22.0,26.2,24  +2,00-0039915,WR,2024,0.9411764705882353,22,2024,0.731875,51.77596,0.01,34.0,12.1,0,0.0,0,0,0.0,0,82,1149.0,7,0.0,4.7560975609756095
28,29,Tee Higgins,CIN,10.0,WR12,26.0,30.0,32.0,32.0,36.0,28.0,30.7,28  +1,00-0036410,WR,2024,0.8452380952380952,25,2020,0.7908333333333332,108.38628,0.10300000000000001,33.0,12.3,0,0.0,0,0,0.0,0,73,911.0,10,1.0,3.1232876712328768
30,31,Tyreek Hill,MIA,12.0,WR13,31.0,26.0,39.0,36.0,31.0,30.0,32.2,33  -2,00-0033040,WR,2024,0.972972972972973,30,2016,0.7988235294117647,55.858677,0.11699999999999999,165.0,2.1,0,0.0,0,8,53.0,0,81,959.0,6,0.0,3.6049382716049383
32,33,Jaxon Smith-Njigba,SEA,8.0,WR14,37.0,29.0,41.0,39.0,33.0,27.0,34.3,30  +3,00-0038543,WR,2024,1.0,22,2023,0.8641176470588235,77.412796,0.016,20.0,15.5,1,35.0,0,5,26.0,0,100,1130.0,6,0.0,4.77
38,39,Mike Evans,TB,9.0,WR15,40.0,40.0,36.0,33.0,49.0,37.0,39.2,34  +5,00-0031408,WR,2024,0.9505494505494505,31,2014,0.7157142857142859,100.44221,0.08,7.0,22.2,0,0.0,0,0,0.0,0,74,1004.0,11,0.0,3.054054054054054
39,40,Davante Adams,LAR,8.0,WR16,34.0,43.0,34.0,46.0,42.0,38.0,39.5,44  -4,00-0031381,WR,2024,0.945054945054945,31,2014,0.9178571428571428,100.064,0.079,53.0,9.3,0,0.0,0,0,0.0,0,85,1063.0,8,0.0,5.564705882352941
40,41,Terry McLaurin,WAS,12.0,WR17,36.0,42.0,46.0,29.0,40.0,45.0,39.7,35  +6,00-0035659,WR,2024,0.97,28,2019,0.8047058823529412,61.255146,0.10400000000000001,76.0,7.0,0,0.0,0,2,2.0,0,82,1096.0,13,1.0,3.5609756097560976
41,42,Garrett Wilson,NYJ,9.0,WR18,42.0,34.0,51.0,37.0,43.0,32.0,39.8,38  +4,00-0037740,WR,2024,1.0,24,2022,0.9629411764705883,52.380295,0.11599999999999999,10.0,19.9,0,0.0,0,2,5.0,0,101,1104.0,7,2.0,4.376237623762377
43,44,Marvin Harrison Jr.,ARI,8.0,WR19,45.0,39.0,45.0,41.0,45.0,33.0,41.3,40  +4,00-0039849,WR,2024,1.0,22,2024,0.7858823529411766,65.36008,0.035,4.0,25.8,0,0.0,0,0,0.0,0,62,885.0,8,1.0,2.3870967741935485
47,48,DJ Moore,CHI,5.0,WR20,53.0,49.0,52.0,48.0,51.0,43.0,49.3,50  -2,00-0034827,WR,2024,0.9827586206896551,27,2018,0.9382352941176471,50.41309,0.10800000000000001,24.0,14.4,0,0.0,0,14,75.0,0,98,966.0,6,1.0,6.0
48,49,DK Metcalf,PIT,5.0,WR21,47.0,45.0,48.0,53.0,53.0,51.0,49.5,48  +1,00-0035640,WR,2024,0.97,26,2019,0.8600000000000002,42.208378,0.11800000000000001,64.0,8.1,0,0.0,0,0,0.0,0,66,992.0,5,2.0,3.984848484848485
50,51,Courtland Sutton,DEN,12.0,WR22,57.0,52.0,53.0,55.0,50.0,48.0,52.5,52  -1,00-0034348,WR,2024,0.8376068376068376,28,2018,0.8523529411764706,43.647816,0.08199999999999999,40.0,11.1,2,30.0,1,0,0.0,0,81,1081.0,8,1.0,2.2098765432098766
52,53,Xavier Worthy,KC,10.0,WR23,50.0,57.0,50.0,68.0,61.0,47.0,55.5,53,00-0039894,WR,2024,1.0,21,2024,0.6411764705882353,53.76133,0.013000000000000001,28.0,13.4,0,0.0,0,20,104.0,3,59,638.0,6,0.0,6.898305084745763
54,55,DeVonta Smith,PHI,9.0,WR24,62.0,55.0,59.0,59.0,60.0,50.0,57.5,57  -2,00-0036912,WR,2024,0.9264705882352942,25,2021,0.8853846153846155,73.90423,0.098,10.0,19.9,0,0.0,0,1,1.0,0,68,833.0,8,0.0,4.397058823529412
56,57,Jameson Williams,DET,8.0,WR25,66.0,63.0,64.0,51.0,64.0,52.0,60.0,60  -3,00-0037240,WR,2024,0.6470588235294118,23,2022,0.7953333333333334,62.702667,0.021,12.0,18.8,0,0.0,0,11,61.0,1,58,1001.0,7,0.0,8.568965517241379
57,58,Zay Flowers,BAL,7.0,WR26,55.0,56.0,63.0,72.0,68.0,55.0,61.5,65  -7,00-0039064,WR,2024,0.9705882352941176,23,2023,0.7464705882352941,61.640667,0.016,22.0,14.9,0,0.0,0,9,56.0,0,74,1059.0,4,0.0,6.256756756756757
62,63,Tetairoa McMillan,CAR,14.0,WR27,75.0,62.0,66.0,73.0,52.0,53.0,63.5,54  +9,00-0040124,WR,2024,--,21,2025,--,--,0.025,8.0,21.4,--,--,--,--,--,--,--,--,--,--,--
