player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0035676,A.J. Brown,17,1242.0,73.05882,3.0365725,24.558853
00-0039337,Malik Nabers,15,1204.0,80.26667,3.3938704,23.396523
00-0039075,Puka Nacua,13,1131.0,87.0,4.0632944,22.259785
00-0036358,CeeDee Lamb,15,1194.0,79.6,3.8313608,21.097889
00-0036900,Ja'Marr Chase,17,1708.0,100.47059,4.555306,21.091166
00-0036322,Justin Jefferson,18,1591.0,88.388885,4.272545,21.028587
00-0036554,Nico Collins,14,1209.0,86.35714,4.0756598,20.906422
00-0039893,Brian Thomas,17,1282.0,75.411766,3.7298505,20.444735
00-0036407,Jerry Jeudy,17,1229.0,72.29412,3.407726,20.365892
00-0039915,Ladd McConkey,17,1346.0,79.17647,3.9255543,20.009277
00-0034348,Courtland Sutton,17,1156.0,68.0,3.7131655,19.928516
00-0033921,Chris Godwin,7,576.0,82.28571,4.1885405,19.784864
00-0037238,Drake London,17,1271.0,74.76471,3.9476566,19.18278
00-0037247,George Pickens,15,987.0,65.8,3.5989125,19.052961
00-0036912,DeVonta Smith,17,1023.0,60.17647,3.1833043,18.50635
00-0031381,Davante Adams,14,1063.0,75.92857,4.1813445,17.870375
00-0035659,Terry McLaurin,20,1323.0,66.15,3.6750998,17.717613
00-0031408,Mike Evans,15,1096.0,73.066666,4.241034,17.572144
00-0036963,Amon-Ra St. Brown,18,1400.0,77.77778,4.309222,17.529797
00-0034960,Jakobi Meyers,15,1027.0,68.46667,4.0185843,17.441523
00-0034827,D.J. Moore,17,966.0,56.82353,3.2921803,17.424376
00-0030035,Adam Thielen,10,615.0,61.5,3.6505897,17.245266
00-0038997,Josh Downs,14,803.0,57.357143,3.477598,17.051233
00-0034837,Calvin Ridley,17,1017.0,59.82353,3.532253,16.987646
00-0036410,Tee Higgins,12,911.0,75.916664,4.7016253,16.70797
00-0037740,Garrett Wilson,17,1104.0,64.94118,3.969402,16.37431
00-0031588,Stefon Diggs,8,496.0,62.0,3.9050312,15.949846
00-0037545,Rashid Shaheed,6,349.0,58.166668,3.5095434,15.827409
00-0036259,Jauan Jennings,15,975.0,65.0,4.3769145,15.814851
00-0038543,Jaxon Smith-Njigba,17,1130.0,66.47059,4.2618985,15.598855
00-0036252,Michael Pittman,16,808.0,50.5,3.4279952,15.594681
00-0035640,DK Metcalf,15,992.0,66.13333,4.1913986,15.387576
00-0039064,Zay Flowers,17,1059.0,62.294117,4.045714,15.010055
00-0030279,Keenan Allen,15,744.0,49.6,3.2672846,14.886576
00-0036309,Darnell Mooney,16,992.0,62.0,3.941138,14.710378
00-0033040,Tyreek Hill,17,959.0,56.411766,3.7555292,14.430432
00-0037240,Jameson Williams,16,1020.0,63.75,4.5485964,14.272876
00-0037239,Chris Olave,8,400.0,50.0,3.542035,14.256565
00-0037261,Khalil Shakir,18,995.0,55.27778,3.994601,14.233089
00-0039849,Marvin Harrison,17,885.0,52.058823,3.7350514,13.482548
00-0038977,Tank Dell,14,667.0,47.642857,3.7386417,13.216326
00-0033908,Cooper Kupp,14,800.0,57.142857,4.0697627,13.155534
