player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0036900,Ja'Marr Chase,36,362.0,8.0
00-0036963,Amon-Ra St. Brown,32,330.0,9.0
00-0031381,Davante Adams,27,128.0,6.0
00-0036322,Justin Jefferson,27,236.0,6.0
00-0037238,Drake London,27,268.0,7.0
00-0036410,Tee Higgins,25,190.0,7.0
00-0039894,Xavier Worthy,25,214.0,5.0
00-0037740,Garrett Wilson,25,146.0,5.0
00-0034348,Courtland Sutton,23,250.0,7.0
00-0034827,DJ Moore,23,190.0,2.0
00-0035659,Terry McLaurin,21,258.0,11.0
00-0033040,Tyreek Hill,20,114.0,5.0
00-0036358,CeeDee Lamb,20,184.0,4.0
00-0038994,Jordan Addison,19,192.0,6.0
00-0039893,Brian Thomas Jr.,18,208.0,8.0
00-0038117,Wan'Dale Robinson,18,122.0,3.0
00-0039337,Malik Nabers,18,66.0,3.0
00-0039075,Puka Nacua,17,176.0,3.0
00-0039919,Rome Odunze,17,72.0,3.0
00-0030279,Keenan Allen,17,88.0,5.0
00-0036407,Jerry Jeudy,17,42.0,1.0
00-0037247,George Pickens,16,144.0,3.0
00-0038543,Jaxon Smith-Njigba,16,156.0,6.0
00-0031408,Mike Evans,16,66.0,8.0
00-0034960,Jakobi Meyers,16,142.0,3.0
00-0036554,Nico Collins,15,68.0,6.0
00-0036259,Jauan Jennings,15,126.0,5.0
00-0032775,Demarcus Robinson,15,34.0,5.0
00-0035719,Deebo Samuel Sr.,14,100.0,2.0
00-0030564,DeAndre Hopkins,14,72.0,6.0
00-0035676,A.J. Brown,14,156.0,6.0
00-0036912,DeVonta Smith,14,76.0,3.0
00-0038997,Josh Downs,14,88.0,2.0
00-0039901,Keon Coleman,14,58.0,2.0
00-0038393,Dontayvion Wicks,14,178.0,4.0
00-0036252,Michael Pittman,14,86.0,3.0
00-0039849,Marvin Harrison Jr.,14,112.0,5.0
00-0036613,Jaylen Waddle,13,100.0,1.0
00-0037666,Jalen Tolbert,13,116.0,7.0
00-0039342,Xavier Legette,13,72.0,4.0
00-0037816,Romeo Doubs,12,164.0,3.0
00-0038544,Quentin Johnston,12,122.0,4.0
00-0034521,Allen Lazard,12,102.0,4.0
00-0033908,Cooper Kupp,12,122.0,4.0
00-0039146,Jayden Reed,12,136.0,5.0
00-0037240,Jameson Williams,12,78.0,1.0
00-0035216,Diontae Johnson,12,36.0,2.0
00-0033589,David Moore,11,112.0,3.0
