player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0030564,DeAndre Hopkins,31,298.0,7.0
00-0027793,Antonio Brown,30,224.0,8.0
00-0027690,Eric Decker,29,150.0,10.0
00-0024334,Brandon Marshall,25,264.0,10.0
00-0028002,Randall Cobb,24,118.0,6.0
00-0031382,Jarvis Landry,24,158.0,3.0
00-0027874,Demaryius Thomas,23,174.0,3.0
00-0027150,Julian Edelman,23,174.0,5.0
00-0027944,Julio Jones,22,186.0,5.0
00-0022921,Larry Fitzgerald,21,186.0,9.0
00-0031428,Allen Robinson,21,210.0,12.0
00-0022084,Anquan Boldin,20,192.0,3.0
00-0031235,Odell Beckham,20,202.0,6.0
00-0028434,Doug Baldwin,19,252.0,8.0
00-0026345,Pierre Garcon,19,110.0,5.0
00-0027942,A.J. Green,19,182.0,7.0
00-0031051,John Brown,19,194.0,6.0
00-0025465,James Jones,18,60.0,3.0
00-0025389,Calvin Johnson,18,170.0,7.0
00-0027891,Golden Tate,18,78.0,6.0
00-0029000,Cole Beasley,18,154.0,5.0
00-0029269,Travis Benjamin,17,64.0,1.0
00-0031408,Mike Evans,17,54.0,2.0
00-0030460,Markus Wheaton,17,88.0,3.0
00-0031373,Martavis Bryant,16,122.0,4.0
00-0030821,Allen Hurns,16,158.0,6.0
00-0029137,Alshon Jeffery,16,152.0,3.0
00-0029608,T.Y. Hilton,16,124.0,3.0
00-0031381,Davante Adams,16,88.0,2.0
00-0026995,Jeremy Maclin,15,158.0,6.0
00-0031299,Jordan Matthews,15,148.0,5.0
00-0031941,Jamison Crowder,15,50.0,2.0
00-0023496,Vincent Jackson,14,106.0,3.0
00-0027902,Dez Bryant,13,96.0,3.0
00-0029159,Jermaine Kearse,13,168.0,5.0
00-0026035,Danny Amendola,13,108.0,4.0
00-0027077,Brian Hartline,13,96.0,2.0
00-0023367,Nate Washington,13,66.0,2.0
00-0029638,Michael Floyd,13,84.0,4.0
00-0032055,Devin Funchess,13,134.0,6.0
00-0026986,Michael Crabtree,13,36.0,2.0
00-0029262,Rueben Randle,12,110.0,3.0
00-0022044,Andre Johnson,12,90.0,4.0
00-0031339,Donte Moncrief,12,116.0,5.0
00-0029293,Marvin Jones,12,116.0,2.0
00-0028497,Kamar Aiken,11,92.0,4.0
00-0027685,Emmanuel Sanders,11,104.0,3.0
00-0027595,Bryan Walters,11,86.0,1.0
00-0030542,Terrance Williams,11,66.0,1.0
00-0031166,Seth Roberts,11,130.0,5.0
00-0026182,Eddie Royal,11,62.0,1.0
00-0030525,Tavon Austin,10,92.0,4.0
00-0030663,Willie Snead,10,74.0,2.0
00-0026364,Steve Johnson,10,114.0,4.0
00-0031236,Brandin Cooks,10,74.0,2.0
00-0031547,DeVante Parker,10,34.0,1.0
00-0028017,Leonard Hankerson,10,92.0,3.0
00-0022811,Jerricho Cotchery,10,98.0,2.0
00-0032218,Dorial Green-Beckham,10,60.0,3.0
00-0029632,Mohamed Sanu,9,88.0,0.0
00-0031118,Corey Brown,9,120.0,2.0
00-0031588,Stefon Diggs,9,58.0,1.0
00-0020337,Steve Smith,9,46.0,1.0
00-0024466,Marques Colston,9,50.0,3.0
00-0025396,Ted Ginn,9,118.0,6.0
00-0028114,Dwayne Harris,9,94.0,3.0
00-0027918,Andrew Hawkins,9,36.0,0.0
00-0028052,Cecil Shorts,8,68.0,3.0
00-0026901,Mike Wallace,8,42.0,2.0
00-0030279,Keenan Allen,8,114.0,2.0
00-0027681,Brandon LaFell,8,58.0,0.0
00-0031544,Amari Cooper,8,108.0,2.0
00-0023462,Roddy White,8,36.0,1.0
00-0027996,Torrey Smith,8,26.0,1.0
00-0030669,Albert Wilson,8,72.0,1.0
00-0032128,Chris Conley,8,58.0,2.0
00-0030085,Kenny Stills,7,20.0,1.0
00-0031325,Sammy Watkins,7,60.0,2.0
00-0029708,Kendall Wright,7,80.0,2.0
00-0026739,Jordan Norwood,7,42.0,0.0
00-0028237,Chris Hogan,7,40.0,1.0
00-0026224,Harry Douglas,7,64.0,2.0
00-0032170,Rashad Greene,7,18.0,2.0
00-0031068,Ryan Grant,7,44.0,2.0
00-0030431,Robert Woods,7,58.0,2.0
00-0023310,Lance Moore,7,98.0,3.0
00-0031060,De'Anthony Thomas,7,66.0,1.0
00-0030300,Jaron Brown,6,20.0,1.0
00-0030274,Myles White,6,6.0,0.0
00-0028411,Dontrelle Inman,6,44.0,3.0
00-0031001,Jeff Janis,6,16.0,1.0
00-0026237,Andre Caldwell,6,42.0,2.0
00-0031228,Taylor Gabriel,6,34.0,0.0
00-0032009,Adam Humphries,6,12.0,1.0
00-0029033,Griff Whalen,6,82.0,1.0
00-0031549,Nelson Agholor,6,46.0,0.0
00-0030047,Marquess Wilson,6,56.0,0.0
00-0031570,Justin Hardy,6,52.0,0.0
00-0032008,Donteea Dye,6,32.0,1.0
00-0028249,Jeremy Ross,6,76.0,0.0
00-0031431,Marqise Lee,5,48.0,1.0
00-0026189,DeSean Jackson,5,32.0,0.0
00-0027816,Marc Mariani,5,36.0,0.0
00-0031021,Jared Abbrederis,5,10.0,0.0
00-0030990,Josh Huff,5,22.0,1.0
00-0032200,Ty Montgomery,4,40.0,1.0
00-0026998,Percy Harvin,4,18.0,0.0
00-0032211,Tyler Lockett,4,80.0,2.0
00-0022414,Malcom Floyd,4,18.0,1.0
00-0028263,Andre Holmes,4,16.0,2.0
00-0030801,Brandon Coleman,4,36.0,1.0
00-0030670,Bennie Fowler,4,24.0,0.0
00-0026983,Darrius Heyward-Bey,4,18.0,1.0
00-0027005,Hakeem Nicks,4,22.0,0.0
00-0030450,Quinton Patton,4,34.0,0.0
00-0030540,Aaron Dobson,4,24.0,0.0
00-0027006,Kenny Britt,4,0.0,0.0
00-0027691,Andre Roberts,4,16.0,0.0
00-0030516,Brice Butler,4,0.0,0.0
00-0029319,Josh Bellamy,4,10.0,0.0
00-0029640,Brian Quick,3,0.0,0.0
00-0027450,Preston Parker,3,24.0,0.0
00-0023921,Miles Austin,3,0.0,0.0
00-0029572,Jarius Wright,3,0.0,0.0
00-0029415,Keshawn Martin,3,30.0,2.0
00-0031560,Jaelen Strong,3,42.0,2.0
00-0029848,Nick Williams,3,24.0,2.0
00-0031934,Devin Smith,3,46.0,1.0
00-0031972,Darius Jennings,3,34.0,0.0
00-0032098,Daniel Brown,3,0.0,1.0
00-0028825,Terrelle Pryor,3,0.0,0.0
00-0028702,Chris Matthews,3,16.0,1.0
00-0031344,Cody Latimer,3,50.0,1.0
00-0024267,Greg Jennings,3,10.0,1.0
00-0030691,Jeremy Butler,3,4.0,0.0
00-0030147,Russell Shepard,3,8.0,1.0
00-0027356,Marlon Moore,3,20.0,1.0
00-0030920,Javontee Herndon,3,18.0,0.0
00-0029614,Chris Givens,2,28.0,1.0
00-0032112,J.J. Nelson,2,36.0,0.0
00-0031912,Cameron Meredith,2,0.0,0.0
00-0029129,Rod Streater,2,16.0,0.0
00-0031600,Keith Mumphery,2,0.0,0.0
00-0028091,Jeremy Kerley,2,24.0,2.0
00-0031025,Michael Campanaro,2,14.0,0.0
00-0030521,Justin Hunter,2,16.0,1.0
00-0022427,Wes Welker,2,12.0,0.0
00-0024324,Jason Avant,2,8.0,0.0
00-0026186,Jerome Simpson,2,40.0,1.0
00-0025410,Dwayne Bowe,2,8.0,0.0
00-0028442,Ricardo Lockette,2,0.0,0.0
00-0028905,Chris Owusu,1,0.0,0.0
00-0030532,Stedman Bailey,1,36.0,1.0
00-0032208,Phillip Dorsett,1,0.0,0.0
00-0027758,Riley Cooper,1,0.0,0.0
00-0027089,Louis Murphy,1,0.0,0.0
00-0032123,Tre McBride,1,2.0,1.0
00-0031315,Matt Hazel,1,0.0,0.0
00-0031818,Bradley Marquez,1,10.0,0.0
00-0031757,Lucky Whitehead,1,0.0,0.0
00-0031320,Kevin Smith,1,0.0,0.0
00-0031023,Quincy Enunwa,1,14.0,0.0
00-0030400,Marlon Brown,1,0.0,0.0
00-0029580,Rishard Matthews,1,6.0,1.0
00-0027708,Marcus Easley,1,0.0,0.0
00-0030187,Rashad Ross,1,4.0,0.0
00-0030154,Frankie Hammond,1,6.0,0.0
00-0030113,Charles Johnson,1,0.0,0.0
00-0030000,Kenbrell Thompkins,1,0.0,0.0
00-0031310,Devin Street,1,0.0,0.0
00-0031610,Darren Waller,1,0.0,0.0
