...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
4,5,Antonio Brown,,,WR1,5,,,6,,5,5.2,00-0027793,WR,2017,1.0,29,2010,0.8957142857142858,154.19786,0.102,195,1,165,101,1533,109.5,27,9,0,0,0,0,0,9,14
7,8,DeAndre Hopkins,BAL,10,WR2,9,,,10,,8,8.8,00-0030564,WR,2017,1.0,25,2013,0.982,58.58839,0.09699999999999999,27,13.6,175,96,1378,91.86666666666666,24,13,0,0,0,0,1,13,15
10,11,Odell Beckham Jr.,,,WR3,10,,,12,,11,11,00-0031235,WR,2017,0.8153846153846154,24,2014,0.7575000000000001,80.73999,0.102,12,18.8,43,25,302,75.5,2,3,1,8,2,0,0,3,4
12,13,Julio Jones,,,WR4,8,,,14,,13,12.6,00-0027944,WR,2017,0.9523809523809523,28,2011,0.7550000000000001,115.47463,0.099,6,23.2,148,88,1444,90.25,23,3,1,15,0.9375,0,0,3,16
15,16,Michael Thomas,,,WR5,17,,,16,,14,15.8,00-0032765,WR,2017,1.0,24,2016,0.82125,37.89329,0.008,47,10.1,149,104,1245,77.8125,22,5,0,0,0,0,0,5,16
16,17,Keenan Allen,LAC,8,WR6,15,,,17,,16,16.4,00-0030279,WR,2017,0.6891891891891891,25,2013,0.8443750000000001,98.21983,0.07200000000000001,76,7,159,102,1393,87.0625,18,6,2,9,0.5625,0,0,6,16
17,18,Davante Adams,LAR,12,WR7,21,,,19,,18,18.8,00-0031381,WR,2017,1.0,24,2014,0.8528571428571429,62.382256,0.087,53,9.3,118,74,885,63.214285714285715,8,10,0,0,0,0,0,10,14
19,20,A.J. Green,,,WR8,19,,,21,,19,20.2,00-0027942,WR,2017,0.9914529914529915,29,2011,0.87125,73.192665,0.105,4,25.8,143,75,1078,67.375,9,8,0,0,0,0,2,8,16
21,22,Mike Evans,TB,5,WR9,23,,,24,,21,23.4,00-0031408,WR,2017,0.9848484848484849,24,2014,0.866,37.346855,0.09300000000000001,7,22.2,138,71,1004,66.93333333333334,9,5,0,0,0,0,0,5,15
26,27,Tyreek Hill,MIA,11,WR10,31,,,25,,28,26.8,00-0033040,WR,2017,1.0,23,2016,0.8106666666666665,72.37553,0.004,165,2.1,105,75,1183,78.86666666666666,15,7,17,59,3.933333333333333,0,0,7,15
28,29,T.Y. Hilton,,,WR11,29,,,27,,30,28.2,00-0029608,WR,2017,1.0,27,2012,0.8999999999999999,98.706,0.091,92,5.8,109,57,966,60.375,14,4,0,0,0,0,1,4,16
29,30,Stefon Diggs,NE,11,WR12,32,,,32,,31,29.8,00-0031588,WR,2017,1.0,23,2015,0.8049999999999999,91.00417,0.081,146,2.9,95,64,849,60.642857142857146,14,8,8,13,0.9285714285714286,0,0,8,14
30,31,Adam Thielen,CAR,4,WR13,34,,,29,,27,31.8,00-0030035,WR,2017,1.0,27,2013,0.925625,61.80296,0.028999999999999998,,0,142,91,1276,79.75,20,4,1,11,0.6875,0,2,4,16
31,32,Larry Fitzgerald,,,WR14,30,,,37,,32,33.6,00-0022921,WR,2017,1.0,34,2004,0.95375,82.10987,0.066,3,27.6,162,109,1156,72.25,16,6,0,0,0,0,1,6,16
33,34,Amari Cooper,,,WR15,36,,,35,,37,34.6,00-0031544,WR,2017,1.0,23,2015,0.8099999999999999,125.64132,0.04,4,25.8,96,48,680,48.57142857142857,9,7,1,4,0.2857142857142857,0,0,7,14
35,36,Doug Baldwin,,,WR16,39,,,39,,29,37,00-0028434,WR,2017,1.0,28,2011,-1,56.627956,0.07400000000000001,,0,117,75,991,61.9375,18,8,2,-8,-0.5,0,0,8,16
37,38,Jarvis Landry,,,WR17,40,,,36,,45,38.4,00-0031382,WR,2017,1.0,24,2014,0.894375,30.148,0.09,63,8.2,161,112,987,61.6875,6,9,1,-7,-0.4375,0,3,9,16
40,41,Demaryius Thomas,,,WR18,38,,,45,,38,43.2,00-0027874,WR,2017,1.0,29,2010,0.7875,42.747623,0.098,22,14.9,426,249,2847,177.9375,30,10,0,0,0,0,1,10,16
42,43,JuJu Smith-Schuster,KC,12,WR19,51,,,42,,47,44,00-0033857,WR,2017,0.9375,20,2017,0.7471428571428571,92.78744,0.006,62,8.3,79,58,917,70.53846153846153,12,7,0,0,0,0,0,7,13
43,44,Brandin Cooks,NO,6,WR20,47,,,44,,39,45.4,00-0031236,WR,2017,0.8166666666666667,23,2014,0.92875,67.70599,0.091,20,15.5,115,65,1082,67.625,18,7,9,40,2.5,0,0,7,16
44,45,Golden Tate,,,WR21,45,,,43,,42,45.8,00-0027891,WR,2017,1.0,29,2010,0.76125,56.35296,0.047,60,8.5,120,92,1003,62.6875,10,5,5,22,1.375,0,1,5,16
