...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
4,5,Cooper Kupp,SEA,11,WR1,4,5,,4.5,00-0033908,WR,2021,0.9259259259259259,28,192,145,1947,114.52941176470588,30,16,4,18,1.0588235294117647,0,0,16,17
5,6,Justin Jefferson,MIN,7,WR2,5,8,,6.5,00-0036322,WR,2021,1.0,22,170,108,1616,95.05882352941177,27,10,6,14,0.8235294117647058,0,1,10,17
8,9,Ja'Marr Chase,CIN,10,WR3,8,10,,9,00-0036900,WR,2021,1.0,21,128,81,1455,85.58823529411765,22,13,7,21,1.2352941176470589,0,1,13,17
10,11,Davante Adams,LAR,7,WR4,12,11,,11.5,00-0031381,WR,2021,0.9465648854961832,28,169,123,1553,97.0625,19,11,0,0,0,0,0,11,16
11,12,Stefon Diggs,NE,10,WR5,10,14,,12,00-0031588,WR,2021,1.0,27,164,103,1225,72.05882352941177,12,10,0,0,0,0,0,10,17
15,16,CeeDee Lamb,DAL,9,WR6,13,19,,16,00-0036358,WR,2021,0.9696969696969697,22,121,79,1102,68.875,20,6,9,76,4.75,0,0,6,16
19,20,Tyreek Hill,MIA,11,WR7,24,20,,22,00-0033040,WR,2021,0.9690721649484536,27,159,111,1239,72.88235294117646,13,9,9,96,5.647058823529412,0,1,9,17
23,24,Mike Evans,TB,11,WR8,21,26,,23.5,00-0031408,WR,2021,0.9618320610687023,28,114,74,1035,64.6875,20,14,1,10,0.625,0,0,14,16
24,25,Deebo Samuel Sr.,WAS,14,WR9,23,24,,23.5,00-0035719,WR,2021,0.7755102040816326,25,121,77,1397,87.3125,23,6,59,365,22.8125,8,2,15,16
28,29,Michael Pittman Jr.,IND,14,WR10,27,33,,30,00-0036252,WR,2021,0.9090909090909091,23,130,88,1082,63.64705882352941,12,6,5,44,2.588235294117647,0,0,6,17
29,30,A.J. Brown,PHI,7,WR11,32,28,,30,00-0035676,WR,2021,0.88,24,105,63,869,66.84615384615384,10,5,2,10,0.7692307692307693,0,0,5,13
30,31,Keenan Allen,LAC,8,WR12,31,30,,30.5,00-0030279,WR,2021,0.8129496402877698,29,158,106,1138,71.125,12,6,0,0,0,0,0,6,16
31,32,Tee Higgins,CIN,10,WR13,30,34,,32,00-0036410,WR,2021,0.9090909090909091,22,111,74,1091,77.92857142857143,17,6,0,0,0,0,1,6,14
35,36,DJ Moore,CHI,14,WR14,35,41,,38,00-0034827,WR,2021,0.9692307692307692,24,164,93,1157,68.05882352941177,16,4,8,48,2.823529411764706,0,1,4,17
38,39,Mike Williams,,,WR15,38,43,,40.5,00-0033536,WR,2021,0.9629629629629629,26,130,76,1146,71.625,17,9,0,0,0,0,0,9,16
