"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033908","Cooper Kupp",192,11.3,35.6,"WR","LA",31.7
2,"00-0031381","Davante Adams",169,10.6,33.6,"WR","GB",29.5
3,"00-0036322","Justin Jefferson",170,10,34.2,"WR","MIN",29.3
4,"00-0034827","D.J. Moore",164,9.6,34,"WR","CAR",28.4
5,"00-0035640","DK Metcalf",129,7.6,28,"WR","SEA",27.1
6,"00-0036309","Darnell Mooney",141,8.3,31.1,"WR","CHI",26.7
7,"00-0035216","Diontae Johnson",173,10.8,38.7,"WR","PIT",26.3
8,"00-0031588","Stefon Diggs",164,9.6,36.9,"WR","BUF",26.2
9,"00-0036252","Michael Pittman",130,7.6,29.8,"WR","IND",25.7
10,"00-0031236","Brandin Cooks",134,8.4,30.8,"WR","HOU",25.6
11,"00-0033040","Tyreek Hill",159,9.4,37.6,"WR","KC",24.9
12,"00-0035662","Marquise Brown",147,9.2,35.1,"WR","BAL",24.6
13,"00-0034960","Jakobi Meyers",128,8,30.9,"WR","NE",24.3
14,"00-0035659","Terry McLaurin",130,7.6,31.6,"WR","WAS",24.2
15,"00-0035719","Deebo Samuel",121,7.6,29.4,"WR","SF",24.2
16,"00-0030279","Keenan Allen",158,9.9,39.2,"WR","LAC",23.7
17,"00-0036900","Ja'Marr Chase",128,7.5,31.9,"WR","CIN",23.6
18,"00-0036613","Jaylen Waddle",140,8.8,35.4,"WR","MIA",23.3
19,"00-0032211","Tyler Lockett",108,6.8,28,"WR","SEA",22.7
20,"00-0036912","DeVonta Smith",105,6.2,27.7,"WR","PHI",22.3
21,"00-0034983","Hunter Renfrow",129,7.6,35.6,"WR","LV",21.3
22,"00-0036963","Amon-Ra St. Brown",121,7.6,33.6,"WR","DET",21.2
23,"00-0029293","Marvin Jones",120,7.1,34.6,"WR","JAX",20.4
24,"00-0036410","Tee Higgins",111,7.9,31.9,"WR","CIN",20.4
25,"00-0035676","A.J. Brown",105,8.1,30.8,"WR","TEN",20.1
26,"00-0033536","Mike Williams",130,8.1,39.2,"WR","LAC",19.5
27,"00-0034348","Courtland Sutton",100,5.9,30.6,"WR","DEN",19.2
28,"00-0032688","Robby Anderson",110,6.5,34,"WR","CAR",19
29,"00-0036358","CeeDee Lamb",121,7.6,37.8,"WR","DAL",18.8
30,"00-0029000","Cole Beasley",113,7.1,36.9,"WR","BUF",18
31,"00-0034775","Christian Kirk",103,6.1,33.6,"WR","ARI",18
32,"00-0033921","Chris Godwin",127,9.1,42.2,"WR","TB",17.7
33,"00-0036219","Marquez Callaway",84,4.9,28.1,"WR","NO",17.6
34,"00-0033009","Tyler Boyd",95,5.9,31.9,"WR","CIN",17.5
35,"00-0031382","Jarvis Landry",87,7.2,29.5,"WR","CLE",17.3
36,"00-0036261","Brandon Aiyuk",86,5.4,29.4,"WR","SF",17.2
37,"00-0036268","Laviska Shenault",100,6.2,34.6,"WR","JAX",17
38,"00-0034411","Russell Gage",94,7.2,32.6,"WR","ATL",16.9
39,"00-0030035","Adam Thielen",95,7.3,34.2,"WR","MIN",16.4
40,"00-0027942","A.J. Green",93,5.8,33.6,"WR","ARI",16.3
41,"00-0033375","Tim Patrick",85,5.3,30.6,"WR","DEN",16.3
42,"00-0031544","Amari Cooper",104,6.9,37.8,"WR","DAL",16.2
43,"00-0036326","Chase Claypool",105,7,38.7,"WR","PIT",16
44,"00-0031408","Mike Evans",114,7.1,42.2,"WR","TB",15.9
45,"00-0036415","Van Jefferson",89,5.2,35.6,"WR","LA",14.7
46,"00-0036345","K.J. Osborn",82,4.8,34.2,"WR","MIN",14.1
47,"00-0033251","Zach Pascal",69,4.3,29.8,"WR","IND",13.6
48,"00-0033932","Kenny Golladay",77,5.5,33.3,"WR","NYG",13.6
49,"00-0036271","Quez Watkins",63,3.7,27.7,"WR","PHI",13.4
50,"00-0033307","Kendrick Bourne",70,4.4,30.9,"WR","NE",13.3
51,"00-0036980","Elijah Moore",78,7.1,34.5,"WR","NYJ",13.3
52,"00-0035140","Mecole Hardman",83,4.9,37.6,"WR","KC",13
53,"00-0031428","Allen Robinson",67,5.6,31.1,"WR","CHI",12.7
54,"00-0031941","Jamison Crowder",73,6.1,34.5,"WR","NYJ",12.5
55,"00-0032464","Kalif Raymond",71,4.4,33.6,"WR","DET",12.4
56,"00-0035215","Deonte Harris",59,4.5,28.1,"WR","NO",12.3
57,"00-0031549","Nelson Agholor",64,4.6,30.9,"WR","NE",12.2
58,"00-0031547","DeVante Parker",73,8.1,35.4,"WR","MIA",12.1
59,"00-0036387","Jalen Reagor",57,3.4,27.7,"WR","PHI",12.1
60,"00-0036233","Donovan Peoples-Jones",59,4.5,29.5,"WR","CLE",11.8
61,"00-0027685","Emmanuel Sanders",73,5.2,36.9,"WR","BUF",11.6
62,"00-0030431","Robert Woods",70,7.8,35.6,"WR","LA",11.6
63,"00-0033891","Zay Jones",70,4.7,35.6,"WR","LV",11.6
64,"00-0032009","Adam Humphries",62,3.6,31.6,"WR","WAS",11.5
65,"00-0036554","Nico Collins",60,4.3,30.8,"WR","HOU",11.5
66,"00-0036550","Rashod Bateman",68,5.7,35.1,"WR","BAL",11.4
67,"00-0030564","DeAndre Hopkins",64,6.4,33.6,"WR","ARI",11.2
68,"00-0036936","Rondale Moore",64,4.6,33.6,"WR","ARI",11.2
69,"00-0034419","Braxton Berrios",65,4.3,34.5,"WR","NYJ",11.1
70,"00-0036182","Nick Westbrook-Ikhine",57,3.8,30.8,"WR","TEN",10.9
71,"00-0036407","Jerry Jeudy",56,5.6,30.6,"WR","DEN",10.8
72,"00-0034765","Tre'Quan Smith",51,5.1,28.1,"WR","NO",10.7
73,"00-0034521","Allen Lazard",60,4.3,33.6,"WR","GB",10.5
74,"00-0035535","Darius Slayton",58,4.5,33.3,"WR","NYG",10.2
75,"00-0033871","Corey Davis",59,6.6,34.5,"WR","NYJ",10.1
76,"00-0036913","Kadarius Toney",57,6.3,33.3,"WR","NYG",10.1
77,"00-0034407","Ray-Ray McCloud",66,5.1,38.7,"WR","PIT",10
78,"00-0036196","Gabriel Davis",63,4.2,36.9,"WR","BUF",10
79,"00-0036365","Bryan Edwards",60,4,35.6,"WR","LV",9.9
80,"00-0034272","Marquez Valdes-Scantling",56,5.1,33.6,"WR","GB",9.8
81,"00-0034418","Cedrick Wilson",62,4.4,37.8,"WR","DAL",9.7
82,"00-0034764","Michael Gallup",62,6.9,37.8,"WR","DAL",9.7
83,"00-0035208","Olamide Zaccheaus",54,3.6,32.6,"WR","ATL",9.7
84,"00-0032385","Sterling Shepard",53,7.6,33.3,"WR","NYG",9.4
