Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age;targets;recepciones;rec_yards;rec_ypg;rec_20plus;rec_td;attempts;rush_yards;rush_ypg;rush_td;fumbles_perdidos;total_touchdowns;partidos
1;Ja'Marr Chase;CIN;10;WR1;1;1;1;1;00-0036900;WR;2024;0.9264705882352942;24;175;127;1708;10.047.058.823.529.400;19;17;3;32;18.823.529.411.764.700;0;0;17;17
5;Justin Jefferson;MIN;6;WR2;5;4;6;5;00-0036322;WR;2024;0.9166666666666666;25;154;103;1533;9.017.647.058.823.520;28;10;1;3;0.17647058823529413;0;0;10;17
6;CeeDee Lamb;DAL;10;WR3;6;6;5;5.7;00-0036358;WR;2024;0.9642857142857143;25;154;101;1194;79.6;16;6;14;70;4.666.666.666.666.660;0;1;6;15
9;Puka Nacua;LAR;8;WR4;11;8;10;9.7;00-0039075;WR;2024;0.8235294117647058;23;107;79;990;90;11;3;11;46;4.181.818.181.818.180;1;0;4;11
11;Amon-Ra St. Brown;DET;8;WR5;10;9;11;10;00-0036963;WR;2024;0.9705882352941176;24;141;115;1263;7.429.411.764.705.880;14;12;2;6;0.35294117647058826;0;1;13;17
12;Malik Nabers;NYG;14;WR6;13;11;9;11;00-0039337;WR;2024;0.8823529411764706;21;172;109;1204;8.026.666.666.666.660;16;7;5;2;0.13333333333333333;0;0;7;15
13;Nico Collins;HOU;6;WR7;9;13;15;12.3;00-0036554;WR;2024;0.75;25;99;68;1006;8.383.333.333.333.330;14;7;0;0;0;0;0;7;12
15;Brian Thomas Jr.;JAC;8;WR8;16;15;14;15;00-0039893;WR;2024;1.0;21;135;87;1282;7.541.176.470.588.230;18;10;6;48;2.823.529.411.764.700;0;0;10;17
19;Drake London;ATL;5;WR9;18;18;20;18.7;00-0037238;WR;2024;0.9803921568627451;23;159;100;1271;7.476.470.588.235.290;12;9;1;-3;-0.17647058823529413;0;0;9;17
21;A.J. Brown;PHI;9;WR10;22;17;25;21.3;00-0035676;WR;2024;0.900990099009901;27;97;67;1079;83;17;7;0;0;0;0;0;7;13
26;Ladd McConkey;LAC;12;WR11;24;23;29;25.3;00-0039915;WR;2024;0.9411764705882353;22;113;82;1155;721.875;15;7;0;0;0;0;0;7;16
28;Tyreek Hill;MIA;12;WR12;34;29;26;29.7;00-0033040;WR;2024;0.972972972972973;30;123;81;959;56.411.764.705.882.300;13;6;8;53;31.176.470.588.235.200;0;0;6;17
30;Jaxon Smith-Njigba;SEA;8;WR13;32;28;35;31.7;00-0038543;WR;2024;1.0;22;138;100;1130;6.647.058.823.529.410;14;6;5;26;15.294.117.647.058.800;0;0;6;17
31;Tee Higgins;CIN;10;WR14;29;30;36;31.7;00-0036410;WR;2024;0.8452380952380952;25;110;73;911;7.591.666.666.666.660;12;10;0;0;0;0;1;10;12
34;Garrett Wilson;NYJ;9;WR15;36;34;37;35.7;00-0037740;WR;2024;1.0;24;154;101;1104;6.494.117.647.058.820;16;7;2;5;0.29411764705882354;0;2;7;17
40;Mike Evans;TB;9;WR16;35;37;48;40;00-0031408;WR;2024;0.9505494505494505;31;110;74;1004;7.171.428.571.428.570;15;11;0;0;0;0;0;11;14
41;Davante Adams;LAR;8;WR17;38;43;39;40;00-0031381;WR;2024;0.945054945054945;31;142;85;1063;7.592.857.142.857.140;16;8;0;0;0;0;0;8;14
42;Terry McLaurin;WAS;12;WR18;39;35;47;40.3;00-0035659;WR;2024;0.97;28;118;82;1096;6.447.058.823.529.410;12;13;2;2;0.1176470588235294;0;1;13;17
43;Marvin Harrison Jr.;ARI;8;WR19;43;36;43;40.7;00-0039849;WR;2024;1.0;22;116;62;885;5.205.882.352.941.170;14;8;0;0;0;0;1;8;17
46;DJ Moore;CHI;5;WR20;51;47;44;47.3;00-0034827;WR;2024;0.9827586206896551;27;142;98;966;568.235.294.117.647;11;6;14;75;4.411.764.705.882.350;0;1;6;17
48;DK Metcalf;PIT;5;WR21;48;48;52;49.3;00-0035640;WR;2024;0.97;26;109;66;992;6.613.333.333.333.330;20;5;0;0;0;0;2;5;15
49;Rashee Rice;KC;10;WR22;54;46;56;52;00-0039067;WR;2024;0.5882352941176471;24;29;24;288;96;3;2;1;1;0.3333333333333333;0;0;2;3
50;Courtland Sutton;DEN;12;WR23;56;50;50;52;00-0034348;WR;2024;0.8376068376068376;28;135;81;1081;675.625;17;8;0;0;0;0;1;9;16
52;DeVonta Smith;PHI;9;WR24;52;53;55;53.3;00-0036912;WR;2024;0.9264705882352942;25;90;68;833;6.407.692.307.692.300;14;8;1;1;0.07692307692307693;0;0;8;13
59;Zay Flowers;BAL;7;WR25;57;55;70;60.7;00-0039064;WR;2024;0.9705882352941176;23;117;74;1059;62.294.117.647.058.800;19;4;9;56;32.941.176.470.588.200;0;0;4;17
60;Xavier Worthy;KC;10;WR26;62;56;65;61;00-0039894;WR;2024;1.0;21;99;59;638;39.875;4;6;20;104;6.5;3;0;9;16
63;Jameson Williams;DET;8;WR27;65;58;66;63;00-0037240;WR;2024;0.6470588235294118;23;182;116;1902;126.8;32;12;22;122;8.133.333.333.333.330;1;0;14;15
64;Tetairoa McMillan;CAR;14;WR28;78;59;53;63.3;00-0040124;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
68;George Pickens;DAL;10;WR29;67;64;68;66.3;00-0037247;WR;2024;0.9411764705882353;23;103;59;900;6.428.571.428.571.420;17;3;2;-6;-0.42857142857142855;0;1;3;14
71;Travis Hunter;JAC;8;WR30;70;65;72;69;00-0040718;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Calvin Ridley;TEN;10;WR31;77;75;61;71;00-0034837;WR;2024;0.7870370370370371;29;120;64;1017;598.235.294.117.647;19;4;8;55;3.235.294.117.647.050;1;1;5;17
73;Jaylen Waddle;MIA;12;WR32;72;67;77;72;00-0036613;WR;2024;0.9117647058823529;25;85;58;767;5.113.333.333.333.330;12;2;4;12;0.8;0;0;2;15
75;Chris Olave;NO;11;WR33;81;69;75;75;00-0037239;WR;2024;0.7647058823529411;24;44;32;400;50;4;1;1;7;0.875;0;1;1;8
77;Jerry Jeudy;CLE;9;WR34;90;74;67;77;00-0036407;WR;2024;0.8823529411764706;25;148;90;1229;7.229.411.764.705.880;13;4;0;0;0;0;0;4;17
79;Chris Godwin;TB;9;WR35;85;80;81;82;00-0033921;WR;2024;0.8409090909090909;28;62;50;576;8.228.571.428.571.420;7;5;1;2;0.2857142857142857;0;0;5;7
80;Rome Odunze;CHI;5;WR36;86;79;83;82.7;00-0039919;WR;2024;1.0;22;101;54;734;431.764.705.882.353;8;3;3;15;0.8823529411764706;0;1;3;17
82;Jordan Addison;MIN;6;WR37;89;76;85;83.3;00-0038994;WR;2024;0.9411764705882353;22;100;63;875;58.333.333.333.333.300;13;9;3;20;13.333.333.333.333.300;1;0;10;15
85;Deebo Samuel Sr.;WAS;12;WR38;102;85;79;88.7;00-0035719;WR;2024;0.81;28;81;51;670;47.857.142.857.142.800;10;3;42;136;9.714.285.714.285.710;1;1;4;14
89;Stefon Diggs;NE;14;WR39;103;91;82;92;00-0031588;WR;2024;0.9454545454545454;30;64;47;496;62;5;3;3;8;1;1;0;4;8
91;Cooper Kupp;SEA;8;WR40;111;90;84;95;00-0033908;WR;2024;0.8333333333333334;31;100;67;710;59.166.666.666.666.600;10;6;2;10;0.8333333333333334;0;0;6;12
92;Jakobi Meyers;LV;8;WR41;106;84;98;96;00-0034960;WR;2024;0.9306930693069307;27;130;87;1027;6.846.666.666.666.660;16;4;2;23;15.333.333.333.333.300;0;0;4;15
