player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
00-0036358,CeeDee Lamb,6.9336863,104.542206,0.47441277,98.2,6.333333333333333,0.2,13.3007,20.2344
00-0036900,Ja'Marr Chase,7.7277055,70.79015,0.60422933,92.33333333333331,11.333333333333334,0.5555555555555556,10.7044,18.4321
00-0036963,Amon-Ra St. Brown,5.5548005,82.21389,0.72660244,77,6.666666666666667,0.8888888888888888,12.581,18.1358
00-0037247,George Pickens,5.4289975,87.88049,0.5059231,84.88888888888889,5.666666666666667,0.6666666666666666,11.8236,17.2526
00-0039075,Puka Nacua,5.8811426,69.851,0.6404127,96.875,4.666666666666667,0.5,10.8276,16.7087
00-0038544,Quentin Johnston,4.96631,73.67057,0.7019504,62.75,3.6666666666666665,0.75,11.5788,16.5451
00-0031381,Davante Adams,4.807794,77.02012,0.6560199,63.11111111111112,5.333333333333333,1,11.6381,16.4459
00-0036912,DeVonta Smith,4.8019147,77.757126,0.573741,73,6.333333333333333,0.3333333333333333,11.2182,16.0201
00-0037261,Khalil Shakir,5.018293,74.946915,0.5572142,50.77777777777778,6.666666666666667,0.3333333333333333,10.838,15.8563
00-0030279,Keenan Allen,5.1155987,66.25137,0.6436994,53.9,2.6666666666666665,0.4,10.4873,15.6029
00-0037238,Drake London,5.7567563,73.7992,0.32223946,86.375,6.333333333333333,0.75,9.3134,15.0701
00-0035719,Deebo Samuel Sr.,5.108402,73.989174,0.41523293,44,4,0.4444444444444444,9.8903,14.9987
00-0036613,Jaylen Waddle,4.5084124,69.453445,0.5832655,67,5.333333333333333,0.5,10.4449,14.9533
00-0036322,Justin Jefferson,5.6661806,70.18237,0.37670365,76.22222222222223,5.666666666666667,0.2222222222222222,9.2785,14.9446
00-0031588,Stefon Diggs,4.975969,65.19115,0.5707957,55.4,3.6666666666666665,0.3,9.9439,14.9199
00-0037545,Rashid Shaheed,5.5683074,65.74814,0.45514518,50.2,5,0.2,9.3057,14.874
00-0039067,Rashee Rice,4.811603,70.95726,0.32699323,71.66666666666667,6.666666666666667,1,9.0577,13.8693
00-0039915,Ladd McConkey,4.740104,46.172836,0.7122815,63.1,4.666666666666667,0.4,8.891,13.6311
00-0039916,Ricky Pearsall,4.50558,60.656017,0.45441028,81.75,5.333333333333333,0,8.7921,13.2976
00-0038117,Wan'Dale Robinson,6.2640224,57.96459,0.13290033,60.2,6,0.2,6.5939,12.8579
00-0040124,Tetairoa McMillan,4.8352776,59.750618,0.33646697,61.8,5.333333333333333,0.2,7.9939,12.8291
00-0040129,Emeka Egbuka,3.4911158,69.23072,0.3876236,75.22222222222223,4.333333333333333,0.6666666666666666,9.2488,12.7399
00-0039849,Marvin Harrison Jr.,3.9714527,61.255234,0.42073217,58.333333333333336,4,0.4444444444444444,8.6499,12.6214
00-0039064,Zay Flowers,4.108687,68.531044,0.23163407,69.44444444444444,5.333333333333333,0.1111111111111111,8.2429,12.3516
00-0038543,Jaxon Smith-Njigba,4.6534147,62.619946,0.18779518,115.66666666666669,7,0.5555555555555556,7.3888,12.0422
00-0036554,Nico Collins,4.5614824,56.256638,0.26698485,68.75,6,0.375,7.2276,11.7891
00-0039919,Rome Odunze,3.2572594,56.712654,0.45687944,62.11111111111112,4.333333333333333,0.6666666666666666,8.4125,11.6698
00-0036259,Jauan Jennings,4.331014,57.08282,0.25330597,40.5,4.666666666666667,0.375,7.2281,11.5591
00-0036407,Jerry Jeudy,3.9475143,52.319206,0.3652851,37.22222222222222,2.6666666666666665,0.1111111111111111,7.4236,11.3711
00-0037740,Garrett Wilson,3.823363,48.355717,0.41415873,56.42857142857143,3,0.5714285714285714,7.3205,11.1439
00-0034960,Jakobi Meyers,3.5602312,56.427544,0.2701911,49.125,2.333333333333333,0,7.2639,10.8241
00-0034960,Jakobi Meyers,3.5525708,56.427544,0.2701911,49.125,3.6666666666666665,0,7.2639,10.8165
00-0035676,A.J. Brown,3.3818243,56.015236,0.30062845,51,4,0.375,7.4053,10.7871
00-0034960,Jakobi Meyers,3.5602312,56.427544,0.2632008,49.125,2.333333333333333,0,7.222,10.7822
00-0034960,Jakobi Meyers,3.5525708,56.427544,0.2632008,49.125,3.6666666666666665,0,7.222,10.7745
00-0038563,Tre Tucker,2.7953832,52.47775,0.44040453,50.55555555555556,3.333333333333333,0.4444444444444444,7.8902,10.6856
00-0039868,Troy Franklin,4.5491853,50.261147,0.12328347,42.5,5,0.5,5.7658,10.315
00-0035640,DK Metcalf,4.104867,30.742857,0.5219125,55.77777777777778,3.333333333333333,0.5555555555555556,6.2058,10.3106
00-0038559,Michael Wilson,3.9068055,41.80866,0.36339548,25.666666666666668,3.333333333333333,0.1111111111111111,6.3612,10.268
00-0040237,Tez Johnson,3.313632,51.94773,0.28681853,31.875,4.333333333333333,0.5,6.9157,10.2293
00-0036410,Tee Higgins,3.558736,41.894066,0.41066962,53.44444444444444,4.666666666666667,0.6666666666666666,6.6534,10.2122
00-0040782,Isaiah Bond,2.5173132,49.851433,0.4297078,17.571428571428573,1.3333333333333333,0,7.5634,10.0807
00-0040705,Chimere Dike,3.581882,38.371193,0.44119436,24.25,4,0.125,6.4843,10.0662
00-0040170,Elic Ayomanor,3.950471,43.631073,0.28065214,35.888888888888886,3,0.2222222222222222,6.047,9.9975
00-0038994,Jordan Addison,3.689559,54.76083,0.1363781,65.33333333333333,2.6666666666666665,0.3333333333333333,6.2944,9.9839
00-0034960,Jakobi Meyers,3.5602312,47.6603,0.2701911,43.66666666666666,2.333333333333333,0,6.3872,9.9474
00-0034960,Jakobi Meyers,3.5525708,47.6603,0.2701911,43.66666666666666,3.6666666666666665,0,6.3872,9.9397
00-0034960,Jakobi Meyers,3.5602312,47.6603,0.2632008,43.66666666666666,2.333333333333333,0,6.3452,9.9055
00-0034960,Jakobi Meyers,3.5525708,47.6603,0.2632008,43.66666666666666,3.6666666666666665,0,6.3452,9.8978
00-0038979,Cedric Tillman,3.453649,38.792233,0.42227748,23.4,2,0.4,6.4129,9.8665
00-0037816,Romeo Doubs,3.5021446,48.674522,0.2187848,49.55555555555556,3.6666666666666665,0.4444444444444444,6.1802,9.6823
00-0039893,Brian Thomas Jr.,3.4731143,46.725414,0.25419837,52.5,4.666666666666667,0.125,6.1977,9.6708
00-0035535,Darius Slayton,4.2182655,48.34108,0.042156465,42.875,3.6666666666666665,0,5.087,9.3053
00-0033921,Chris Godwin Jr.,3.6311326,43.722294,0.18420157,26,4.333333333333333,0,5.4774,9.1086
00-0033908,Cooper Kupp,4.1030226,42.19308,0.12402575,45.875,1.6666666666666667,0.125,4.9635,9.0665
00-0040729,Jack Bech,2.2115626,49.17845,0.31388575,12.166666666666666,0.6666666666666666,0,6.8012,9.0127
