player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points,nfl ppr,Difference
00-0036963,Amon-Ra St. Brown,7.4423037,76.21297,0.95366,81.42857142857143,6.333333333333333,0.7857142857142857,13.3433,20.7856,19.48,1.3056
00-0038543,Jaxon Smith-Njigba,6.11897,82.147804,0.73831356,110.07142857142856,5.333333333333333,0.6428571428571429,12.6447,18.7636,21.3,-2.5364
00-0031381,Davante Adams,6.151824,78.09001,0.714851,56.35714285714285,4,1,12.0981,18.2499,0,18.2499
00-0037240,Jameson Williams,5.405056,84.86624,0.65863544,66.28571428571429,7,0.5,12.4384,17.8435,13.85,3.9935
00-0036900,Ja'Marr Chase,6.207792,85.76173,0.38085318,88.23076923076923,7.333333333333333,0.3846153846153846,10.8613,17.0691,19.11,-2.0409
00-0036322,Justin Jefferson,4.8326535,74.88237,0.68263584,59.42857142857143,2,0.1428571428571428,11.5841,16.4167,13.02,3.3967
00-0031588,Stefon Diggs,5.695105,80.336945,0.43674645,52.21428571428572,2.6666666666666665,0.2142857142857142,10.6542,16.3493,13,3.3493
00-0036358,CeeDee Lamb,4.124616,63.741825,0.870244,97.6,6.333333333333333,0.3,11.5956,15.7203,17.51,-1.7897
00-0039064,Zay Flowers,4.8156443,92.65925,0.22583939,68.5,4.333333333333333,0.1428571428571428,10.621,15.4366,14.08,1.3566
00-0034348,Courtland Sutton,4.809951,74.26128,0.5257845,63.285714285714285,6,0.4285714285714285,10.5808,15.3908,11.11,4.2808
00-0038559,Michael Wilson,3.6944253,79.53884,0.53860956,52,6.333333333333333,0.2352941176470588,11.1855,14.88,12.29,2.59
00-0037239,Chris Olave,5.8543854,60.395855,0.44255695,64,4.333333333333333,0.4285714285714285,8.6949,14.5493,13.78,0.7693
00-0036410,Tee Higgins,4.2249765,70.83477,0.48797294,55.583333333333336,4.666666666666667,0.75,10.0113,14.2363,14.76,-0.5237
