player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points,nfl_projection,difference
00-0039067,Rashee Rice,5.479839,61.968937,0.49032006,71.375,6.333333333333333,0.625,9.1388,14.6187,0,14.6187
00-0031381,Davante Adams,5.0833163,69.45847,0.4271237,56.35714285714285,4,1,9.5086,14.5919,0,14.5919
00-0035640,DK Metcalf,4.5407906,76.824165,0.3449917,56.66666666666666,4.666666666666667,0.4,9.7524,14.2932,0,14.2932
00-0033555,Mack Hollins,4.2680407,48.1707,0.3677091,39.285714285714285,4.666666666666667,0.1428571428571428,7.0233,11.2914,0,11.2914
00-0039919,Rome Odunze,3.8430192,59.27516,0.24262193,55.083333333333336,2.333333333333333,0.5,7.3832,11.2263,0,11.2263
00-0039410,Ryan Flournoy,2.6780593,51.00329,0.3158732,33.916666666666664,5,0.3333333333333333,6.9956,9.6736,0,9.6736
00-0038608,Kayshon Boutte,2.8601835,45.16655,0.22433822,40.53846153846154,2,0.4615384615384615,5.8627,8.7229,0,8.7229
00-0040134,Pat Bryant,2.7265446,25.258263,0.19470464,31.545454545454547,4,0.090909091,3.6941,6.4206,0,6.4206
00-0040129,Emeka Egbuka,5.3436785,60.587826,0.3950781,60.66666666666666,2.333333333333333,0.4,8.4293,13.7729,8.22,5.5529
00-0037240,Jameson Williams,6.939307,60.4011,1.0308344,66.53333333333333,6.333333333333333,0.4666666666666667,12.2251,19.1644,13.63,5.5344
00-0035662,Marquise Brown,3.2468696,37.223717,0.61789244,36.85714285714285,2,0.3571428571428571,7.4297,10.6766,5.77,4.9066
00-0037816,Romeo Doubs,4.494614,51.524574,0.5343732,44.13333333333333,2.333333333333333,0.4,8.3587,12.8533,8.25,4.6033
00-0037291,Jalen Nailor,3.496118,49.95342,0.33313712,26.33333333333333,2,0.2666666666666666,6.9942,10.4903,6.52,3.9703
00-0039894,Xavier Worthy,3.320664,63.19876,0.4999538,40.92307692307692,2.333333333333333,0.076923077,9.3196,12.6403,8.9,3.7403
00-0038559,Michael Wilson,4.9426746,80.45946,0.61395234,52,6,0.2777777777777778,11.7297,16.6723,13.1,3.5723
00-0038979,Cedric Tillman,2.1848867,29.274343,0.22171803,20.5,0.6666666666666666,0.2,4.2577,6.4426,3.04,3.4026
00-0038606,Parker Washington,3.989465,57.3887,0.51116586,49.61538461538461,3.333333333333333,0.3076923076923077,8.8059,12.7953,9.57,3.2253
00-0040729,Jack Bech,4.162848,54.963684,0.41050223,20.363636363636363,3.333333333333333,0,7.9594,12.1222,8.96,3.1622
00-0032211,Tyler Lockett,2.5414014,31.519012,0.2932208,18.466666666666665,2,0,4.9112,7.4526,4.43,3.0226
00-0039868,Troy Franklin,4.3019495,48.55195,0.32623404,46.13333333333333,4.333333333333333,0.4,6.8126,11.1145,8.47,2.6445
00-0039521,Xavier Weaver,1.6224557,27.584345,0.28001282,8.6,1,0,4.4385,6.061,4.01,2.051
00-0035719,Deebo Samuel Sr.,5.235978,55.92784,0.3486475,45.642857142857146,3.333333333333333,0.3571428571428571,7.6847,12.9206,10.9,2.0206
00-0040782,Isaiah Bond,2.088907,36.48631,0.15889223,24,1,0,4.602,6.6909,4.69,2.0009
00-0039146,Jayden Reed,4.2003784,49.380974,0.5022099,41.5,4,0.25,7.9514,12.1517,10.47,1.6817
00-0030564,DeAndre Hopkins,2.5005038,28.388737,0.04118305,22,1.6666666666666667,0.1333333333333333,3.086,5.5865,4,1.5865
00-0036988,Josh Palmer,1.3555727,18.892374,0.2935868,29,1.3333333333333333,0,3.6508,5.0063,3.43,1.5763
00-0033908,Cooper Kupp,3.745711,53.13539,0.27325913,39.85714285714285,3.333333333333333,0.1428571428571428,6.9531,10.6988,9.16,1.5388
00-0034418,Cedrick Wilson Jr.,1.3190247,12.952961,0.010283418,9,1,0,1.357,2.676,1.18,1.496
00-0037742,Treylon Burks,2.1251488,56.433544,0.20406103,17.833333333333332,0.6666666666666666,0.1666666666666666,6.8677,8.9929,7.5,1.4929
00-0035359,David Sills,1.1241744,26.070501,0.0576142,14.3,2,0.2,2.9527,4.0769,2.6,1.4769
00-0040669,Isaac TeSlaa,1.7866561,22.19625,0.2834245,14.333333333333334,2,0.4166666666666667,3.9202,5.7068,4.27,1.4368
00-0031588,Stefon Diggs,4.6880693,66.0126,0.5750164,57.93333333333333,5,0.2,10.0514,14.7394,13.49,1.2494
00-0038619,Andrei Iosivas,2.3073761,28.18945,0.2853726,29.53846153846154,1,0.1538461538461538,4.5312,6.8386,5.79,1.0486
00-0034348,Courtland Sutton,4.346096,63.126064,0.5557174,64.8,6.333333333333333,0.4666666666666667,9.6469,13.993,13.05,0.943
00-0036322,Justin Jefferson,5.3762145,65.70849,0.30965734,61.13333333333333,3.333333333333333,0.1333333333333333,8.4288,13.805,12.93,0.875
00-0040170,Elic Ayomanor,2.6803215,37.45165,0.31844765,30.571428571428573,1.6666666666666667,0.2142857142857142,5.6559,8.3362,7.55,0.7862
00-0036358,CeeDee Lamb,5.354109,92.33943,0.86080533,93.36363636363636,6,0.2727272727272727,14.3988,19.7529,19,0.7529
00-0030279,Keenan Allen,3.3661842,51.123455,0.10198497,48.266666666666666,4.333333333333333,0.2666666666666666,5.7243,9.0904,8.43,0.6604
00-0034775,Christian Kirk,2.5096426,23.161055,0.1149368,26.77777777777778,3,0.1111111111111111,3.0057,5.5154,4.98,0.5354
00-0034960,Jakobi Meyers,5.487579,60.410038,0.2377647,53.71428571428572,3,0.2142857142857142,7.4676,12.9552,12.58,0.3752
00-0039623,Mason Tipton,2.281381,37.93984,0.17598274,12.666666666666666,2.6666666666666665,0,4.8499,7.1313,6.79,0.3413
00-0033307,Kendrick Bourne,1.922782,25.09795,0.4283289,43.833333333333336,1.6666666666666667,0,5.0798,7.0026,6.75,0.2526
00-0036259,Jauan Jennings,3.7240162,48.415173,0.41336888,43.53846153846154,4,0.6153846153846154,7.3217,11.0457,10.81,0.2357
00-0036407,Jerry Jeudy,3.405135,36.522083,0.32170355,35.4,2.6666666666666665,0.1333333333333333,5.5824,8.9876,8.79,0.1976
00-0037231,Kevin Austin Jr.,2.6886785,37.95346,0.18165572,17,1.6666666666666667,0,4.8853,7.574,7.57,0.004
00-0037837,Calvin Austin III,1.4993744,25.649078,0.23049492,24.384615384615383,0.6666666666666666,0.1538461538461538,3.9479,5.4473,5.48,-0.0327
00-0040735,Luther Burden III,3.2643359,38.91595,0.2956817,36.84615384615385,4.666666666666667,0.076923077,5.6657,8.93,9.02,-0.09
00-0035676,A.J. Brown,4.392561,64.31613,0.3155236,66.78571428571429,5.666666666666667,0.5,8.3248,12.7173,13.04,-0.3227
00-0037741,Jahan Dotson,1.0867045,14.301292,0.022302171,18.5,1.6666666666666667,0.083333333,1.5639,2.6506,3.1,-0.4494
00-0039342,Xavier Legette,2.355024,26.49866,0.040095948,26,1.3333333333333333,0.2307692307692307,2.8904,5.2455,5.73,-0.4845
00-0038124,Christian Watson,3.1521285,39.852966,0.48264045,55.333333333333336,3,0.5555555555555556,6.8811,10.0333,10.52,-0.4867
00-0039916,Ricky Pearsall,3.275428,39.179966,0.20388447,55.375,3.333333333333333,0,5.1413,8.4167,8.93,-0.5133
00-0040130,Jayden Higgins,3.4950175,30.720963,0.16000806,27.6,1.6666666666666667,0.2666666666666666,4.0321,7.5272,8.16,-0.6328
00-0039893,Brian Thomas Jr.,3.3266513,46.88143,0.3907632,51.583333333333336,3,0.1666666666666666,7.0327,10.3594,11.05,-0.6906
00-0036900,Ja'Marr Chase,6.6286206,86.09401,0.59375304,89.71428571428571,8,0.3571428571428571,12.1719,18.8005,19.55,-0.7495
00-0039451,Isaiah Williams,2.8631513,19.42793,0.20230709,19.857142857142858,4,0,3.1566,6.0198,7.02,-1.0002
