,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
2,00-0036963,Amon-Ra St. Brown,6.6174793,82.39292,1.141442,76.85714285714286,7.666666666666667,1.0,15.0879,21.7054
3,00-0036963,Amon-Ra St. Brown,6.6174793,82.39292,1.1117748,76.85714285714286,7.666666666666667,0.875,14.9099,21.5274
8,00-0037239,Chris Olave,6.9156795,76.009285,0.64358777,62.875,6.333333333333333,0.3333333333333333,11.4625,18.3781
4,00-0036358,CeeDee Lamb,6.8686824,80.080894,0.5025372,101.5,7.0,0.25,11.0233,17.892
5,00-0036358,CeeDee Lamb,6.8686824,80.080894,0.4293334,101.5,7.0,0.2,10.5841,17.4528
16,00-0036900,Ja'Marr Chase,4.889562,71.442276,0.7630911,90.0,12.666666666666666,0.5555555555555556,11.7228,16.6123
9,00-0037239,Chris Olave,6.9156795,76.009285,0.3297061,62.875,6.333333333333333,0.375,9.5792,16.4948
17,00-0036900,Ja'Marr Chase,4.889562,71.442276,0.7033312,90.0,12.666666666666666,0.625,11.3642,16.2538
6,00-0031381,Davante Adams,4.437072,78.603065,0.63613796,61.57142857142857,4.666666666666667,0.8571428571428571,11.6771,16.1142
14,00-0035719,Deebo Samuel Sr.,7.1841903,72.50149,0.2705559,46.57142857142857,5.0,0.375,8.8735,16.0577
0,00-0038994,Jordan Addison,4.473972,89.64242,0.41760096,77.25,5.666666666666667,0.5,11.4698,15.9438
32,00-0037238,Drake London,5.5705156,66.461494,0.6189041,78.16666666666667,7.333333333333333,0.3333333333333333,10.3596,15.9301
7,00-0031381,Davante Adams,4.437072,78.603065,0.50167054,61.57142857142857,4.666666666666667,1.0,10.8703,15.3074
52,00-0039067,Rashee Rice,6.6355247,54.854355,0.5175462,67.5,9.333333333333334,1.5,8.5907,15.2262
53,00-0039067,Rashee Rice,6.6355247,54.854355,0.50654393,67.5,9.333333333333334,1.0,8.5247,15.1602
12,00-0039064,Zay Flowers,5.77618,74.05269,0.3255247,69.42857142857143,6.0,0.125,9.3584,15.1346
1,00-0038994,Jordan Addison,4.473972,89.64242,0.27128488,77.25,5.666666666666667,0.4,10.592,15.0659
54,00-0039075,Puka Nacua,5.0464487,54.796246,0.74760014,102.66666666666669,8.333333333333334,0.3333333333333333,9.9652,15.0117
13,00-0039064,Zay Flowers,5.77618,74.05269,0.3021752,69.42857142857143,6.0,0.1428571428571428,9.2183,14.9945
10,00-0036410,Tee Higgins,3.8293145,74.89103,0.58617705,45.0,4.0,0.6666666666666666,11.0062,14.8355
40,00-0040124,Tetairoa McMillan,5.8867245,60.40764,0.4669654,64.0,4.333333333333333,0.25,8.8426,14.7293
33,00-0037238,Drake London,5.5705156,66.461494,0.4153475,78.16666666666667,7.333333333333333,0.7142857142857143,9.1382,14.7088
15,00-0035719,Deebo Samuel Sr.,7.1841903,72.50149,0.042493913,46.57142857142857,5.0,0.4285714285714285,7.5051,14.6893
26,00-0036322,Justin Jefferson,5.313463,66.73547,0.42053294,86.0,6.333333333333333,0.1428571428571428,9.1967,14.5102
