Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
0,0,0,1,Jonathan Taylor,IND,14,RB1,1.0,1.0,,1.0,00-0036223,RB,2021,0.9696969696969697,22,2020,0.6947058823529412,124.79015,0.01,41.0,11.0,17,0,0.0,0,332,1811.0,18,40,360.0,2,2.0,0,0.0,0,192,861.0,4,28,143.0,0,3.0
1,1,1,2,Christian McCaffrey,SF,9,RB2,2.0,2.0,,2.0,00-0033280,RB,2021,0.7160493827160493,25,2017,0.6057142857142858,102.9481,0.081,8.0,21.4,7,0,0.0,0,99,442.0,1,37,343.0,1,0.0,1,34.0,1,244,1139.0,8,85,741.0,5,0.0
2,2,2,3,Austin Ekeler,WAS,14,RB3,3.0,4.0,,3.5,00-0033699,RB,2021,0.9135802469135802,26,2017,0.645625,73.6545,0.031,,0.0,16,0,0.0,0,206,911.0,12,70,647.0,8,3.0,0,0.0,0,204,915.0,13,107,722.0,5,3.0
3,3,3,4,Derrick Henry,BAL,10,RB4,6.0,3.0,,4.5,00-0032764,RB,2021,0.8979591836734694,27,2016,0.72,185.6541,0.063,45.0,10.4,8,1,5.0,1,219,937.0,10,18,154.0,0,0.0,2,4.0,1,349,1538.0,13,33,398.0,0,3.0
4,4,4,5,Cooper Kupp,SEA,11,WR1,4.0,5.0,,4.5,00-0033908,WR,2021,0.9259259259259259,28,2017,0.9411764705882352,55.776394,0.128,69.0,7.6,17,0,0.0,0,4,18.0,0,145,1947.0,16,0.0,0,0.0,0,9,52.0,1,75,812.0,6,1.0
5,5,5,6,Justin Jefferson,MIN,7,WR2,5.0,8.0,,6.5,00-0036322,WR,2021,1.0,22,2020,0.8917647058823529,68.13988,0.017,22.0,14.9,17,2,35.0,0,6,14.0,0,108,1616.0,10,1.0,2,34.0,0,4,24.0,1,128,1809.0,8,0.0
6,6,6,7,Dalvin Cook,,,RB5,7.0,6.0,,6.5,00-0033893,RB,2021,0.7530864197530864,26,2017,0.6976923076923077,71.95564,0.064,41.0,11.0,13,0,0.0,0,249,1159.0,6,34,224.0,0,2.0,0,0.0,0,264,1173.0,8,39,295.0,2,4.0
7,7,7,8,Najee Harris,LAC,8,RB6,9.0,7.0,,8.0,00-0036893,RB,2021,1.0,23,2021,0.838235294117647,57.024857,0.018000000000000002,24.0,14.4,17,0,0.0,0,307,1200.0,7,74,467.0,3,0.0,1,4.0,0,272,1034.0,7,41,229.0,3,2.0
8,8,8,9,Ja'Marr Chase,CIN,10,WR3,8.0,10.0,,9.0,00-0036900,WR,2021,1.0,21,2021,0.8452941176470589,167.97028,0.042,5.0,24.3,17,0,0.0,0,7,21.0,0,81,1455.0,13,1.0,0,0.0,0,5,8.0,0,87,1046.0,9,2.0
9,9,9,10,Joe Mixon,HOU,6,RB7,11.0,9.0,,10.0,00-0033897,RB,2021,0.8641975308641975,25,2017,0.66875,83.18729,0.061,48.0,9.9,16,0,0.0,0,292,1205.0,13,42,314.0,3,1.0,0,0.0,0,210,814.0,7,60,441.0,2,0.0
10,10,10,11,Davante Adams,LAR,7,WR4,12.0,11.0,,11.5,00-0031381,WR,2021,0.9465648854961832,28,2014,0.849375,93.78829,0.134,53.0,9.3,16,0,0.0,0,0,0.0,0,123,1553.0,11,0.0,0,0.0,0,3,-1.0,0,100,1516.0,14,0.0
11,11,11,12,Stefon Diggs,NE,10,WR5,10.0,14.0,,12.0,00-0031588,WR,2021,1.0,27,2015,0.8147058823529413,32.66059,0.115,146.0,2.9,17,0,0.0,0,0,0.0,0,103,1225.0,10,0.0,0,0.0,0,1,-3.0,0,108,1429.0,11,0.0
12,12,12,13,D'Andre Swift,CHI,14,RB8,17.0,12.0,,14.5,00-0036275,RB,2021,0.7878787878787878,22,2020,0.6576923076923078,62.670643,0.011000000000000001,35.0,12.0,13,0,0.0,0,151,617.0,5,62,452.0,2,1.0,0,0.0,0,99,542.0,5,48,389.0,3,0.0
13,13,13,14,Travis Kelce,KC,8,TE1,15.0,15.0,,15.0,00-0030506,TE,2021,0.9558823529411765,31,2013,0.82125,84.67799,0.07200000000000001,63.0,8.2,16,0,0.0,0,2,3.0,1,92,1125.0,9,1.0,0,0.0,0,2,5.0,0,110,1338.0,12,1.0
14,14,14,15,Alvin Kamara,NO,14,RB9,18.0,13.0,,15.5,00-0033906,RB,2021,0.9135802469135802,26,2017,0.7569230769230769,72.54103,0.076,67.0,7.8,13,0,0.0,0,240,898.0,4,47,439.0,5,0.0,0,0.0,0,223,897.0,2,57,490.0,2,4.0
