,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value
0,0,0,1,Christian McCaffrey,SF,6,RB1,1.0,1.0,,1.0,00-0033280,RB,2020,0.796875,24,2017,0.7733333333333333,39.823326,0.081,8.0,21.4
1,1,1,2,Dalvin Cook,,,RB2,2.0,2.0,,2.0,00-0033893,RB,2020,0.75,25,2017,0.7092857142857143,99.11912,0.064,41.0,11.0
2,2,2,3,Derrick Henry,BAL,8,RB3,3.0,3.0,,3.3,00-0032764,RB,2020,0.9876543209876543,26,2016,0.655,135.66963,0.063,45.0,10.4
3,3,3,4,Alvin Kamara,NO,6,RB4,4.0,4.0,,3.8,00-0033906,RB,2020,0.953125,25,2017,0.6500000000000001,174.01125,0.076,67.0,7.8
4,4,4,5,Ezekiel Elliott,,,RB5,5.0,5.0,,5.0,00-0033045,RB,2020,0.9125,25,2016,0.7213333333333334,51.465527,0.08,4.0,25.8
5,5,5,6,Nick Chubb,HOU,10,RB6,6.0,6.0,,6.5,00-0034791,RB,2020,0.9166666666666666,24,2018,0.4941666666666667,55.58992,0.067,35.0,12.0
6,6,6,7,Aaron Jones Sr.,MIN,7,RB7,7.0,8.0,,7.8,00-0033293,RB,2020,0.90625,25,2017,0.6028571428571429,83.3684,0.066,182.0,1.5
7,7,7,8,Davante Adams,LAR,11,WR1,9.0,11.0,,8.3,00-0031381,WR,2020,0.9473684210526315,27,2014,0.8521428571428571,155.57384,0.087,53.0,9.3
8,8,8,9,Jonathan Taylor,IND,14,RB8,10.0,9.0,,10.0,00-0036223,RB,2020,0.9375,21,2020,0.5073333333333334,78.931244,0.01,41.0,11.0
9,9,9,10,Saquon Barkley,PHI,14,RB9,11.0,7.0,,10.3,00-0034844,RB,2020,0.6458333333333334,23,2018,0.495,48.020004,0.044000000000000004,2.0,30.2
10,10,10,11,Tyreek Hill,MIA,14,WR2,8.0,10.0,,10.3,00-0033040,WR,2020,0.9625,26,2016,0.8586666666666666,146.61638,0.096,165.0,2.1
11,11,11,12,Travis Kelce,KC,12,TE1,12.0,12.0,,10.8,00-0030506,TE,2020,0.957983193277311,30,2013,0.8553333333333335,43.732506,0.07200000000000001,63.0,8.2
12,12,12,13,Austin Ekeler,WAS,9,RB10,14.0,13.0,,12.5,00-0033699,RB,2020,0.90625,25,2017,0.5650000000000001,69.89344,0.031,,0.0
13,13,13,14,Stefon Diggs,NE,14,WR3,13.0,15.0,,14.3,00-0031588,WR,2020,1.0,26,2015,0.885,64.2785,0.081,146.0,2.9
14,14,14,15,Najee Harris,LAC,7,RB11,16.0,14.0,,14.8,00-0036893,RB,2020,--,22,2021,-1.0,--,0.018000000000000002,24.0,14.4
15,15,15,16,Antonio Gibson,NE,14,RB12,17.0,21.0,,17.5,00-0036328,RB,2020,0.875,22,2020,0.43714285714285717,76.27648,0.006,66.0,7.9
16,16,16,17,Patrick Mahomes II,KC,12,QB1,15.0,19.0,,18.3,00-0033873,QB,2020,0.953125,24,2017,0.9746666666666667,58.655083,0.22699999999999998,10.0,19.9
17,17,17,18,DeAndre Hopkins,BAL,8,WR4,19.0,16.0,,18.3,00-0030564,WR,2020,1.0,28,2013,0.9212499999999999,66.85184,0.13699999999999998,27.0,13.6
18,18,18,19,Joe Mixon,HOU,10,RB13,21.0,17.0,,19.0,00-0033897,RB,2020,0.84375,24,2017,0.6549999999999999,169.28798,0.061,48.0,9.9
19,19,19,20,Calvin Ridley,TEN,13,WR5,18.0,20.0,,19.0,00-0034837,WR,2020,0.9166666666666666,25,2018,0.7826666666666667,85.53238,0.015,26.0,13.9
