;Unnamed: 0;Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age
0;0;1;Christian McCaffrey;SF;9;RB1;1.0;1;1.0;1.0;00-0033280;RB;2023;0.7913043478260869;27
1;1;2;Tyreek Hill;MIA;6;WR1;2.0;2;3.0;2.3;00-0033040;WR;2023;0.9694656488549618;29
2;2;3;CeeDee Lamb;DAL;7;WR2;3.0;3;2.0;2.7;00-0036358;WR;2023;0.9850746268656716;24
3;3;4;Breece Hall;NYJ;12;RB2;4.0;8;4.0;5.3;00-0038120;RB;2023;0.7058823529411765;22
4;4;5;Bijan Robinson;ATL;12;RB3;5.0;6;5.0;5.3;00-0038542;RB;2023;1.0;21
5;5;6;Justin Jefferson;MIN;6;WR3;7.0;4;7.0;6.0;00-0036322;WR;2023;0.8955223880597015;24
6;6;7;Ja'Marr Chase;CIN;12;WR4;6.0;5;8.0;6.3;00-0036900;WR;2023;0.9019607843137255;23
7;7;8;Amon-Ra St. Brown;DET;5;WR5;8.0;7;6.0;7.0;00-0036963;WR;2023;0.9607843137254902;23
8;8;9;A.J. Brown;PHI;5;WR6;10.0;9;11.0;10.0;00-0035676;WR;2023;0.9285714285714286;26
9;9;10;Jonathan Taylor;IND;14;RB4;9.0;11;10.0;10.0;00-0036223;RB;2023;0.7910447761194029;24
10;10;11;Saquon Barkley;PHI;5;RB5;12.0;12;9.0;11.0;00-0034844;RB;2023;0.7474747474747475;26
11;11;12;Garrett Wilson;NYJ;12;WR7;11.0;13;12.0;12.0;00-0037740;WR;2023;1.0;23
12;12;13;Jahmyr Gibbs;DET;5;RB6;14.0;10;13.0;12.3;00-0039139;RB;2023;0.8823529411764706;21
13;13;14;Puka Nacua;LAR;6;WR8;15.0;15;14.0;14.7;00-0039075;WR;2023;1.0;22
14;14;15;Marvin Harrison Jr.;ARI;11;WR9;17.0;14;16.0;15.7;00-0039849;WR;2023;--;21
15;15;16;Travis Etienne Jr.;JAC;12;RB7;19.0;16;15.0;16.7;00-0036973;RB;2023;0.6666666666666666;24
16;16;17;Derrick Henry;BAL;14;RB8;13.0;18;20.0;17.0;00-0032764;RB;2023;0.9166666666666666;29
17;17;18;Kyren Williams;LAR;6;RB9;16.0;17;19.0;17.3;00-0037840;RB;2023;0.6764705882352942;23
