,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apt_cap_pct,draft_pick,pick_value,fan_pts_var
0,0,1,Ja'Marr Chase,CIN,10.0,WR1,1.0,1.0,1.0,1.0,00-0036900,WR,2024,0.9264705882352942,24,0.9229411764705883,2021,0.14400000000000002,5.0,24.3,165.50934
1,1,2,Saquon Barkley,PHI,9.0,RB1,2.0,2.0,4.0,2.7,00-0034844,RB,2024,0.7844827586206896,27,0.7350000000000001,2018,0.07400000000000001,2.0,30.2,130.45663
2,2,3,Bijan Robinson,ATL,5.0,RB2,3.0,3.0,2.0,2.7,00-0038542,RB,2024,1.0,22,0.7535294117647059,2023,0.024,8.0,21.4,44.043747
3,3,4,Jahmyr Gibbs,DET,8.0,RB3,4.0,5.0,3.0,4.0,00-0039139,RB,2024,0.9411764705882353,22,0.5529411764705883,2023,0.02,12.0,18.8,84.77816
4,4,5,Justin Jefferson,MIN,6.0,WR2,5.0,4.0,6.0,5.0,00-0036322,WR,2024,0.9166666666666666,25,0.9317647058823529,2020,0.13699999999999998,22.0,14.9,60.544632
5,5,6,CeeDee Lamb,DAL,10.0,WR3,6.0,6.0,5.0,5.7,00-0036358,WR,2024,0.9642857142857143,25,0.802,2020,0.133,17.0,16.6,69.886856
6,6,7,Derrick Henry,BAL,7.0,RB4,7.0,7.0,13.0,9.0,00-0032764,RB,2024,0.9261744966442953,30,0.5741176470588235,2016,0.054000000000000006,45.0,10.4,68.086105
7,7,8,Christian McCaffrey,SF,14.0,RB5,8.0,12.0,7.0,9.0,00-0033280,RB,2024,0.7196969696969697,28,0.7224999999999999,2017,0.07400000000000001,8.0,21.4,19.123337
8,8,9,Puka Nacua,LAR,8.0,WR4,11.0,8.0,10.0,9.7,00-0039075,WR,2024,0.8235294117647058,23,0.6972727272727274,2023,0.005,177.0,1.6,101.36964
9,9,10,Ashton Jeanty,LV,8.0,RB6,12.0,10.0,8.0,10.0,00-0040122,RB,2024,--,20,-1.0,2025,0.032,6.0,23.2,--
10,10,11,Amon-Ra St. Brown,DET,8.0,WR5,10.0,9.0,11.0,10.0,00-0036963,WR,2024,0.9705882352941176,24,0.883529411764706,2021,0.11699999999999999,112.0,4.6,82.91577
11,11,12,Malik Nabers,NYG,14.0,WR6,13.0,11.0,9.0,11.0,00-0039337,WR,2024,0.8823529411764706,21,0.9059999999999999,2024,0.028999999999999998,6.0,23.2,63.686855
12,12,13,Nico Collins,HOU,6.0,WR7,9.0,13.0,15.0,12.3,00-0036554,WR,2024,0.75,25,0.6625,2021,0.095,89.0,6.0,50.042725
13,13,14,De'Von Achane,MIA,12.0,RB7,15.0,14.0,12.0,13.7,00-0039040,RB,2024,0.8235294117647058,22,0.6241176470588234,2023,0.006,84.0,6.4,85.25132
14,14,15,Brian Thomas Jr.,JAC,8.0,WR8,16.0,15.0,14.0,15.0,00-0039893,WR,2024,1.0,21,0.7935294117647059,2024,0.013999999999999999,23.0,14.6,65.14059
15,15,16,Josh Jacobs,GB,5.0,RB8,17.0,19.0,16.0,17.3,00-0035700,RB,2024,0.9,26,0.6341176470588235,2019,0.047,24.0,14.4,41.871323
16,16,17,Brock Bowers,LV,8.0,TE1,19.0,16.0,19.0,18.0,00-0039338,TE,2024,1.0,21,0.8494117647058823,2024,0.018000000000000002,13.0,18.3,62.307648
17,17,18,Jonathan Taylor,IND,11.0,RB9,14.0,21.0,21.0,18.7,00-0036223,RB,2024,0.7976190476190477,25,0.8028571428571428,2020,0.062,41.0,11.0,93.25104
18,18,19,Drake London,ATL,5.0,WR9,18.0,18.0,20.0,18.7,00-0037238,WR,2024,0.9803921568627451,23,0.8970588235294118,2022,0.026000000000000002,8.0,21.4,81.58155
19,19,20,Bucky Irving,TB,9.0,RB10,21.0,20.0,18.0,19.7,00-0039361,RB,2024,1.0,22,0.4441176470588235,2024,0.005,125.0,3.9,57.72066
20,20,21,A.J. Brown,PHI,9.0,WR10,22.0,17.0,25.0,21.3,00-0035676,WR,2024,0.900990099009901,27,0.8661538461538462,2019,0.125,51.0,9.6,43.981407
21,21,22,Josh Allen,BUF,7.0,QB1,20.0,22.0,23.0,21.7,00-0034857,QB,2024,1.0,28,0.8905882352941176,2018,0.19699999999999998,7.0,22.2,131.3986
22,22,23,Lamar Jackson,BAL,7.0,QB2,23.0,24.0,22.0,23.0,00-0034796,QB,2024,0.896551724137931,27,0.9652941176470589,2018,0.231,32.0,12.5,38.321907
23,23,24,Chase Brown,CIN,10.0,RB11,26.0,27.0,17.0,23.3,00-0038597,RB,2024,0.8235294117647058,24,0.6275000000000001,2023,0.005,163.0,2.2,56.386497
24,24,25,Kyren Williams,LAR,8.0,RB12,25.0,26.0,24.0,25.0,00-0037840,RB,2024,0.7843137254901961,24,0.86375,2022,0.005,164.0,2.1,35.01663
25,25,26,Ladd McConkey,LAC,12.0,WR11,24.0,23.0,29.0,25.3,00-0039915,WR,2024,0.9411764705882353,22,0.731875,2024,0.01,34.0,12.1,51.77596
26,26,27,Trey McBride,ARI,8.0,TE2,27.0,25.0,28.0,26.7,00-0037744,TE,2024,0.9607843137254902,24,0.8981250000000001,2022,0.068,55.0,9.1,50.78916
27,27,28,Tyreek Hill,MIA,12.0,WR12,34.0,29.0,26.0,29.7,00-0033040,WR,2024,0.972972972972973,30,0.7988235294117647,2016,0.11699999999999999,165.0,2.1,55.858677
28,28,29,Jayden Daniels,WAS,12.0,QB3,28.0,31.0,30.0,29.7,00-0039910,QB,2024,1.0,23,0.9088235294117647,2024,0.037000000000000005,2.0,30.2,84.30366
29,29,30,Jaxon Smith-Njigba,SEA,8.0,WR13,32.0,28.0,35.0,31.7,00-0038543,WR,2024,1.0,22,0.8641176470588235,2023,0.016,20.0,15.5,77.412796
30,30,31,Tee Higgins,CIN,10.0,WR14,29.0,30.0,36.0,31.7,00-0036410,WR,2024,0.8452380952380952,25,0.7908333333333332,2020,0.10300000000000001,33.0,12.3,108.38628
31,31,32,Breece Hall,NYJ,9.0,RB13,37.0,32.0,27.0,32.0,00-0038120,RB,2024,0.7843137254901961,23,0.7237500000000001,2022,0.011000000000000001,36.0,11.8,63.96929
32,32,33,James Cook,BUF,7.0,RB14,30.0,33.0,33.0,32.0,00-0037248,RB,2024,0.9803921568627451,24,0.476875,2022,0.006999999999999999,63.0,8.2,63.092957
33,33,34,Garrett Wilson,NYJ,9.0,WR15,36.0,34.0,37.0,35.7,00-0037740,WR,2024,1.0,24,0.9629411764705883,2022,0.11599999999999999,10.0,19.9,52.380295
34,34,35,George Kittle,SF,14.0,TE3,31.0,38.0,42.0,37.0,00-0033288,TE,2024,0.8712121212121212,30,0.8659999999999998,2017,0.068,146.0,2.9,47.11781
35,35,36,Jalen Hurts,PHI,9.0,QB4,33.0,40.0,40.0,37.7,00-0036389,QB,2024,0.9166666666666666,26,0.916,2020,0.22699999999999998,53.0,9.3,63.849186
36,36,37,Omarion Hampton,LAC,12.0,RB15,44.0,39.0,31.0,38.0,00-0040666,RB,2024,--,21,-1.0,2025,0.016,22.0,14.9,--
