"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1.0"
"2","Saquon Barkley","PHI","9","RB1","2","2","4","2.7"
"3","Bijan Robinson","ATL","5","RB2","3","3","2","2.7"
"4","Jahmyr Gibbs","DET","8","RB3","4","5","3","4.0"
"5","Justin Jefferson","MIN","6","WR2","5","4","6","5.0"
"6","CeeDee Lamb","DAL","10","WR3","6","6","5","5.7"
"7","Derrick Henry","BAL","7","RB4","7","7","13","9.0"
"8","Christian McCaffrey","SF","14","RB5","8","12","7","9.0"
"9","Puka Nacua","LAR","8","WR4","11","8","10","9.7"
"10","Ashton Jeanty","LV","8","RB6","12","10","8","10.0"
"11","Amon-Ra St. Brown","DET","8","WR5","10","9","11","10.0"
"12","Malik Nabers","NYG","14","WR6","13","11","9","11.0"
"13","Nico Collins","HOU","6","WR7","9","13","15","12.3"
"14","De'Von Achane","MIA","12","RB7","15","14","12","13.7"
"15","Brian Thomas Jr.","JAC","8","WR8","16","15","14","15.0"
"16","Josh Jacobs","GB","5","RB8","17","19","16","17.3"
"17","Brock Bowers","LV","8","TE1","19","16","19","18.0"
"18","Jonathan Taylor","IND","11","RB9","14","21","21","18.7"
"19","Drake London","ATL","5","WR9","18","18","20","18.7"
"20","Bucky Irving","TB","9","RB10","21","20","18","19.7"
"21","A.J. Brown","PHI","9","WR10","22","17","25","21.3"
"22","Josh Allen","BUF","7","QB1","20","22","23","21.7"
"23","Lamar Jackson","BAL","7","QB2","23","24","22","23.0"
"24","Chase Brown","CIN","10","RB11","26","27","17","23.3"
"25","Kyren Williams","LAR","8","RB12","25","26","24","25.0"
"26","Ladd McConkey","LAC","12","WR11","24","23","29","25.3"
"27","Trey McBride","ARI","8","TE2","27","25","28","26.7"
"28","Tyreek Hill","MIA","12","WR12","34","29","26","29.7"
"29","Jayden Daniels","WAS","12","QB3","28","31","30","29.7"
"30","Jaxon Smith-Njigba","SEA","8","WR13","32","28","35","31.7"
"31","Tee Higgins","CIN","10","WR14","29","30","36","31.7"
"32","Breece Hall","NYJ","9","RB13","37","32","27","32.0"
"33","James Cook","BUF","7","RB14","30","33","33","32.0"
"34","Garrett Wilson","NYJ","9","WR15","36","34","37","35.7"
"35","George Kittle","SF","14","TE3","31","38","42","37.0"
"36","Jalen Hurts","PHI","9","QB4","33","40","40","37.7"
"37","Omarion Hampton","LAC","12","RB15","44","39","31","38.0"
"38","Joe Burrow","CIN","10","QB5","40","42","32","38.0"
"39","Alvin Kamara","NO","11","RB16","45","41","34","40.0"
"40","Mike Evans","TB","9","WR16","35","37","48","40.0"
"41","Davante Adams","LAR","8","WR17","38","43","39","40.0"
"42","Terry McLaurin","WAS","12","WR18","39","35","47","40.3"
"43","Marvin Harrison Jr.","ARI","8","WR19","43","36","43","40.7"
"44","Kenneth Walker III","SEA","8","RB17","42","44","38","41.3"
"45","Chuba Hubbard","CAR","14","RB18","41","45","41","42.3"
"46","DJ Moore","CHI","5","WR20","51","47","44","47.3"
"47","James Conner","ARI","8","RB19","46","49","49","48.0"
"48","DK Metcalf","PIT","5","WR21","48","48","52","49.3"
"49","Rashee Rice","KC","10","WR22","54","46","56","52.0"
"50","Courtland Sutton","DEN","12","WR23","56","50","50","52.0"
"51","Sam LaPorta","DET","8","TE4","47","52","60","53.0"
"52","DeVonta Smith","PHI","9","WR24","52","53","55","53.3"
"53","David Montgomery","DET","8","RB20","49","54","58","53.7"
"54","Patrick Mahomes II","KC","10","QB6","50","60","54","54.7"
"55","RJ Harvey","DEN","12","RB21","60","57","51","56.0"
"56","Joe Mixon","HOU","6","RB22","58","51","69","59.3"
"57","D'Andre Swift","CHI","5","RB23","69","68","45","60.7"
"58","TreVeyon Henderson","NE","14","RB24","73","63","46","60.7"
