game_id,opponent_team,receiving_yards,receiving_tds,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,fumbles_lost,rn,passing_yards_last5,passing_tds_last5,interceptions_last5,rushing_yards_last5,rushing_tds_last5,receiving_yards_last5,receiving_tds_last5,fumbles_lost_last5
2014_01_SD_ARI,ARI,238.0,1,238.0,1,1.0,52.0,1,0.0,1,,,,,,,,
2014_02_ARI_NYG,ARI,277.0,2,277.0,2,2.0,81.0,0,1.0,2,238.0,1.0,1.0,52.0,1.0,238.0,1.0,0.0
2014_03_SF_ARI,ARI,245.0,1,245.0,1,0.0,82.0,1,0.0,3,257.5,1.5,1.5,66.5,0.5,257.5,1.5,0.5
2014_05_ARI_DEN,ARI,479.0,4,479.0,4,2.0,92.0,1,0.0,4,253.33333333333334,1.3333333333333333,1.0,71.66666666666667,0.6666666666666666,253.33333333333334,1.3333333333333333,0.3333333333333333
2014_06_WAS_ARI,ARI,354.0,2,354.0,2,3.0,72.0,0,1.0,5,309.75,2.0,1.25,76.75,0.75,309.75,2.0,0.25
2014_07_ARI_OAK,ARI,173.0,0,173.0,0,0.0,56.0,1,0.0,6,318.6,2.0,1.6,75.8,0.6,318.6,2.0,0.4
2014_08_PHI_ARI,ARI,411.0,2,411.0,2,2.0,110.0,0,1.0,7,305.6,1.8,1.4,76.6,0.6,305.6,1.8,0.4
2014_09_ARI_DAL,ARI,183.0,1,183.0,1,2.0,92.0,0,0.0,8,332.4,1.8,1.4,82.4,0.6,332.4,1.8,0.4
2014_10_STL_ARI,ARI,216.0,1,216.0,1,2.0,70.0,1,1.0,9,320.0,1.8,1.8,84.4,0.4,320.0,1.8,0.4
2014_11_DET_ARI,ARI,183.0,0,183.0,0,1.0,98.0,0,0.0,10,267.4,1.2,1.8,80.0,0.4,267.4,1.2,0.6
2014_12_ARI_SEA,ARI,211.0,1,211.0,1,0.0,124.0,0,0.0,11,233.2,0.8,1.4,85.2,0.4,233.2,0.8,0.4
2014_13_ARI_ATL,ARI,361.0,2,361.0,2,1.0,142.0,0,0.0,12,240.8,1.0,1.4,98.8,0.2,240.8,1.0,0.4
2014_14_KC_ARI,ARI,293.0,1,293.0,1,1.0,126.0,1,1.0,13,230.8,1.0,1.2,105.2,0.2,230.8,1.0,0.2
2014_15_ARI_STL,ARI,229.0,0,229.0,0,1.0,69.0,0,1.0,14,252.8,1.0,1.0,112.0,0.4,252.8,1.0,0.4
2014_16_SEA_ARI,ARI,339.0,2,339.0,2,0.0,267.0,3,0.0,15,255.4,0.8,0.8,111.8,0.2,255.4,0.8,0.4
2014_17_ARI_SF,ARI,204.0,2,204.0,2,0.0,206.0,0,0.0,16,286.6,1.2,0.6,145.6,0.8,286.6,1.2,0.4
2015_01_NO_ARI,ARI,355.0,1,355.0,1,1.0,54.0,0,0.0,17,285.2,1.4,0.6,162.0,0.8,285.2,1.4,0.4
2015_02_ARI_CHI,ARI,241.0,1,241.0,1,2.0,109.0,1,0.0,18,284.0,1.2,0.6,144.4,0.8,284.0,1.2,0.4
2015_03_SF_ARI,ARI,67.0,0,67.0,0,4.0,103.0,1,0.0,19,273.6,1.2,0.8,141.0,0.8,273.6,1.2,0.2
2015_04_STL_ARI,ARI,171.0,3,171.0,3,0.0,164.0,0,0.0,20,241.2,1.2,1.4,147.8,1.0,241.2,1.2,0.0
2015_05_ARI_DET,ARI,379.0,2,379.0,2,4.0,56.0,0,2.0,21,207.6,1.4,1.4,127.2,0.4,207.6,1.4,0.0
2015_06_ARI_PIT,ARI,174.0,2,174.0,2,0.0,141.0,0,0.0,22,242.6,1.4,2.2,97.2,0.4,242.6,1.4,0.4
2015_07_BAL_ARI,ARI,252.0,1,252.0,1,1.0,55.0,1,0.0,23,206.4,1.6,2.0,114.6,0.4,206.4,1.6,0.4
